"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/13","08:05:55",-0.282,25.021,20.007,32.114,32099.207,1012.046,12.047,1.38,1.38,NA,95.15,6.839,NA,6.859,6.859
"2","2021/05/13","08:05:55",-0.3016,25.029,19.992,32.098,32077.648,1012.033,12.034,1.41,1.41,NA,95.37,6.856,NA,6.876,6.876
"3","2021/05/13","08:05:55",-0.3016,25.038,19.988,32.098,32071.287,1012.028,12.029,NA,NA,NA,95.37,6.856,NA,6.876,6.876
"4","2021/05/13","08:05:55",-0.282,25.032,19.992,32.1,32077.644,1012.032,12.034,NA,NA,1.34,95.29,6.851,NA,6.871,6.87
"5","2021/05/13","08:05:55",-0.282,25.04,19.993,32.106,32077.933,1012.031,12.032,1.4,1.4,1.29,95.31,6.852,NA,6.872,6.872
"6","2021/05/13","08:05:55",-0.282,25.031,19.999,32.109,32087.922,1012.038,12.039,1.39,1.39,1.32,95.26,6.848,NA,6.868,6.868
"7","2021/05/13","08:05:55",-0.282,25.016,20.01,32.116,32105.039,1012.051,12.052,1.39,1.39,1.29,95.26,6.848,NA,6.868,6.868
"8","2021/05/13","08:05:55",-0.282,25.007,20.017,32.12,32114.734,1012.058,12.059,NA,NA,1.28,95.33,6.853,NA,6.873,6.873
"9","2021/05/13","08:05:55",-0.282,25.008,20.025,32.132,32126.272,1012.063,12.065,NA,NA,1.28,95.38,6.857,NA,6.877,6.876
"10","2021/05/13","08:05:56",-0.282,25.015,20.028,32.142,32130.848,1012.064,12.065,1.39,1.39,1.25,95.4,6.858,NA,6.878,6.878
"11","2021/05/13","08:05:56",-0.282,25.015,20.019,32.128,32116.918,1012.057,12.058,1.39,1.39,1.17,95.36,6.856,NA,6.876,6.876
"12","2021/05/13","08:05:56",-0.3016,25.009,20.017,32.122,32115.428,1012.058,12.059,1.39,1.39,1.14,95.4,6.859,NA,6.879,6.879
"13","2021/05/13","08:05:56",-0.282,25.007,20.021,32.126,32121.039,1012.061,12.062,1.39,1.39,1.12,95.38,6.858,7.62,6.878,6.878
"14","2021/05/13","08:05:56",-0.3016,25.007,20.03,32.139,32133.455,1012.067,12.069,1.39,1.39,1.17,95.17,6.843,NA,6.863,6.862
"15","2021/05/13","08:05:56",-0.3016,25.009,20.036,32.15,32143.278,1012.072,12.073,1.4,1.4,1.17,95.19,6.844,NA,6.864,6.864
"16","2021/05/13","08:05:56",-0.3016,25.01,20.042,32.159,32151.545,1012.076,12.077,1.41,1.41,1.15,95.26,6.849,7.62,6.869,6.869
"17","2021/05/13","08:05:56",-0.282,25.011,20.045,32.163,32155.12,1012.078,12.079,1.41,1.41,1.14,95.32,6.853,NA,6.873,6.873
"18","2021/05/13","08:05:56",-0.3016,25.013,20.044,32.164,32154.411,1012.077,12.078,1.43,1.43,1.14,95.24,6.847,7.62,6.867,6.867
"19","2021/05/13","08:05:56",-0.282,25.018,20.042,32.163,32150.381,1012.073,12.075,1.45,1.45,1.12,95.28,6.851,7.62,6.871,6.871
"20","2021/05/13","08:05:57",-0.282,25.031,20.039,32.168,32145.557,1012.068,12.069,1.43,1.43,1.19,95.35,6.856,7.63,6.876,6.876
"21","2021/05/13","08:05:57",-0.3016,25.046,20.036,32.172,32139.57,1012.061,12.062,1.42,1.42,1.32,95.28,6.851,7.63,6.871,6.871
"22","2021/05/13","08:05:57",-0.3016,25.039,20.035,32.167,32139.615,1012.062,12.064,1.42,1.42,1.35,95.32,6.855,7.64,6.875,6.875
