"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/13","08:18:02",-0.282,25.44,29.192,45.528,45092.215,1018.826,18.828,0.67,0.67,1.22,NA,NA,NA,NA,NA
"2","2021/05/13","08:18:02",-0.282,25.442,29.181,45.516,45076.889,1018.817,18.819,0.66,0.66,1.09,NA,NA,NA,NA,NA
"3","2021/05/13","08:18:02",-0.3016,25.441,29.182,45.515,45077.764,1018.818,18.82,0.66,0.66,1.11,NA,NA,NA,NA,NA
"4","2021/05/13","08:18:02",-0.282,25.444,29.179,45.515,45074.524,1018.816,18.817,0.66,0.66,1.09,NA,NA,NA,NA,NA
"5","2021/05/13","08:18:02",-0.282,25.443,29.183,45.519,45079.802,1018.819,18.82,0.65,0.65,1.05,NA,NA,NA,NA,NA
"6","2021/05/13","08:18:02",-0.2624,25.445,29.182,45.519,45077.464,1018.817,18.818,0.66,0.66,1.02,NA,6.471,NA,6.49,6.491
"7","2021/05/13","08:18:02",-0.282,25.446,29.18,45.518,45075.464,1018.816,18.817,0.66,0.66,1.05,95.18,6.48,NA,6.499,6.499
"8","2021/05/13","08:18:02",-0.282,25.445,29.181,45.518,45076.017,1018.816,18.817,0.65,0.65,1.04,NA,6.474,NA,6.492,6.493
"9","2021/05/13","08:18:02",-0.282,25.447,29.177,45.514,45070.913,1018.813,18.814,0.65,0.65,1.12,95.24,6.484,NA,6.503,6.504
"10","2021/05/13","08:18:03",-0.282,25.446,29.178,45.514,45071.913,1018.814,18.815,0.67,0.67,1.14,95.28,6.487,NA,6.506,6.506
"11","2021/05/13","08:18:03",-0.282,25.45,29.174,45.512,45065.963,1018.81,18.811,0.64,0.64,1.07,95.21,6.483,NA,6.501,6.502
"12","2021/05/13","08:18:03",-0.282,25.452,29.172,45.512,45063.843,1018.808,18.809,0.64,0.64,1.12,95.23,6.485,NA,6.503,6.504
"13","2021/05/13","08:18:03",-0.2624,25.453,29.173,45.513,45064.174,1018.808,18.809,0.64,0.64,1.14,95.26,6.487,NA,6.505,6.506
"14","2021/05/13","08:18:03",-0.2624,25.451,29.174,45.514,45066.468,1018.81,18.811,0.64,0.64,1.21,95.35,6.493,NA,6.511,6.512
"15","2021/05/13","08:18:03",-0.2624,25.446,29.177,45.513,45070.408,1018.813,18.814,0.64,0.64,1.25,95.4,6.496,7.62,6.515,6.516
"16","2021/05/13","08:18:03",-0.2624,25.445,29.181,45.518,45077.046,1018.817,18.818,0.64,0.64,NA,95.33,6.491,7.62,6.51,6.511
"17","2021/05/13","08:18:03",-0.282,25.445,29.187,45.526,45085.312,1018.821,18.823,0.66,0.66,1.22,95.28,6.488,NA,6.506,6.507
"18","2021/05/13","08:18:03",-0.282,25.445,29.186,45.525,45083.631,1018.821,18.822,0.65,0.65,1.15,95.26,6.487,7.64,6.505,6.506
"19","2021/05/13","08:18:03",-0.282,25.446,29.184,45.523,45080.487,1018.818,18.82,0.65,0.65,1.12,95.27,6.487,7.63,6.506,6.507
"20","2021/05/13","08:18:04",-0.282,25.452,29.18,45.522,45073.904,1018.813,18.815,0.65,0.65,1.21,95.36,6.494,7.63,6.513,6.513
"21","2021/05/13","08:18:04",-0.282,25.455,29.178,45.523,45071.877,1018.812,18.813,0.67,0.67,1.18,95.46,6.501,7.65,6.519,6.52
"22","2021/05/13","08:18:04",-0.2624,25.471,29.169,45.524,45056.899,1018.8,18.801,0.66,0.66,1.12,95.38,6.496,7.63,6.515,6.515
"23","2021/05/13","08:18:04",-0.282,25.494,29.158,45.53,45040.119,1018.785,18.786,0.67,0.67,1.12,95.33,6.493,7.64,6.511,6.512
"24","2021/05/13","08:18:04",-0.282,25.509,29.152,45.535,45030.006,1018.775,18.777,0.66,0.66,1.14,95.42,6.5,7.65,6.518,6.519
"25","2021/05/13","08:18:04",-0.282,25.506,29.159,45.542,45040.607,1018.782,18.783,0.66,0.66,1.11,95.3,6.491,7.64,6.51,6.51
"26","2021/05/13","08:18:04",-0.282,25.5,29.167,45.547,45051.978,1018.79,18.791,0.66,0.66,1.09,95.36,6.495,7.64,6.514,6.514
"27","2021/05/13","08:18:04",-0.2624,25.496,29.172,45.551,45058.85,1018.794,18.796,0.65,0.65,1.11,95.41,6.499,7.65,6.517,6.518
"28","2021/05/13","08:18:04",-0.2624,25.486,29.181,45.554,45072.324,1018.804,18.805,0.64,0.64,1.11,95.42,6.499,7.64,6.518,6.518
"29","2021/05/13","08:18:04",-0.282,25.477,29.19,45.559,45086.162,1018.814,18.815,0.64,0.64,1.11,95.32,6.492,7.67,6.511,6.511
"30","2021/05/13","08:18:05",-0.2624,25.477,29.193,45.563,45090.448,1018.816,18.818,0.64,0.64,1.09,95.29,6.49,7.66,6.508,6.509
"31","2021/05/13","08:18:05",-0.282,25.478,29.193,45.564,45089.727,1018.816,18.817,0.64,0.64,1.09,95.33,6.493,7.65,6.511,6.512
"32","2021/05/13","08:18:05",-0.2624,25.477,29.196,45.568,45094.62,1018.819,18.82,0.65,0.65,1.08,95.31,6.491,7.64,6.51,6.51
"33","2021/05/13","08:18:05",-0.282,25.477,29.199,45.572,45098.92,1018.821,18.822,0.65,0.65,1.07,95.41,6.498,7.64,6.517,6.517
"34","2021/05/13","08:18:05",-0.2624,25.477,29.201,45.574,45101.367,1018.822,18.824,0.65,0.65,1.04,95.34,6.494,7.65,6.513,6.513
"35","2021/05/13","08:18:05",-0.2624,25.474,29.204,45.576,45106.15,1018.826,18.827,0.65,0.65,1.07,95.33,6.493,7.67,6.511,6.512
"36","2021/05/13","08:18:05",-0.282,25.471,29.202,45.572,45103.73,1018.825,18.826,0.65,0.65,1.08,95.37,6.496,7.66,6.515,6.515
"37","2021/05/13","08:18:05",-0.282,25.468,29.201,45.567,45102.376,1018.825,18.826,0.66,0.66,1.08,95.32,6.492,7.68,6.511,6.511
"38","2021/05/13","08:18:05",-0.2624,25.466,29.207,45.572,45110.27,1018.83,18.831,0.67,0.67,1.09,95.41,6.499,7.66,6.517,6.518
"39","2021/05/13","08:18:05",-0.2624,25.465,29.21,45.576,45114.747,1018.833,18.834,0.66,0.66,1.09,95.23,6.486,7.68,6.505,6.505
"40","2021/05/13","08:18:06",-0.282,25.463,29.208,45.571,45112.014,1018.832,18.833,0.65,0.65,1.09,95.23,6.487,7.68,6.505,6.506
"41","2021/05/13","08:18:06",-0.282,25.461,29.208,45.569,45112.045,1018.832,18.833,0.64,0.64,1.11,95.33,6.493,7.66,6.512,6.512
"42","2021/05/13","08:18:06",-0.2624,25.459,29.212,45.574,45118.12,1018.836,18.837,0.64,0.64,1.08,95.37,6.496,7.66,6.515,6.515
"43","2021/05/13","08:18:06",-0.2624,25.458,29.212,45.573,45118.59,1018.836,18.837,0.64,0.64,1.08,95.34,6.494,7.69,6.513,6.513
"44","2021/05/13","08:18:06",-0.2624,25.457,29.211,45.57,45116.35,1018.835,18.836,0.66,0.66,1.08,95.28,6.49,7.68,6.509,6.51
"45","2021/05/13","08:18:06",-0.282,25.456,29.209,45.567,45114.569,1018.835,18.836,0.67,0.67,1.14,95.36,6.496,7.69,6.514,6.515
"46","2021/05/13","08:18:06",-0.2624,25.457,29.21,45.569,45115.189,1018.835,18.836,0.67,0.67,1.14,95.41,6.499,7.67,6.518,6.518
"47","2021/05/13","08:18:06",-0.2624,25.463,29.207,45.57,45111.425,1018.831,18.832,0.66,0.66,1.11,95.3,6.492,7.68,6.511,6.511
"48","2021/05/13","08:18:06",-0.2624,25.47,29.205,45.574,45107.665,1018.828,18.829,0.64,0.64,1.11,95.3,6.492,7.66,6.511,6.512
"49","2021/05/13","08:18:06",-0.282,25.478,29.2,45.575,45099.875,1018.821,18.822,0.64,0.64,1.08,95.34,6.495,7.67,6.514,6.514
"50","2021/05/13","08:18:07",-0.2624,25.488,29.195,45.576,45092.425,1018.815,18.816,0.64,0.64,1.05,95.42,6.501,7.68,6.52,6.52
"51","2021/05/13","08:18:07",-0.282,25.498,29.191,45.58,45085.925,1018.809,18.81,0.64,0.64,1.05,95.3,6.493,7.7,6.512,6.512
"52","2021/05/13","08:18:07",-0.2624,25.505,29.19,45.584,45083.656,1018.806,18.807,0.64,0.64,1.07,95.27,6.491,7.68,6.51,6.511
"53","2021/05/13","08:18:07",-0.2624,25.507,29.194,45.591,45087.994,1018.808,18.809,0.65,0.65,1.08,95.38,6.499,7.69,6.517,6.518
"54","2021/05/13","08:18:07",-0.2624,25.505,29.197,45.594,45093.573,1018.811,18.812,0.64,0.64,1.08,95.33,6.495,7.68,6.514,6.514
"55","2021/05/13","08:18:07",-0.282,25.5,29.204,45.599,45103.159,1018.817,18.819,0.64,0.64,1.07,95.32,6.494,7.69,6.513,6.514
"56","2021/05/13","08:18:07",-0.282,25.497,29.208,45.602,45109.01,1018.821,18.823,0.65,0.65,1.07,95.24,6.489,7.69,6.508,6.508
"57","2021/05/13","08:18:07",-0.2624,25.494,29.211,45.604,45113.375,1018.825,18.826,0.64,0.64,1.09,95.31,6.493,7.68,6.512,6.513
"58","2021/05/13","08:18:07",-0.2624,25.493,29.216,45.609,45120.004,1018.829,18.83,0.67,0.67,1.11,95.34,6.496,7.69,6.514,6.515
"59","2021/05/13","08:18:07",-0.2624,25.492,29.22,45.614,45125.815,1018.832,18.833,0.68,0.68,1.09,95.36,6.497,7.68,6.515,6.516
"60","2021/05/13","08:18:08",-0.282,25.49,29.221,45.615,45128.079,1018.833,18.835,0.69,0.69,1.07,95.39,6.499,7.68,6.517,6.518
"61","2021/05/13","08:18:08",-0.282,25.487,29.225,45.617,45134.049,1018.838,18.839,0.68,0.68,1.04,95.36,6.497,7.68,6.516,6.516
"62","2021/05/13","08:18:08",-0.282,25.484,29.228,45.618,45137.369,1018.84,18.841,0.67,0.67,1.01,95.37,6.497,7.69,6.516,6.516
"63","2021/05/13","08:18:08",-0.282,25.483,29.229,45.62,45139.947,1018.842,18.843,0.65,0.65,1.02,95.42,6.501,7.69,6.52,6.52
"64","2021/05/13","08:18:08",-0.2624,25.483,29.234,45.625,45145.655,1018.845,18.846,0.65,0.65,1.02,95.37,6.498,7.69,6.516,6.517
"65","2021/05/13","08:18:08",-0.282,25.484,29.235,45.628,45147.552,1018.846,18.847,0.64,0.64,1.02,95.38,6.498,7.69,6.517,6.518
"66","2021/05/13","08:18:08",-0.282,25.482,29.236,45.628,45149.406,1018.847,18.848,0.64,0.64,1.04,95.34,6.496,7.68,6.514,6.515
"67","2021/05/13","08:18:08",-0.282,25.482,29.237,45.629,45150.364,1018.848,18.849,0.63,0.63,1.02,95.39,6.499,7.69,6.518,6.519
"68","2021/05/13","08:18:08",-0.2624,25.48,29.24,45.632,45155.274,1018.851,18.852,0.64,0.64,1.07,95.45,6.503,7.69,6.522,6.523
"69","2021/05/13","08:18:08",-0.2624,25.479,29.241,45.632,45156.732,1018.852,18.853,0.64,0.64,1.04,95.41,6.5,7.67,6.519,6.52
"70","2021/05/13","08:18:09",-0.282,25.479,29.242,45.633,45157.056,1018.852,18.853,0.64,0.64,1.02,95.4,6.5,7.68,6.519,6.519
"71","2021/05/13","08:18:09",-0.282,25.479,29.242,45.634,45157.573,1018.852,18.853,0.65,0.65,1.02,95.5,6.507,7.68,6.526,6.526
"72","2021/05/13","08:18:09",-0.282,25.479,29.241,45.633,45156.27,1018.851,18.853,0.66,0.66,1.02,95.59,6.513,7.69,6.532,6.533
"73","2021/05/13","08:18:09",-0.282,25.48,29.241,45.633,45155.93,1018.851,18.852,0.66,0.66,1.04,95.53,6.509,7.67,6.528,6.528
"74","2021/05/13","08:18:09",-0.2624,25.48,29.241,45.633,45156.126,1018.851,18.852,0.67,0.67,1.07,95.43,6.502,7.67,6.521,6.522
"75","2021/05/13","08:18:09",-0.282,25.481,29.239,45.631,45152.774,1018.849,18.85,0.65,0.65,1.08,95.41,6.501,7.69,6.52,6.52
"76","2021/05/13","08:18:09",-0.282,25.481,29.239,45.631,45152.674,1018.849,18.85,0.64,0.64,1.07,95.46,6.505,7.7,6.524,6.524
"77","2021/05/13","08:18:09",-0.2624,25.483,29.238,45.631,45151.397,1018.848,18.849,0.64,0.64,1.04,95.49,6.507,7.69,6.525,6.526
"78","2021/05/13","08:18:09",-0.282,25.483,29.238,45.631,45151.196,1018.848,18.849,0.65,0.65,1.01,95.38,6.5,7.68,6.518,6.519
"79","2021/05/13","08:18:09",-0.282,25.484,29.242,45.637,45156.528,1018.851,18.852,0.65,0.65,1,95.38,6.499,7.68,6.518,6.518
"80","2021/05/13","08:18:10",-0.2624,25.484,29.241,45.637,45155.31,1018.85,18.851,0.66,0.66,1,95.49,6.507,7.69,6.526,6.526
"81","2021/05/13","08:18:10",-0.282,25.484,29.244,45.641,45159.819,1018.852,18.853,0.65,0.65,1,95.48,6.506,7.69,6.525,6.526
"82","2021/05/13","08:18:10",-0.2624,25.484,29.245,45.643,45161.708,1018.853,18.854,0.64,0.64,1.01,95.4,6.501,7.7,6.52,6.52
"83","2021/05/13","08:18:10",-0.2624,25.483,29.245,45.642,45161.801,1018.854,18.855,0.64,0.64,1.01,95.34,6.497,7.68,6.515,6.516
"84","2021/05/13","08:18:10",-0.282,25.483,29.243,45.639,45159.208,1018.852,18.853,0.65,0.65,0.98,95.36,6.498,7.7,6.517,6.517
"85","2021/05/13","08:18:10",-0.282,25.483,29.242,45.637,45157.211,1018.851,18.852,0.65,0.65,0.97,95.39,6.5,7.69,6.519,6.519
"86","2021/05/13","08:18:10",-0.282,25.483,29.241,45.635,45155.309,1018.85,18.851,0.65,0.65,0.97,95.44,6.504,7.69,6.523,6.524
"87","2021/05/13","08:18:10",-0.282,25.484,29.242,45.637,45156.766,1018.851,18.852,0.65,0.65,0.97,95.42,6.503,7.68,6.521,6.522
"88","2021/05/13","08:18:10",-0.282,25.484,29.242,45.638,45157.133,1018.851,18.852,0.64,0.64,0.98,95.31,6.495,7.7,6.514,6.514
"89","2021/05/13","08:18:10",-0.282,25.486,29.243,45.64,45157.724,1018.851,18.852,0.66,0.66,0.97,95.47,6.506,7.7,6.525,6.525
"90","2021/05/13","08:18:11",-0.282,25.486,29.243,45.642,45158.477,1018.851,18.852,0.65,0.65,0.95,95.48,6.507,7.66,6.526,6.526
"91","2021/05/13","08:18:11",-0.282,25.487,29.242,45.641,45156.958,1018.85,18.851,0.65,0.65,0.97,95.51,6.509,7.7,6.528,6.529
"92","2021/05/13","08:18:11",-0.282,25.487,29.243,45.643,45158.769,1018.851,18.852,0.64,0.64,1.01,95.44,6.504,7.66,6.523,6.523
"93","2021/05/13","08:18:11",-0.282,25.486,29.246,45.645,45162.309,1018.853,18.854,0.64,0.64,0.98,95.36,6.499,7.7,6.518,6.518
"94","2021/05/13","08:18:11",-0.282,25.483,29.249,45.647,45167.282,1018.857,18.858,0.64,0.64,1.02,95.38,6.5,7.69,6.519,6.519
"95","2021/05/13","08:18:11",-0.282,25.481,29.249,45.645,45167.279,1018.857,18.858,0.64,0.64,1.04,95.38,6.501,7.69,6.519,6.52
"96","2021/05/13","08:18:11",-0.282,25.481,29.252,45.649,45171.252,1018.859,18.86,0.65,0.65,1,95.42,6.503,7.69,6.522,6.522
"97","2021/05/13","08:18:11",-0.282,25.488,29.247,45.649,45164.098,1018.854,18.855,0.65,0.65,1.01,95.42,6.503,7.69,6.522,6.523
"98","2021/05/13","08:18:11",-0.2624,25.496,29.243,45.651,45157.615,1018.848,18.849,0.65,0.65,1.15,95.49,6.508,7.69,6.527,6.527
