//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2021/05/13 11:45:39
EndTime=2021/05/13 11:45:50
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/13,11:45:39,-0.3016,26.713,25.250,40.971,39482.453,1015.480,15.481,0.47,0.47,3.17,93.51,6.209,7.51,6.228,6.228,
2021/05/13,11:45:39,-0.3213,26.724,25.250,40.979,39481.672,1015.476,15.478,0.47,0.47,3.22,93.51,6.210,7.53,6.228,6.228,
2021/05/13,11:45:39,-0.3409,26.720,25.260,40.991,39496.362,1015.485,15.487,0.48,0.48,3.12,93.58,6.214,7.55,6.232,6.232,
2021/05/13,11:45:39,-0.3213,26.724,25.271,41.010,39511.595,1015.492,15.494,0.47,0.47,2.93,93.65,6.218,7.55,6.236,6.236,
2021/05/13,11:45:39,-0.3213,26.730,25.273,41.019,39514.362,1015.492,15.493,0.44,0.44,2.87,93.58,6.214,7.55,6.232,6.232,
2021/05/13,11:45:39,-0.3213,26.745,25.268,41.022,39505.689,1015.483,15.485,0.44,0.44,2.90,93.51,6.210,7.56,6.228,6.228,
2021/05/13,11:45:39,-0.3409,26.779,25.258,41.035,39489.007,1015.465,15.467,0.44,0.44,2.89,93.55,6.213,7.56,6.231,6.231,
2021/05/13,11:45:39,-0.3409,26.789,25.257,41.040,39486.208,1015.461,15.463,0.44,0.44,2.83,93.50,6.210,7.56,6.228,6.228,
2021/05/13,11:45:39,-0.3213,26.786,25.262,41.047,39494.547,1015.467,15.468,0.45,0.45,2.82,93.50,6.210,7.58,6.228,6.228,
2021/05/13,11:45:39,-0.3409,26.795,25.259,41.048,39488.787,1015.461,15.463,0.45,0.45,2.90,93.49,6.209,7.60,6.228,6.228,
2021/05/13,11:45:40,-0.3213,26.800,25.244,41.030,39467.262,1015.448,15.450,0.46,0.46,3.34,93.49,6.209,7.58,6.228,6.228,
2021/05/13,11:45:40,-0.3213,26.781,25.250,41.025,39477.952,1015.459,15.461,0.47,0.47,3.26,93.44,6.207,7.59,6.225,6.225,
2021/05/13,11:45:40,-0.3213,26.760,25.260,41.022,39493.496,1015.473,15.475,0.46,0.46,3.02,93.50,6.211,7.61,6.229,6.229,
2021/05/13,11:45:40,-0.3213,26.756,25.255,41.012,39486.450,1015.470,15.472,0.46,0.46,2.97,93.56,6.214,7.60,6.233,6.233,
2021/05/13,11:45:40,-0.3213,26.743,25.258,41.006,39492.034,1015.477,15.478,0.46,0.46,2.97,93.63,6.220,7.61,6.238,6.238,
2021/05/13,11:45:40,-0.3213,26.730,25.268,41.010,39506.648,1015.488,15.490,0.47,0.47,2.82,93.54,6.213,7.62,6.231,6.231,
