//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2021/05/13 11:55:54
EndTime=2021/05/13 11:56:06
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/13,11:55:54,-0.2624,26.671,33.467,52.683,50815.829,1021.667,21.668,0.46,0.46,7.87,93.69,5.958,7.51,5.974,5.975,
2021/05/13,11:55:54,-0.3016,26.666,33.467,52.678,50816.357,1021.668,21.670,0.48,0.48,7.53,93.84,5.967,7.54,5.984,5.985,
2021/05/13,11:55:54,-0.2624,26.663,33.482,52.697,50836.857,1021.680,21.682,0.46,0.46,7.37,93.83,5.966,7.54,5.983,5.984,
2021/05/13,11:55:54,-0.2820,26.677,33.478,52.705,50829.769,1021.673,21.674,0.48,0.48,7.55,93.78,5.964,7.55,5.980,5.981,
2021/05/13,11:55:54,-0.2624,26.713,33.461,52.719,50803.532,1021.649,21.650,0.45,0.45,7.54,93.98,5.977,7.55,5.994,5.995,
2021/05/13,11:55:54,-0.2820,26.751,33.437,52.723,50767.124,1021.619,21.620,0.46,0.46,7.88,94.14,5.989,7.56,6.006,6.007,
2021/05/13,11:55:54,-0.2820,26.763,33.439,52.738,50768.707,1021.616,21.618,0.44,0.44,7.74,94.15,5.990,7.57,6.007,6.007,
2021/05/13,11:55:54,-0.2624,26.759,33.445,52.742,50777.122,1021.622,21.624,0.44,0.44,7.63,94.13,5.989,7.57,6.006,6.007,
2021/05/13,11:55:54,-0.2820,26.740,33.466,52.752,50806.373,1021.643,21.645,0.41,0.41,7.27,94.02,5.981,7.57,5.998,5.999,
2021/05/13,11:55:54,-0.2820,26.741,33.472,52.761,50814.792,1021.648,21.649,0.43,0.43,7.35,94.08,5.986,7.59,6.002,6.003,
2021/05/13,11:55:55,-0.2820,26.762,33.472,52.783,50812.556,1021.641,21.642,0.44,0.44,7.45,94.07,5.986,7.57,6.002,6.003,
2021/05/13,11:55:55,-0.2624,26.763,33.473,52.784,50813.898,1021.642,21.643,0.44,0.44,7.35,93.98,5.980,7.59,5.997,5.998,
2021/05/13,11:55:55,-0.2820,26.786,33.432,52.750,50755.932,1021.603,21.605,0.45,0.45,7.44,93.90,5.977,7.59,5.993,5.994,
2021/05/13,11:55:55,-0.2820,26.802,33.424,52.756,50743.654,1021.592,21.594,0.44,0.44,7.15,93.99,5.983,7.59,6.000,6.001,
2021/05/13,11:55:55,-0.2820,26.793,33.442,52.772,50769.178,1021.609,21.610,0.43,0.43,8.51,93.97,5.982,7.61,5.999,6.000,
2021/05/13,11:55:55,-0.2820,26.786,33.438,52.758,50764.300,1021.608,21.609,0.44,0.44,7.45,94.03,5.986,7.62,6.003,6.004,
