//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2021/05/13 11:34:52
EndTime=2021/05/13 11:35:02
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/13,11:34:52,-0.3213,26.085,33.003,51.446,50247.070,1021.500,21.501,0.38,0.38,1.81,93.83,5.898,7.53,5.914,5.915,
2021/05/13,11:34:52,-0.3409,26.191,32.926,51.446,50132.487,1021.409,21.411,0.36,0.36,1.71,93.82,5.900,7.53,5.916,5.917,
2021/05/13,11:34:52,-0.3409,26.267,32.893,51.474,50078.965,1021.360,21.362,0.36,0.36,2.03,93.86,5.904,7.54,5.920,5.921,
2021/05/13,11:34:52,-0.3409,26.260,32.908,51.489,50100.151,1021.373,21.375,0.35,0.35,1.92,93.87,5.904,7.55,5.921,5.921,
2021/05/13,11:34:52,-0.3605,26.235,32.916,51.475,50114.124,1021.388,21.389,0.34,0.34,1.88,93.97,5.911,7.55,5.927,5.928,
2021/05/13,11:34:52,-0.3605,26.195,32.897,51.408,50091.676,1021.385,21.387,0.34,0.34,1.76,93.99,5.913,7.57,5.930,5.930,
2021/05/13,11:34:52,-0.3409,26.139,32.943,51.418,50160.831,1021.438,21.439,0.34,0.34,1.69,93.97,5.911,7.56,5.927,5.928,
2021/05/13,11:34:52,-0.3409,26.064,32.957,51.363,50188.003,1021.472,21.473,0.36,0.36,1.75,93.90,5.906,7.57,5.923,5.923,
2021/05/13,11:34:52,-0.3409,25.964,33.006,51.330,50264.455,1021.539,21.541,0.35,0.35,1.73,93.98,5.910,7.57,5.927,5.927,
2021/05/13,11:34:52,-0.3409,25.897,33.063,51.342,50348.581,1021.603,21.604,0.35,0.35,2.01,93.97,5.908,7.59,5.924,5.925,
2021/05/13,11:34:53,-0.3213,25.870,33.086,51.347,50382.825,1021.629,21.630,0.34,0.34,2.06,94.16,5.920,7.60,5.936,5.937,
2021/05/13,11:34:53,-0.3409,25.859,33.129,51.395,50441.926,1021.664,21.666,0.34,0.34,1.96,94.23,5.923,7.59,5.939,5.940,
2021/05/13,11:34:53,-0.3409,25.858,33.135,51.403,50451.407,1021.670,21.671,0.34,0.34,1.86,94.27,5.925,7.60,5.941,5.942,
2021/05/13,11:34:53,-0.3409,25.875,33.133,51.418,50446.617,1021.663,21.664,0.36,0.36,1.96,94.34,5.930,7.59,5.946,5.947,
2021/05/13,11:34:53,-0.3409,25.902,33.116,51.420,50420.260,1021.642,21.643,0.37,0.37,1.93,94.31,5.929,7.60,5.946,5.947,
2021/05/13,11:34:53,-0.3409,25.937,33.111,51.449,50409.849,1021.627,21.628,0.34,0.34,1.81,94.37,5.934,7.62,5.950,5.951,
2021/05/13,11:34:53,-0.3409,25.986,33.093,51.474,50380.276,1021.598,21.600,0.34,0.34,1.82,94.40,5.937,7.62,5.953,5.954,
2021/05/13,11:34:53,-0.3409,26.009,33.083,51.481,50363.889,1021.584,21.585,0.36,0.36,1.86,94.31,5.932,7.62,5.948,5.949,
2021/05/13,11:34:53,-0.3409,26.018,33.082,51.489,50361.989,1021.580,21.582,0.35,0.35,2.10,94.32,5.933,7.65,5.949,5.950,
2021/05/13,11:34:53,-0.3213,26.023,33.099,51.517,50383.831,1021.591,21.593,0.34,0.34,2.10,94.47,5.942,7.63,5.958,5.959,
2021/05/13,11:34:54,-0.3213,25.989,33.127,51.523,50426.167,1021.623,21.625,0.37,0.37,2.02,94.42,5.938,7.63,5.954,5.955,
2021/05/13,11:34:54,-0.3409,25.963,33.153,51.533,50463.417,1021.650,21.652,0.39,0.39,1.96,94.37,5.935,7.64,5.951,5.952,
2021/05/13,11:34:54,-0.3213,25.969,33.167,51.558,50482.433,1021.660,21.661,0.38,0.38,1.85,94.50,5.943,7.65,5.959,5.960,
2021/05/13,11:34:54,-0.3409,25.975,33.180,51.583,50499.789,1021.667,21.669,0.37,0.37,1.79,94.43,5.938,7.65,5.954,5.955,
2021/05/13,11:34:54,-0.3409,25.970,33.197,51.600,50522.130,1021.681,21.683,0.36,0.36,1.85,94.48,5.941,7.65,5.958,5.958,
2021/05/13,11:34:54,-0.3409,25.956,33.216,51.612,50549.500,1021.700,21.701,0.37,0.37,1.89,94.52,5.944,7.65,5.960,5.961,
2021/05/13,11:34:54,-0.3409,25.934,33.239,51.623,50583.096,1021.724,21.725,0.36,0.36,2.02,94.51,5.943,7.65,5.959,5.960,
2021/05/13,11:34:54,-0.3409,25.924,33.263,51.646,50617.591,1021.746,21.747,0.35,0.35,1.95,94.71,5.954,7.64,5.971,5.971,
2021/05/13,11:34:54,-0.3213,25.929,33.266,51.656,50621.095,1021.746,21.748,0.34,0.34,2.03,94.59,5.947,7.66,5.963,5.964,
2021/05/13,11:34:54,-0.3409,25.930,33.239,51.619,50584.062,1021.726,21.727,0.34,0.34,1.91,94.61,5.949,7.66,5.966,5.966,
2021/05/13,11:34:55,-0.3213,25.921,33.288,51.678,50650.833,1021.765,21.766,0.33,0.33,1.83,94.64,5.950,7.64,5.967,5.967,
2021/05/13,11:34:55,-0.3409,25.928,33.291,51.689,50654.986,1021.766,21.767,0.34,0.34,1.78,94.57,5.946,7.65,5.963,5.964,
2021/05/13,11:34:55,-0.3409,25.958,33.271,51.691,50624.305,1021.741,21.743,0.34,0.34,1.89,94.58,5.948,7.65,5.964,5.965,
2021/05/13,11:34:55,-0.3409,26.003,33.245,51.701,50584.772,1021.708,21.709,0.35,0.35,1.93,94.64,5.953,7.65,5.969,5.970,
2021/05/13,11:34:55,-0.3409,26.085,33.212,51.737,50531.203,1021.657,21.659,0.36,0.36,1.85,94.62,5.953,7.66,5.970,5.970,
2021/05/13,11:34:55,-0.3409,26.136,33.189,51.757,50494.744,1021.624,21.626,0.37,0.37,1.75,94.56,5.950,7.65,5.966,5.967,
2021/05/13,11:34:55,-0.3213,26.163,33.180,51.770,50478.720,1021.609,21.610,0.37,0.37,1.71,94.50,5.947,7.66,5.964,5.965,
2021/05/13,11:34:55,-0.3409,26.190,33.164,51.776,50455.176,1021.589,21.590,0.34,0.34,1.75,94.48,5.947,7.66,5.963,5.964,
2021/05/13,11:34:55,-0.3213,26.213,33.133,51.756,50410.300,1021.558,21.559,0.34,0.34,1.88,94.68,5.961,7.66,5.978,5.978,
2021/05/13,11:34:55,-0.3213,26.228,33.125,51.760,50398.751,1021.548,21.549,0.36,0.36,1.81,94.70,5.963,7.69,5.979,5.980,
2021/05/13,11:34:56,-0.3213,26.237,33.129,51.774,50402.446,1021.547,21.549,0.37,0.37,1.83,94.65,5.960,7.67,5.976,5.977,
2021/05/13,11:34:56,-0.3409,26.241,33.132,51.782,50406.194,1021.549,21.550,0.36,0.36,1.83,94.62,5.958,7.68,5.974,5.975,
2021/05/13,11:34:56,-0.3409,26.232,33.138,51.781,50414.638,1021.555,21.557,0.34,0.34,1.88,94.54,5.953,7.69,5.969,5.970,
2021/05/13,11:34:56,-0.3409,26.218,33.160,51.799,50447.108,1021.577,21.579,0.34,0.34,1.83,94.56,5.954,7.67,5.970,5.971,
2021/05/13,11:34:56,-0.3213,26.202,33.183,51.815,50479.786,1021.599,21.601,0.38,0.38,1.76,94.64,5.959,7.67,5.975,5.976,
2021/05/13,11:34:56,-0.3409,26.194,33.204,51.835,50508.748,1021.617,21.619,0.38,0.38,1.85,94.76,5.966,7.69,5.982,5.983,
2021/05/13,11:34:56,-0.3213,26.193,33.206,51.837,50511.873,1021.620,21.621,0.38,0.38,1.92,94.72,5.964,7.66,5.980,5.981,
2021/05/13,11:34:56,-0.3213,26.185,33.182,51.797,50480.336,1021.604,21.605,0.36,0.36,1.79,94.78,5.969,7.68,5.985,5.986,
2021/05/13,11:34:56,-0.3213,26.171,33.198,51.804,50503.312,1021.620,21.622,0.36,0.36,1.78,94.82,5.971,7.68,5.988,5.989,
2021/05/13,11:34:56,-0.3213,26.166,33.218,51.827,50530.709,1021.637,21.638,0.36,0.36,1.82,94.84,5.971,7.68,5.988,5.989,
2021/05/13,11:34:57,-0.3213,26.164,33.232,51.845,50550.361,1021.648,21.650,0.35,0.35,1.82,94.95,5.978,7.67,5.995,5.996,
2021/05/13,11:34:57,-0.3409,26.156,33.232,51.837,50550.745,1021.650,21.652,0.38,0.38,1.82,94.91,5.976,7.68,5.993,5.993,
2021/05/13,11:34:57,-0.3213,26.142,33.269,51.874,50602.537,1021.683,21.684,0.41,0.41,1.89,94.85,5.972,7.68,5.988,5.989,
2021/05/13,11:34:57,-0.3213,26.136,33.279,51.882,50616.607,1021.692,21.693,0.38,0.38,1.99,94.83,5.970,7.68,5.987,5.988,
2021/05/13,11:34:57,-0.3213,26.129,33.294,51.896,50637.994,1021.706,21.707,0.36,0.36,1.96,94.85,5.972,7.68,5.988,5.989,
2021/05/13,11:34:57,-0.3213,26.107,33.314,51.900,50666.311,1021.727,21.729,0.36,0.36,1.88,94.87,5.972,7.69,5.989,5.990,
2021/05/13,11:34:57,-0.3213,26.078,33.318,51.877,50674.889,1021.739,21.741,0.36,0.36,1.85,94.83,5.970,7.68,5.987,5.988,
2021/05/13,11:34:57,-0.3213,26.064,33.314,51.857,50670.678,1021.740,21.742,0.35,0.35,1.81,94.84,5.971,7.68,5.988,5.989,
2021/05/13,11:34:57,-0.3213,26.066,33.340,51.895,50706.521,1021.760,21.761,0.34,0.34,1.76,94.82,5.970,7.68,5.986,5.987,
2021/05/13,11:34:57,-0.3213,26.069,33.356,51.920,50727.356,1021.771,21.772,0.35,0.35,1.75,94.90,5.974,7.69,5.990,5.991,
2021/05/13,11:34:58,-0.3213,26.059,33.361,51.917,50735.113,1021.777,21.779,0.34,0.34,1.78,94.96,5.978,7.68,5.995,5.995,
2021/05/13,11:34:58,-0.3213,26.035,33.362,51.895,50739.993,1021.786,21.788,0.33,0.33,1.89,95.09,5.986,7.68,6.003,6.004,
2021/05/13,11:34:58,-0.3213,25.996,33.407,51.918,50804.349,1021.832,21.833,0.34,0.34,1.91,95.02,5.981,7.68,5.998,5.998,
2021/05/13,11:34:58,-0.3213,25.959,33.470,51.968,50893.749,1021.891,21.892,0.36,0.36,1.96,95.03,5.980,7.68,5.996,5.997,
2021/05/13,11:34:58,-0.3213,25.940,33.473,51.953,50900.282,1021.899,21.901,0.35,0.35,1.96,95.18,5.989,7.68,6.006,6.007,
