"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/13","11:34:52",-0.3409,26.191,32.926,51.446,50132.487,1021.409,21.411,0.36,0.36,1.71,93.82,5.9,NA,5.916,5.917
"2","2021/05/13","11:34:52",-0.3409,26.267,32.893,51.474,50078.965,1021.36,21.362,0.36,0.36,2.03,93.86,5.904,NA,5.92,5.921
"3","2021/05/13","11:34:52",-0.3409,26.26,32.908,51.489,50100.151,1021.373,21.375,0.35,0.35,1.92,93.87,5.904,NA,5.921,5.921
"4","2021/05/13","11:34:52",-0.3605,26.235,32.916,51.475,50114.124,1021.388,21.389,0.34,0.34,1.88,93.97,5.911,NA,5.927,5.928
"5","2021/05/13","11:34:52",-0.3605,26.195,32.897,51.408,50091.676,1021.385,21.387,0.34,0.34,1.76,93.99,5.913,NA,5.93,5.93
"6","2021/05/13","11:34:52",-0.3409,26.139,32.943,51.418,50160.831,1021.438,21.439,0.34,0.34,1.69,93.97,5.911,NA,5.927,5.928
"7","2021/05/13","11:34:52",-0.3409,26.064,32.957,51.363,50188.003,1021.472,21.473,0.36,0.36,1.75,93.9,5.906,NA,5.923,5.923
"8","2021/05/13","11:34:52",-0.3409,25.964,33.006,51.33,50264.455,1021.539,21.541,0.35,0.35,1.73,93.98,5.91,NA,5.927,5.927
"9","2021/05/13","11:34:52",-0.3409,25.897,33.063,51.342,50348.581,1021.603,21.604,0.35,0.35,2.01,93.97,5.908,7.59,5.924,5.925
"10","2021/05/13","11:34:53",-0.3213,25.87,33.086,51.347,50382.825,1021.629,21.63,0.34,0.34,2.06,94.16,5.92,7.6,5.936,5.937
"11","2021/05/13","11:34:53",-0.3409,25.859,33.129,51.395,50441.926,1021.664,21.666,0.34,0.34,1.96,94.23,5.923,7.59,5.939,5.94
"12","2021/05/13","11:34:53",-0.3409,25.858,33.135,51.403,50451.407,1021.67,21.671,0.34,0.34,1.86,94.27,5.925,7.6,5.941,5.942
"13","2021/05/13","11:34:53",-0.3409,25.875,33.133,51.418,50446.617,1021.663,21.664,0.36,0.36,1.96,94.34,5.93,7.59,5.946,5.947
"14","2021/05/13","11:34:53",-0.3409,25.902,33.116,51.42,50420.26,1021.642,21.643,0.37,0.37,1.93,94.31,5.929,7.6,5.946,5.947
"15","2021/05/13","11:34:53",-0.3409,25.937,33.111,51.449,50409.849,1021.627,21.628,0.34,0.34,1.81,94.37,5.934,7.62,5.95,5.951
"16","2021/05/13","11:34:53",-0.3409,25.986,33.093,51.474,50380.276,1021.598,21.6,0.34,0.34,1.82,94.4,5.937,7.62,5.953,5.954
"17","2021/05/13","11:34:53",-0.3409,26.009,33.083,51.481,50363.889,1021.584,21.585,0.36,0.36,1.86,94.31,5.932,7.62,5.948,5.949
"18","2021/05/13","11:34:53",-0.3409,26.018,33.082,51.489,50361.989,1021.58,21.582,0.35,0.35,2.1,94.32,5.933,7.65,5.949,5.95
"19","2021/05/13","11:34:53",-0.3213,26.023,33.099,51.517,50383.831,1021.591,21.593,0.34,0.34,2.1,94.47,5.942,7.63,5.958,5.959
"20","2021/05/13","11:34:54",-0.3213,25.989,33.127,51.523,50426.167,1021.623,21.625,0.37,0.37,2.02,94.42,5.938,7.63,5.954,5.955
"21","2021/05/13","11:34:54",-0.3409,25.963,33.153,51.533,50463.417,1021.65,21.652,0.39,0.39,1.96,94.37,5.935,7.64,5.951,5.952
"22","2021/05/13","11:34:54",-0.3213,25.969,33.167,51.558,50482.433,1021.66,21.661,0.38,0.38,1.85,94.5,5.943,7.65,5.959,5.96
"23","2021/05/13","11:34:54",-0.3409,25.975,33.18,51.583,50499.789,1021.667,21.669,0.37,0.37,1.79,94.43,5.938,7.65,5.954,5.955
"24","2021/05/13","11:34:54",-0.3409,25.97,33.197,51.6,50522.13,1021.681,21.683,0.36,0.36,1.85,94.48,5.941,7.65,5.958,5.958
"25","2021/05/13","11:34:54",-0.3409,25.956,33.216,51.612,50549.5,1021.7,21.701,0.37,0.37,1.89,94.52,5.944,7.65,5.96,5.961
"26","2021/05/13","11:34:54",-0.3409,25.934,33.239,51.623,50583.096,1021.724,21.725,0.36,0.36,2.02,94.51,5.943,7.65,5.959,5.96
"27","2021/05/13","11:34:54",-0.3409,25.924,33.263,51.646,50617.591,1021.746,21.747,0.35,0.35,1.95,94.71,5.954,7.64,5.971,5.971
"28","2021/05/13","11:34:54",-0.3213,25.929,33.266,51.656,50621.095,1021.746,21.748,0.34,0.34,2.03,94.59,5.947,7.66,5.963,5.964
"29","2021/05/13","11:34:54",-0.3409,25.93,33.239,51.619,50584.062,1021.726,21.727,0.34,0.34,1.91,94.61,5.949,7.66,5.966,5.966
"30","2021/05/13","11:34:55",-0.3213,25.921,33.288,51.678,50650.833,1021.765,21.766,0.33,0.33,1.83,94.64,5.95,7.64,5.967,5.967
"31","2021/05/13","11:34:55",-0.3409,25.928,33.291,51.689,50654.986,1021.766,21.767,0.34,0.34,1.78,94.57,5.946,7.65,5.963,5.964
