//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2021/05/27 12:35:03
EndTime=2021/05/27 12:35:13
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/27,12:35:03,-0.3409,28.572,33.642,54.871,50873.589,1021.185,21.186,0.25,0.25,1.59,105.78,6.779,7.45,6.799,6.800,
2021/05/27,12:35:03,-0.3605,28.575,33.770,55.061,51045.966,1021.280,21.282,0.24,0.24,1.61,106.78,6.839,7.45,6.858,6.859,
2021/05/27,12:35:03,-0.3605,28.575,33.771,55.063,51047.629,1021.281,21.283,0.24,0.24,1.51,108.03,6.919,7.47,6.939,6.940,
2021/05/27,12:35:03,-0.3605,28.572,33.774,55.063,51050.959,1021.284,21.285,0.23,0.23,1.54,109.18,6.993,7.46,7.013,7.014,
2021/05/27,12:35:03,-0.3605,28.571,33.768,55.053,51043.160,1021.280,21.281,0.24,0.24,1.59,109.95,7.042,7.47,7.062,7.063,
2021/05/27,12:35:03,-0.3605,28.572,33.770,55.057,51045.440,1021.281,21.282,0.24,0.24,1.46,110.89,7.103,7.47,7.123,7.124,
2021/05/27,12:35:03,-0.3802,28.573,33.772,55.062,51049.157,1021.283,21.284,0.24,0.24,1.58,111.83,7.162,7.50,7.182,7.183,
2021/05/27,12:35:03,-0.3605,28.571,33.780,55.070,51059.112,1021.289,21.290,0.23,0.23,1.45,112.88,7.229,7.49,7.250,7.251,
2021/05/27,12:35:03,-0.3605,28.569,33.782,55.072,51062.687,1021.291,21.293,0.22,0.22,1.58,114.03,7.304,7.49,7.324,7.325,
2021/05/27,12:35:03,-0.3605,28.568,33.786,55.076,51067.119,1021.294,21.295,0.24,0.24,1.51,114.98,7.364,7.51,7.385,7.386,
2021/05/27,12:35:04,-0.3605,28.570,33.787,55.080,51068.992,1021.294,21.296,0.23,0.23,1.49,115.79,7.417,7.51,7.438,7.439,
2021/05/27,12:35:04,-0.3409,28.573,33.787,55.083,51068.547,1021.294,21.295,0.21,0.21,1.46,116.70,7.475,7.51,7.496,7.497,
2021/05/27,12:35:04,-0.3802,28.574,33.786,55.083,51067.293,1021.292,21.294,0.21,0.21,1.56,117.12,7.502,7.54,7.523,7.524,
2021/05/27,12:35:04,-0.3605,28.575,33.784,55.081,51064.230,1021.290,21.292,0.21,0.21,1.89,117.73,7.541,7.51,7.562,7.564,
2021/05/27,12:35:04,-0.3605,28.576,33.786,55.084,51066.431,1021.291,21.293,0.23,0.23,1.73,118.33,7.579,7.54,7.601,7.602,
2021/05/27,12:35:04,-0.3802,28.577,33.785,55.083,51065.238,1021.291,21.292,0.22,0.22,2.42,118.75,7.606,7.54,7.628,7.629,
2021/05/27,12:35:04,-0.3605,28.578,33.784,55.084,51063.797,1021.289,21.291,0.23,0.23,5.98,119.02,7.624,7.54,7.645,7.646,
2021/05/27,12:35:04,-0.3605,28.578,33.784,55.083,51064.415,1021.290,21.291,0.22,0.22,2.90,119.34,7.644,7.54,7.665,7.667,
2021/05/27,12:35:04,-0.3605,28.577,33.785,55.085,51066.169,1021.291,21.293,0.27,0.27,1.92,119.91,7.681,7.55,7.702,7.703,
