"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/27","12:35:03",-0.3605,28.575,NA,NA,NA,1021.28,21.282,0.24,0.24,1.61,NA,NA,NA,NA,NA
"2","2021/05/27","12:35:03",-0.3605,28.575,NA,NA,NA,1021.281,21.283,0.24,0.24,1.51,NA,NA,NA,NA,NA
"3","2021/05/27","12:35:03",-0.3605,28.572,33.774,NA,51050.959,1021.284,21.285,0.23,0.23,1.54,NA,NA,NA,NA,NA
"4","2021/05/27","12:35:03",-0.3605,NA,NA,NA,NA,1021.28,21.281,0.24,0.24,1.59,NA,NA,NA,NA,NA
"5","2021/05/27","12:35:03",-0.3605,28.572,NA,NA,NA,1021.281,21.282,0.24,0.24,1.46,NA,NA,NA,NA,NA
"6","2021/05/27","12:35:03",NA,28.573,NA,NA,51049.157,1021.283,21.284,0.24,0.24,1.58,NA,NA,7.5,NA,NA
"7","2021/05/27","12:35:03",-0.3605,NA,33.78,NA,51059.112,1021.289,21.29,0.23,0.23,1.45,NA,NA,NA,NA,NA
"8","2021/05/27","12:35:03",-0.3605,NA,33.782,55.072,51062.687,1021.291,21.293,0.22,0.22,1.58,NA,NA,NA,NA,NA
"9","2021/05/27","12:35:03",-0.3605,NA,33.786,55.076,51067.119,1021.294,21.295,0.24,0.24,1.51,NA,NA,7.51,NA,NA
"10","2021/05/27","12:35:04",-0.3605,NA,33.787,55.08,51068.992,1021.294,NA,0.23,0.23,1.49,NA,NA,7.51,NA,NA
"11","2021/05/27","12:35:04",NA,28.573,33.787,55.083,51068.547,1021.294,21.295,0.21,0.21,1.46,NA,NA,7.51,NA,NA
"12","2021/05/27","12:35:04",NA,28.574,33.786,55.083,51067.293,1021.292,21.294,0.21,0.21,1.56,NA,NA,7.54,NA,NA
"13","2021/05/27","12:35:04",-0.3605,28.575,33.784,55.081,51064.23,1021.29,21.292,0.21,0.21,1.89,NA,NA,7.51,NA,NA
"14","2021/05/27","12:35:04",-0.3605,28.576,33.786,55.084,51066.431,1021.291,21.293,0.23,0.23,1.73,NA,NA,7.54,NA,NA
"15","2021/05/27","12:35:04",NA,28.577,33.785,55.083,51065.238,1021.291,21.292,0.22,0.22,NA,NA,NA,7.54,NA,NA
"16","2021/05/27","12:35:04",-0.3605,28.578,33.784,55.084,51063.797,1021.289,21.291,0.23,0.23,NA,NA,NA,7.54,NA,NA
"17","2021/05/27","12:35:04",-0.3605,28.578,33.784,55.083,51064.415,1021.29,21.291,0.22,0.22,NA,119.34,7.644,7.54,7.665,7.667
"18","2021/05/27","12:35:04",-0.3605,28.577,33.785,55.085,51066.169,1021.291,21.293,0.27,0.27,1.92,119.91,7.681,7.55,7.702,7.703
"19","2021/05/27","12:35:04",-0.3605,28.577,33.785,55.084,51066.136,1021.291,21.293,0.25,0.25,1.54,119.95,7.683,7.56,7.705,7.706
"20","2021/05/27","12:35:05",NA,28.58,33.783,55.084,51062.886,1021.288,21.29,0.24,0.24,1.64,120.3,7.705,7.56,7.727,7.728
"21","2021/05/27","12:35:05",NA,28.584,33.78,55.084,51058.799,1021.285,21.287,0.23,0.23,NA,120.42,7.713,7.55,7.735,7.736
"22","2021/05/27","12:35:05",NA,28.584,33.78,55.084,51057.791,1021.284,21.286,0.25,0.25,NA,120.68,7.73,7.55,7.751,7.753
"23","2021/05/27","12:35:05",-0.3605,28.585,33.779,55.085,51057.457,1021.284,21.285,0.22,0.22,NA,120.42,7.713,7.56,7.735,7.736
"24","2021/05/27","12:35:05",-0.3605,28.586,33.779,55.085,51057.473,1021.284,21.285,0.21,0.21,1.69,120.7,7.731,7.56,7.752,7.754
"25","2021/05/27","12:35:05",-0.3605,28.584,33.78,55.085,51058.507,1021.285,21.286,0.22,0.22,1.66,120.81,7.738,7.56,7.76,7.761
"26","2021/05/27","12:35:05",NA,28.584,33.781,55.086,51059.886,1021.285,21.287,0.28,0.28,2.02,120.72,7.732,7.56,7.754,7.755
"27","2021/05/27","12:35:05",-0.3605,28.584,33.782,55.087,51060.352,1021.286,21.287,0.24,0.24,1.83,120.67,7.729,7.57,7.751,7.752
"28","2021/05/27","12:35:05",NA,28.584,33.78,55.085,51058.397,1021.285,21.286,0.23,0.23,1.55,120.86,7.741,7.55,7.763,7.764
"29","2021/05/27","12:35:05",-0.3605,28.585,33.78,55.085,51057.935,1021.284,21.286,NA,NA,1.76,120.99,7.75,7.57,7.771,7.773
"30","2021/05/27","12:35:06",NA,28.585,33.782,55.088,51060.893,1021.286,21.287,NA,NA,NA,121.17,7.76,7.58,7.782,7.783
"31","2021/05/27","12:35:06",-0.3605,28.585,33.78,55.086,51058.529,1021.284,21.286,0.26,0.26,NA,121.47,7.78,7.57,7.802,7.803
"32","2021/05/27","12:35:06",NA,28.586,33.78,55.086,51058.345,1021.284,21.286,0.22,0.22,NA,121.41,7.775,7.55,7.797,7.799
"33","2021/05/27","12:35:06",-0.3605,28.584,33.782,55.087,51061.332,1021.286,21.288,0.24,0.24,1.85,121.42,7.777,7.57,7.799,7.8
"34","2021/05/27","12:35:06",-0.3605,28.582,33.783,55.086,51061.841,1021.287,21.289,0.24,0.24,1.61,121.5,7.782,7.56,7.803,7.805
"35","2021/05/27","12:35:06",-0.3605,28.581,33.783,55.085,51063.153,1021.288,21.29,0.25,0.25,1.51,121.56,7.785,7.57,7.807,7.808
"36","2021/05/27","12:35:06",NA,28.579,33.785,55.087,51065.704,1021.29,21.292,0.24,0.24,1.49,121.42,7.776,7.58,7.798,7.799
"37","2021/05/27","12:35:06",-0.3605,28.579,33.787,55.09,51068.574,1021.292,21.293,0.23,0.23,1.39,121.6,7.788,7.58,7.81,7.811
"38","2021/05/27","12:35:06",NA,28.58,33.786,55.088,51066.093,1021.29,21.292,0.22,0.22,1.42,121.63,7.789,7.57,7.811,7.813
"39","2021/05/27","12:35:06",NA,28.583,33.784,55.09,51063.906,1021.288,21.289,0.22,0.22,1.32,121.46,7.779,7.56,7.801,7.802
"40","2021/05/27","12:35:07",NA,28.585,33.782,55.088,51061.415,1021.286,21.288,0.21,0.21,1.27,121.28,7.767,7.59,7.788,7.79
"41","2021/05/27","12:35:07",-0.3605,28.585,33.78,55.085,51058.107,1021.284,21.286,0.21,0.21,1.38,121.35,7.771,7.58,7.793,7.795
"42","2021/05/27","12:35:07",-0.3605,28.586,33.779,55.086,51057.428,1021.284,21.285,0.25,0.25,1.59,121.38,7.774,7.57,7.796,7.797
"43","2021/05/27","12:35:07",-0.3605,28.587,33.782,55.09,51060.882,1021.285,21.287,0.24,0.24,1.76,121.47,7.779,7.57,7.801,7.802
"44","2021/05/27","12:35:07",-0.3605,28.587,33.782,55.09,51060.571,1021.285,21.287,0.23,0.23,1.66,121.67,7.791,7.59,7.813,7.815
"45","2021/05/27","12:35:07",-0.3605,28.588,33.781,55.09,51059.709,1021.284,21.286,0.21,0.21,1.76,121.71,7.795,7.59,7.817,7.818
"46","2021/05/27","12:35:07",-0.3605,28.587,33.781,55.089,51059.432,1021.284,21.286,0.19,0.19,1.86,121.68,7.792,7.6,7.814,7.815
"47","2021/05/27","12:35:07",NA,28.588,33.782,55.091,51060.06,1021.285,21.286,0.19,0.19,1.54,121.69,7.793,7.6,7.815,7.816
"48","2021/05/27","12:35:07",-0.3605,28.587,33.785,55.094,51064.261,1021.287,21.289,0.21,0.21,1.42,121.84,7.802,7.59,7.824,7.825
"49","2021/05/27","12:35:07",-0.3605,28.588,33.782,55.092,51060.827,1021.285,21.286,NA,NA,1.46,121.79,7.799,7.6,7.821,7.823
"50","2021/05/27","12:35:08",-0.3605,28.588,33.783,55.092,51061.581,1021.285,21.287,0.28,0.28,1.41,121.89,7.806,7.58,7.828,7.829
"51","2021/05/27","12:35:08",-0.3605,28.588,33.784,55.094,51062.979,1021.286,21.288,0.22,0.22,1.41,121.81,7.801,7.58,7.823,7.824
"52","2021/05/27","12:35:08",-0.3605,28.587,33.784,55.094,51064.067,1021.287,21.289,0.21,0.21,1.49,121.87,7.804,7.59,7.826,7.828
"53","2021/05/27","12:35:08",-0.3605,28.589,33.784,55.094,51062.606,1021.286,21.287,0.21,0.21,1.61,121.88,7.805,7.57,7.827,7.828
"54","2021/05/27","12:35:08",-0.3605,28.591,33.781,55.093,51058.625,1021.283,21.284,0.21,0.21,1.82,122.01,7.813,7.59,7.835,7.837
"55","2021/05/27","12:35:08",-0.3605,28.588,33.783,55.093,51062.017,1021.285,21.287,0.21,0.21,1.72,122.04,7.816,7.6,7.838,7.839
"56","2021/05/27","12:35:08",-0.3605,28.586,33.784,55.092,51063.423,1021.287,21.288,0.21,0.21,1.52,122.07,7.817,7.61,7.839,7.84
"57","2021/05/27","12:35:08",-0.3605,28.585,33.786,55.094,51066.289,1021.289,21.29,0.23,0.23,1.42,122.03,7.814,7.59,7.836,7.837
"58","2021/05/27","12:35:08",-0.3605,28.584,33.787,55.094,51067.748,1021.29,21.292,0.21,0.21,1.39,122.06,7.816,7.6,7.838,7.84
"59","2021/05/27","12:35:08",-0.3605,28.585,33.785,55.092,51065.306,1021.288,21.29,0.2,0.2,1.39,121.98,7.812,7.6,7.834,7.835
"60","2021/05/27","12:35:09",-0.3605,28.585,33.784,55.092,51064.184,1021.288,21.289,0.22,0.22,1.52,122.06,7.816,7.6,7.838,7.839
"61","2021/05/27","12:35:09",-0.3605,28.586,33.785,55.093,51064.426,1021.288,21.289,0.25,0.25,1.58,121.94,7.809,7.58,7.831,7.832
"62","2021/05/27","12:35:09",-0.3605,28.586,33.786,55.095,51065.789,1021.288,21.29,0.24,0.24,1.71,122.06,7.816,7.61,7.838,7.84
"63","2021/05/27","12:35:09",-0.3605,28.586,33.785,55.093,51064.605,1021.288,21.289,0.24,0.24,1.66,121.9,7.806,7.6,7.828,7.829
"64","2021/05/27","12:35:09",-0.3605,28.586,33.784,55.092,51062.905,1021.287,21.288,0.21,0.21,1.45,121.92,7.807,7.61,7.829,7.831
"65","2021/05/27","12:35:09",-0.3605,28.588,33.782,55.092,51061.121,1021.285,21.287,0.21,0.21,1.48,121.87,7.804,7.6,7.826,7.828
"66","2021/05/27","12:35:09",-0.3605,28.593,33.78,55.092,51056.997,1021.281,21.283,0.24,0.24,1.72,122.15,7.822,7.61,7.844,7.846
"67","2021/05/27","12:35:09",-0.3605,28.595,33.777,55.091,51053.73,1021.279,21.281,0.23,0.23,1.71,122.08,7.818,7.58,7.84,7.841
"68","2021/05/27","12:35:09",-0.3605,28.595,33.777,55.091,51053.754,1021.279,21.281,0.24,0.24,1.86,121.96,7.81,7.6,7.832,7.833
"69","2021/05/27","12:35:09",-0.3605,28.593,33.779,55.092,51055.484,1021.28,21.282,0.23,0.23,1.65,122.12,7.82,7.6,7.842,7.844
"70","2021/05/27","12:35:10",-0.3605,28.593,33.779,55.092,51056.284,1021.281,21.282,0.21,0.21,1.59,122.02,7.814,7.61,7.836,7.837
"71","2021/05/27","12:35:10",NA,28.592,33.78,55.092,51057.187,1021.282,21.283,0.21,0.21,1.64,121.92,7.807,7.61,7.829,7.831
"72","2021/05/27","12:35:10",-0.3605,28.592,33.78,55.093,51058.098,1021.282,21.284,0.23,0.23,1.61,121.92,7.807,7.6,7.829,7.83
"73","2021/05/27","12:35:10",NA,28.592,33.78,55.092,51057.183,1021.282,21.283,0.2,0.2,1.54,122.19,7.824,7.61,7.846,7.847
"74","2021/05/27","12:35:10",-0.3605,28.591,33.781,55.093,51058.686,1021.283,21.284,0.21,0.21,1.65,122.03,7.814,7.6,7.836,7.837
"75","2021/05/27","12:35:10",NA,28.591,33.781,55.093,51059.575,1021.283,21.285,0.23,0.23,1.44,122.06,7.816,7.61,7.839,7.84
"76","2021/05/27","12:35:10",-0.3605,28.589,33.784,55.095,51062.781,1021.286,21.287,0.22,0.22,1.39,122.13,7.82,7.6,7.842,7.843
"77","2021/05/27","12:35:10",-0.3605,28.589,33.785,55.096,51064.598,1021.287,21.288,0.21,0.21,1.52,121.92,7.807,7.6,7.829,7.83
"78","2021/05/27","12:35:10",-0.3605,28.587,33.784,55.093,51063.581,1021.287,21.288,0.22,0.22,1.55,122.02,7.814,7.59,7.836,7.837
"79","2021/05/27","12:35:10",-0.3605,28.586,33.784,55.093,51064.082,1021.287,21.289,0.21,0.21,1.42,122.19,7.825,7.61,7.847,7.848
"80","2021/05/27","12:35:11",-0.3605,28.585,33.786,55.094,51066.159,1021.289,21.29,0.23,0.23,1.41,122.04,7.815,7.6,7.837,7.838
"81","2021/05/27","12:35:11",-0.3605,28.586,33.785,55.094,51065.223,1021.288,21.29,0.22,0.22,1.36,122.05,7.816,7.6,7.838,7.839
"82","2021/05/27","12:35:11",NA,28.584,33.786,55.093,51066.51,1021.289,21.291,0.21,0.21,1.32,122.15,7.822,7.59,7.845,7.846
"83","2021/05/27","12:35:11",-0.3605,28.581,33.789,55.094,51070.216,1021.292,21.294,0.22,0.22,1.31,122.07,7.817,7.61,7.839,7.84
"84","2021/05/27","12:35:11",-0.3605,28.58,33.79,55.095,51071.931,1021.293,21.295,0.21,0.21,1.38,121.93,7.808,7.59,7.83,7.831
"85","2021/05/27","12:35:11",-0.3605,28.582,33.789,55.096,51070.898,1021.292,21.294,0.21,0.21,1.44,122.06,7.816,7.61,7.838,7.839
"86","2021/05/27","12:35:11",-0.3605,28.581,33.791,55.097,51072.856,1021.294,21.295,0.2,0.2,1.42,122.07,7.816,7.59,7.838,7.84
"87","2021/05/27","12:35:11",NA,28.582,33.79,55.096,51071.292,1021.292,21.294,0.21,0.21,1.42,122.1,7.818,7.61,7.84,7.841
"88","2021/05/27","12:35:11",NA,28.583,33.789,55.096,51070.84,1021.292,21.294,0.2,0.2,1.46,121.83,7.801,7.6,7.823,7.825
"89","2021/05/27","12:35:11",-0.3605,28.583,33.788,55.095,51069.19,1021.291,21.292,0.19,0.19,1.52,121.85,7.802,7.61,7.824,7.826
"90","2021/05/27","12:35:12",-0.3605,28.584,33.788,55.096,51069.297,1021.291,21.292,0.23,0.23,1.51,121.87,7.804,7.6,7.826,7.827
"91","2021/05/27","12:35:12",-0.3605,28.586,33.788,55.097,51068.515,1021.29,21.291,0.24,0.24,1.56,121.92,7.807,7.6,7.829,7.83
"92","2021/05/27","12:35:12",-0.3605,28.587,33.786,55.096,51066.066,1021.288,21.29,0.21,0.21,1.54,122,7.812,7.6,7.834,7.836
"93","2021/05/27","12:35:12",NA,28.588,33.785,55.096,51065.279,1021.288,21.289,0.21,0.21,1.51,122.1,7.818,7.6,7.84,7.841
"94","2021/05/27","12:35:12",-0.3605,28.59,33.784,55.096,51062.8,1021.285,21.287,0.19,0.19,1.58,122.18,7.824,7.6,7.846,7.847
"95","2021/05/27","12:35:12",NA,28.591,33.783,55.095,51061.548,1021.285,21.286,0.21,0.21,1.58,122.16,7.823,7.61,7.845,7.846
"96","2021/05/27","12:35:12",NA,28.591,33.784,55.097,51062.659,1021.285,21.287,0.2,0.2,1.59,122.14,7.821,7.6,7.843,7.844
"97","2021/05/27","12:35:12",-0.3605,28.591,33.784,55.098,51063.255,1021.285,21.287,0.22,0.22,1.73,122.12,7.82,7.62,7.842,7.843
"98","2021/05/27","12:35:12",-0.3605,28.592,33.783,55.097,51061.467,1021.284,21.286,0.24,0.24,2.03,122.07,7.816,7.59,7.838,7.839
"99","2021/05/27","12:35:12",NA,28.592,33.783,55.096,51061.272,1021.284,21.286,0.24,0.24,1.91,122.34,7.833,7.61,7.855,7.857
"100","2021/05/27","12:35:13",-0.3605,28.591,33.784,55.098,51063.359,1021.285,21.287,0.23,0.23,1.71,122.09,7.817,7.6,7.839,7.84
"101","2021/05/27","12:35:13",-0.3605,28.592,33.784,55.098,51062.756,1021.285,21.287,0.21,0.21,1.58,122.36,7.834,7.59,7.856,7.858
"102","2021/05/27","12:35:13",-0.3605,28.591,33.784,55.097,51063.16,1021.285,21.287,0.19,0.19,1.76,122.18,7.823,7.6,7.846,7.847
"103","2021/05/27","12:35:13",-0.3605,28.591,33.784,55.097,51063.274,1021.285,21.287,0.21,0.21,2.08,122.2,7.825,7.62,7.847,7.849
"104","2021/05/27","12:35:13",-0.3605,28.592,33.783,55.097,51061.779,1021.284,21.286,0.21,0.21,1.68,122.24,7.828,7.6,7.85,7.851
"105","2021/05/27","12:35:13",-0.3605,28.591,33.785,55.099,51064.676,1021.286,21.288,0.22,0.22,1.42,122.02,7.814,7.59,7.836,7.838
"106","2021/05/27","12:35:13",-0.3605,28.592,33.785,55.101,51064.898,1021.286,21.288,0.22,0.22,1.55,122.15,7.822,7.61,7.844,7.845
"107","2021/05/27","12:35:13",NA,28.592,33.78,55.091,51057.015,1021.282,21.283,0.2,0.2,1.55,122.14,7.822,7.6,7.844,7.845
"108","2021/05/27","12:35:13",NA,28.592,33.78,55.092,51057.482,1021.282,21.284,0.21,0.21,1.38,122.23,7.827,7.6,7.849,7.85
"109","2021/05/27","12:35:13",NA,28.594,33.78,55.095,51058.07,1021.282,21.283,0.2,0.2,1.19,122.3,7.831,7.6,7.853,7.854
