//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=100       
StartTime=2021/05/27 12:52:10
EndTime=2021/05/27 12:52:19
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/27,12:52:10,-0.3605,29.226,32.684,54.135,49529.922,1020.249,20.251,0.21,0.21,2.30,108.86,6.942,7.46,6.962,6.962,
2021/05/27,12:52:10,-0.3802,29.228,32.685,54.138,49531.011,1020.249,20.251,0.21,0.21,2.03,109.23,6.965,7.47,6.985,6.986,
2021/05/27,12:52:10,-0.3605,29.229,32.680,54.133,49524.849,1020.246,20.247,0.22,0.22,2.05,109.52,6.984,7.50,7.004,7.005,
2021/05/27,12:52:10,-0.3802,29.234,32.679,54.136,49522.805,1020.243,20.245,0.21,0.21,1.75,109.85,7.005,7.50,7.024,7.025,
2021/05/27,12:52:10,-0.3802,29.234,32.681,54.139,49525.658,1020.245,20.246,0.22,0.22,1.61,110.11,7.021,7.47,7.041,7.042,
2021/05/27,12:52:10,-0.3802,29.233,32.677,54.132,49520.140,1020.242,20.244,0.22,0.22,1.66,110.39,7.039,7.47,7.059,7.060,
2021/05/27,12:52:10,-0.3802,29.232,32.680,54.135,49524.158,1020.244,20.246,0.22,0.22,1.51,110.46,7.044,7.50,7.064,7.065,
2021/05/27,12:52:10,-0.3802,29.230,32.681,54.135,49525.517,1020.246,20.247,0.21,0.21,1.52,110.68,7.058,7.49,7.078,7.079,
2021/05/27,12:52:10,-0.3802,29.230,32.679,54.132,49522.755,1020.244,20.246,0.24,0.24,3.69,110.74,7.062,7.51,7.082,7.083,
2021/05/27,12:52:10,-0.3802,29.229,32.678,54.130,49522.362,1020.244,20.246,0.22,0.22,2.89,110.93,7.074,7.51,7.094,7.094,
2021/05/27,12:52:11,-0.3802,29.229,32.680,54.133,49524.526,1020.245,20.247,0.20,0.20,2.01,111.08,7.084,7.51,7.103,7.104,
2021/05/27,12:52:11,-0.3802,29.231,32.681,54.135,49525.605,1020.246,20.247,0.19,0.19,1.41,111.05,7.081,7.52,7.101,7.102,
2021/05/27,12:52:11,-0.3802,29.228,32.683,54.136,49528.542,1020.248,20.250,0.18,0.18,1.25,111.10,7.085,7.53,7.105,7.106,
2021/05/27,12:52:11,-0.3802,29.228,32.685,54.138,49531.618,1020.250,20.251,0.18,0.18,1.22,111.25,7.095,7.53,7.115,7.116,
2021/05/27,12:52:11,-0.3802,29.225,32.685,54.135,49531.478,1020.251,20.252,0.18,0.18,1.22,111.37,7.103,7.53,7.123,7.124,
2021/05/27,12:52:11,-0.3802,29.224,32.686,54.136,49533.312,1020.252,20.254,0.22,0.22,1.25,111.52,7.112,7.55,7.132,7.133,
2021/05/27,12:52:11,-0.3802,29.224,32.684,54.133,49530.873,1020.251,20.252,0.22,0.22,1.34,111.60,7.117,7.53,7.137,7.138,
2021/05/27,12:52:11,-0.3802,29.225,32.683,54.132,49528.702,1020.249,20.251,0.20,0.20,1.34,111.59,7.117,7.54,7.137,7.138,
2021/05/27,12:52:11,-0.3802,29.227,32.680,54.131,49524.724,1020.246,20.248,0.21,0.21,1.39,111.82,7.132,7.54,7.152,7.152,
2021/05/27,12:52:11,-0.3802,29.228,32.678,54.129,49522.082,1020.244,20.246,0.21,0.21,1.44,111.78,7.129,7.54,7.149,7.150,
