"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/27","12:52:10",-0.3802,29.228,32.685,54.138,49531.011,1020.249,20.251,0.21,0.21,2.03,NA,NA,NA,NA,NA
"2","2021/05/27","12:52:10",-0.3605,29.229,32.68,54.133,49524.849,1020.246,20.247,0.22,0.22,2.05,NA,NA,NA,NA,NA
"3","2021/05/27","12:52:10",-0.3802,29.234,32.679,54.136,49522.805,1020.243,20.245,0.21,0.21,1.75,NA,NA,NA,NA,NA
"4","2021/05/27","12:52:10",-0.3802,29.234,32.681,54.139,49525.658,1020.245,20.246,0.22,0.22,1.61,NA,NA,NA,NA,NA
"5","2021/05/27","12:52:10",-0.3802,29.233,32.677,54.132,49520.14,1020.242,20.244,0.22,0.22,1.66,NA,NA,NA,NA,NA
"6","2021/05/27","12:52:10",-0.3802,29.232,32.68,54.135,49524.158,1020.244,20.246,0.22,0.22,1.51,NA,NA,NA,NA,NA
"7","2021/05/27","12:52:10",-0.3802,29.23,32.681,54.135,49525.517,1020.246,20.247,0.21,0.21,1.52,NA,NA,NA,NA,NA
"8","2021/05/27","12:52:10",-0.3802,29.23,32.679,54.132,49522.755,1020.244,20.246,0.24,0.24,NA,NA,NA,NA,NA,NA
"9","2021/05/27","12:52:10",-0.3802,29.229,32.678,54.13,49522.362,1020.244,20.246,0.22,0.22,NA,NA,NA,NA,NA,NA
"10","2021/05/27","12:52:11",-0.3802,29.229,32.68,54.133,49524.526,1020.245,20.247,0.2,0.2,2.01,NA,NA,NA,NA,NA
"11","2021/05/27","12:52:11",-0.3802,29.231,32.681,54.135,49525.605,1020.246,20.247,0.19,0.19,1.41,NA,NA,NA,NA,NA
"12","2021/05/27","12:52:11",-0.3802,29.228,32.683,54.136,49528.542,1020.248,20.25,0.18,0.18,1.25,NA,NA,NA,NA,NA
"13","2021/05/27","12:52:11",-0.3802,29.228,32.685,54.138,49531.618,1020.25,20.251,0.18,0.18,1.22,NA,NA,NA,NA,NA
"14","2021/05/27","12:52:11",-0.3802,29.225,32.685,54.135,49531.478,1020.251,20.252,0.18,0.18,1.22,NA,NA,NA,NA,NA
"15","2021/05/27","12:52:11",-0.3802,29.224,32.686,54.136,49533.312,1020.252,20.254,0.22,0.22,1.25,111.52,7.112,7.55,7.132,7.133
"16","2021/05/27","12:52:11",-0.3802,29.224,32.684,54.133,49530.873,1020.251,20.252,0.22,0.22,1.34,111.6,7.117,NA,7.137,7.138
"17","2021/05/27","12:52:11",-0.3802,29.225,32.683,54.132,49528.702,1020.249,20.251,0.2,0.2,1.34,111.59,7.117,NA,7.137,7.138
"18","2021/05/27","12:52:11",-0.3802,29.227,32.68,54.131,49524.724,1020.246,20.248,0.21,0.21,1.39,111.82,7.132,NA,7.152,7.152
"19","2021/05/27","12:52:11",-0.3802,29.228,32.678,54.129,49522.082,1020.244,20.246,0.21,0.21,1.44,111.78,7.129,NA,7.149,7.15
"20","2021/05/27","12:52:12",-0.3802,29.229,32.678,54.129,49521.322,1020.244,20.245,0.23,0.23,1.48,111.91,7.138,7.56,7.158,7.159
