//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2021/05/27 08:09:43
EndTime=2021/05/27 08:09:53
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/27,08:09:43,-0.3802,26.852,32.875,52.034,49996.924,1021.163,21.165,0.33,0.33,1.18,92.02,6.094,7.43,6.112,6.113,
2021/05/27,08:09:43,-0.3998,26.849,32.880,52.038,50003.766,1021.168,21.170,0.33,0.33,1.19,91.66,6.070,7.44,6.087,6.088,
2021/05/27,08:09:43,-0.4194,26.845,32.888,52.045,50015.335,1021.176,21.177,0.34,0.34,1.28,91.50,6.058,7.47,6.076,6.076,
2021/05/27,08:09:43,-0.3998,26.845,32.898,52.059,50028.667,1021.183,21.185,0.33,0.33,1.14,91.33,6.047,7.45,6.064,6.065,
2021/05/27,08:09:43,-0.4194,26.849,32.904,52.072,50036.434,1021.186,21.188,0.32,0.32,1.08,91.18,6.037,7.46,6.054,6.055,
2021/05/27,08:09:43,-0.4194,26.854,32.899,52.068,50028.075,1021.180,21.182,0.36,0.36,1.09,91.00,6.023,7.47,6.041,6.041,
2021/05/27,08:09:43,-0.4194,26.859,32.898,52.074,50027.426,1021.178,21.180,0.34,0.34,0.92,90.92,6.018,7.48,6.035,6.036,
2021/05/27,08:09:43,-0.4194,26.871,32.893,52.077,50018.640,1021.171,21.172,0.34,0.34,1.02,90.78,6.008,7.49,6.025,6.026,
2021/05/27,08:09:43,-0.4194,26.872,32.896,52.082,50022.458,1021.172,21.174,0.34,0.34,0.98,90.60,5.997,7.49,6.014,6.015,
2021/05/27,08:09:43,-0.4194,26.862,32.893,52.069,50019.987,1021.174,21.175,0.31,0.31,1.00,90.57,5.995,7.50,6.012,6.013,
2021/05/27,08:09:44,-0.4194,26.856,32.900,52.073,50030.164,1021.181,21.183,0.32,0.32,0.98,90.56,5.994,7.51,6.011,6.011,
2021/05/27,08:09:44,-0.4194,26.847,32.903,52.068,50034.477,1021.186,21.187,0.33,0.33,0.90,90.50,5.991,7.51,6.008,6.009,
2021/05/27,08:09:44,-0.4194,26.841,32.902,52.060,50034.020,1021.187,21.189,0.31,0.31,0.98,90.39,5.983,7.52,6.000,6.001,
2021/05/27,08:09:44,-0.4194,26.851,32.898,52.065,50027.589,1021.181,21.183,0.33,0.33,0.94,90.39,5.983,7.53,6.000,6.001,
2021/05/27,08:09:44,-0.4194,26.852,32.892,52.057,50019.044,1021.176,21.178,0.32,0.32,1.08,90.26,5.975,7.52,5.992,5.993,
2021/05/27,08:09:44,-0.4194,26.847,32.874,52.027,49995.479,1021.164,21.166,0.31,0.31,1.04,90.10,5.966,7.54,5.983,5.983,
