//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2021/05/27 08:20:30
EndTime=2021/05/27 08:20:41
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/27,08:20:30,-0.4390,27.050,30.572,48.955,46841.559,1019.369,19.371,0.49,0.49,1.00,89.81,6.005,7.44,6.022,6.023,
2021/05/27,08:20:30,-0.4587,27.047,30.572,48.951,46841.912,1019.370,19.372,0.49,0.49,1.02,89.66,5.995,7.46,6.013,6.013,
2021/05/27,08:20:30,-0.4783,27.045,30.573,48.951,46843.777,1019.371,19.373,0.47,0.47,1.01,89.49,5.984,7.46,6.001,6.001,
2021/05/27,08:20:30,-0.4783,27.049,30.568,48.948,46836.563,1019.366,19.368,0.49,0.49,1.04,89.37,5.976,7.47,5.993,5.994,
2021/05/27,08:20:30,-0.4587,27.046,30.574,48.953,46844.377,1019.371,19.373,0.47,0.47,1.12,89.22,5.965,7.46,5.982,5.983,
2021/05/27,08:20:30,-0.4390,27.042,30.571,48.946,46841.304,1019.371,19.373,0.49,0.49,1.02,89.13,5.960,7.48,5.977,5.977,
2021/05/27,08:20:30,-0.4390,27.041,30.572,48.946,46842.230,1019.372,19.373,0.49,0.49,1.09,89.10,5.957,7.49,5.974,5.975,
2021/05/27,08:20:30,-0.4390,27.043,30.564,48.936,46831.549,1019.365,19.367,0.50,0.50,1.00,89.02,5.953,7.48,5.970,5.971,
2021/05/27,08:20:30,-0.4390,27.041,30.568,48.939,46836.663,1019.369,19.370,0.50,0.50,1.09,89.00,5.952,7.50,5.969,5.970,
2021/05/27,08:20:30,-0.4390,27.037,30.574,48.944,46845.173,1019.374,19.376,0.50,0.50,1.17,88.86,5.942,7.51,5.959,5.959,
2021/05/27,08:20:31,-0.4390,27.045,30.572,48.950,46842.572,1019.371,19.373,0.50,0.50,1.25,88.79,5.937,7.51,5.955,5.955,
2021/05/27,08:20:31,-0.4587,27.045,30.577,48.957,46849.354,1019.374,19.376,0.48,0.48,1.11,88.65,5.928,7.52,5.945,5.946,
2021/05/27,08:20:31,-0.4390,27.046,30.582,48.964,46855.825,1019.378,19.380,0.49,0.49,1.01,88.59,5.923,7.52,5.940,5.941,
2021/05/27,08:20:31,-0.4783,27.061,30.575,48.968,46844.535,1019.367,19.369,0.49,0.49,1.08,88.65,5.928,7.54,5.945,5.946,
2021/05/27,08:20:31,-0.4587,27.063,30.574,48.969,46843.230,1019.366,19.368,0.48,0.48,1.07,88.63,5.927,7.53,5.944,5.945,
2021/05/27,08:20:31,-0.4390,27.060,30.574,48.966,46843.090,1019.367,19.369,0.50,0.50,1.07,88.60,5.925,7.54,5.942,5.943,
2021/05/27,08:20:31,-0.4587,27.053,30.570,48.955,46839.601,1019.367,19.369,0.50,0.50,1.05,88.49,5.918,7.54,5.935,5.935,
2021/05/27,08:20:31,-0.4390,27.052,30.565,48.946,46832.384,1019.363,19.365,0.48,0.48,0.95,88.46,5.916,7.56,5.933,5.934,
2021/05/27,08:20:31,-0.4587,27.044,30.567,48.942,46836.126,1019.367,19.369,0.48,0.48,1.04,88.45,5.916,7.55,5.933,5.933,
2021/05/27,08:20:31,-0.4587,27.043,30.569,48.943,46838.410,1019.369,19.371,0.48,0.48,0.98,88.42,5.913,7.54,5.930,5.930,
2021/05/27,08:20:32,-0.4587,27.039,30.573,48.946,46844.407,1019.373,19.375,0.48,0.48,1.14,88.28,5.902,7.56,5.919,5.920,
2021/05/27,08:20:32,-0.4390,27.036,30.571,48.940,46841.864,1019.373,19.375,0.48,0.48,1.02,88.33,5.906,7.56,5.923,5.923,
2021/05/27,08:20:32,-0.4587,27.035,30.573,48.941,46844.321,1019.374,19.376,0.47,0.47,1.17,88.37,5.908,7.56,5.925,5.926,
2021/05/27,08:20:32,-0.4587,27.037,30.576,48.947,46848.128,1019.376,19.378,0.47,0.47,0.95,88.39,5.910,7.56,5.927,5.927,
2021/05/27,08:20:32,-0.4587,27.034,30.577,48.946,46849.770,1019.377,19.379,0.48,0.48,1.14,88.28,5.902,7.56,5.919,5.920,
2021/05/27,08:20:32,-0.4587,27.030,30.573,48.936,46844.830,1019.376,19.378,0.48,0.48,0.97,88.31,5.905,7.57,5.922,5.922,
2021/05/27,08:20:32,-0.4587,27.025,30.573,48.932,46844.996,1019.377,19.379,0.48,0.48,0.98,88.25,5.901,7.57,5.918,5.918,
2021/05/27,08:20:32,-0.4587,27.020,30.577,48.933,46850.782,1019.382,19.384,0.48,0.48,1.25,88.25,5.901,7.55,5.918,5.919,
2021/05/27,08:20:32,-0.4390,27.030,30.573,48.938,46845.549,1019.376,19.378,0.48,0.48,1.34,88.17,5.896,7.57,5.913,5.913,
2021/05/27,08:20:32,-0.4587,27.049,30.564,48.942,46831.763,1019.364,19.366,0.47,0.47,1.46,88.14,5.895,7.57,5.912,5.912,
2021/05/27,08:20:33,-0.4587,27.059,30.561,48.947,46825.630,1019.357,19.359,0.48,0.48,1.54,88.22,5.900,7.57,5.917,5.918,
2021/05/27,08:20:33,-0.4587,27.065,30.557,48.947,46819.785,1019.353,19.355,0.47,0.47,1.56,88.18,5.898,7.58,5.915,5.915,
2021/05/27,08:20:33,-0.4587,27.058,30.560,48.945,46825.348,1019.358,19.360,0.47,0.47,1.49,88.22,5.900,7.60,5.917,5.918,
2021/05/27,08:20:33,-0.4587,27.050,30.567,48.947,46834.717,1019.365,19.367,0.48,0.48,1.27,88.24,5.900,7.58,5.917,5.918,
2021/05/27,08:20:33,-0.4587,27.054,30.567,48.951,46834.329,1019.364,19.366,0.46,0.46,1.05,88.23,5.899,7.58,5.916,5.917,
2021/05/27,08:20:33,-0.4587,27.059,30.565,48.953,46832.219,1019.361,19.363,0.47,0.47,1.01,88.23,5.899,7.58,5.916,5.917,
2021/05/27,08:20:33,-0.4390,27.058,30.567,48.955,46834.270,1019.363,19.365,0.49,0.49,0.97,88.26,5.901,7.59,5.918,5.919,
2021/05/27,08:20:33,-0.4587,27.058,30.569,48.958,46837.796,1019.365,19.367,0.47,0.47,0.95,88.24,5.899,7.59,5.916,5.917,
2021/05/27,08:20:33,-0.4587,27.058,30.573,48.963,46842.287,1019.367,19.369,0.47,0.47,0.88,88.19,5.895,7.60,5.912,5.913,
2021/05/27,08:20:33,-0.4587,27.055,30.576,48.966,46847.384,1019.371,19.373,0.46,0.46,0.81,88.24,5.898,7.59,5.915,5.916,
2021/05/27,08:20:34,-0.4587,27.055,30.577,48.967,46848.542,1019.371,19.373,0.47,0.47,0.88,88.24,5.898,7.58,5.915,5.916,
2021/05/27,08:20:34,-0.4587,27.054,30.580,48.970,46852.789,1019.374,19.376,0.47,0.47,0.95,88.15,5.892,7.60,5.909,5.910,
2021/05/27,08:20:34,-0.4587,27.052,30.580,48.967,46852.277,1019.374,19.376,0.47,0.47,0.95,88.12,5.890,7.59,5.907,5.907,
2021/05/27,08:20:34,-0.4587,27.056,30.575,48.965,46845.832,1019.369,19.371,0.48,0.48,1.01,88.08,5.887,7.59,5.904,5.905,
2021/05/27,08:20:34,-0.4587,27.056,30.575,48.965,46845.757,1019.370,19.371,0.47,0.47,1.08,88.09,5.888,7.59,5.905,5.906,
2021/05/27,08:20:34,-0.4587,27.051,30.581,48.968,46853.534,1019.375,19.377,0.48,0.48,1.21,88.09,5.888,7.60,5.905,5.906,
2021/05/27,08:20:34,-0.4587,27.048,30.585,48.971,46859.249,1019.379,19.381,0.48,0.48,1.24,88.06,5.886,7.59,5.903,5.903,
2021/05/27,08:20:34,-0.4587,27.048,30.588,48.976,46864.234,1019.382,19.384,0.50,0.50,1.25,88.06,5.886,7.60,5.903,5.903,
2021/05/27,08:20:34,-0.4587,27.048,30.591,48.980,46868.357,1019.384,19.386,0.50,0.50,1.21,88.12,5.889,7.60,5.906,5.907,
2021/05/27,08:20:34,-0.4587,27.048,30.592,48.981,46869.312,1019.384,19.386,0.49,0.49,1.17,88.15,5.892,7.60,5.909,5.910,
2021/05/27,08:20:35,-0.4587,27.059,30.589,48.987,46863.848,1019.378,19.380,0.47,0.47,1.09,87.99,5.881,7.59,5.898,5.898,
2021/05/27,08:20:35,-0.4587,27.078,30.579,48.991,46849.328,1019.366,19.368,0.51,0.51,1.04,87.94,5.878,7.60,5.895,5.895,
2021/05/27,08:20:35,-0.4783,27.084,30.578,48.995,46846.732,1019.362,19.364,0.55,0.55,0.97,87.99,5.881,7.60,5.898,5.898,
2021/05/27,08:20:35,-0.4587,27.086,30.581,49.000,46850.402,1019.364,19.366,0.48,0.48,0.97,88.09,5.887,7.60,5.904,5.905,
2021/05/27,08:20:35,-0.4587,27.087,30.582,49.004,46852.404,1019.365,19.367,0.47,0.47,0.94,88.05,5.885,7.61,5.902,5.903,
2021/05/27,08:20:35,-0.4587,27.089,30.584,49.008,46854.496,1019.366,19.368,0.48,0.48,0.92,88.05,5.885,7.61,5.901,5.902,
2021/05/27,08:20:35,-0.4587,27.085,30.587,49.009,46859.114,1019.369,19.371,0.47,0.47,0.92,88.11,5.887,7.60,5.904,5.905,
2021/05/27,08:20:35,-0.4587,27.081,30.593,49.015,46868.406,1019.375,19.377,0.47,0.47,0.92,88.00,5.879,7.62,5.896,5.897,
2021/05/27,08:20:35,-0.4587,27.080,30.598,49.020,46874.511,1019.379,19.381,0.46,0.46,1.00,87.94,5.875,7.61,5.892,5.892,
2021/05/27,08:20:35,-0.4783,27.078,30.603,49.025,46881.998,1019.383,19.386,0.47,0.47,1.01,88.05,5.882,7.60,5.899,5.900,
2021/05/27,08:20:36,-0.4587,27.074,30.607,49.027,46887.990,1019.388,19.390,0.47,0.47,0.97,88.06,5.883,7.61,5.900,5.900,
2021/05/27,08:20:36,-0.4783,27.071,30.607,49.025,46888.272,1019.389,19.391,0.47,0.47,0.95,88.04,5.881,7.59,5.898,5.899,
2021/05/27,08:20:36,-0.4783,27.068,30.610,49.026,46892.657,1019.392,19.394,0.46,0.46,0.97,88.00,5.878,7.62,5.895,5.895,
2021/05/27,08:20:36,-0.4587,27.065,30.615,49.030,46899.505,1019.397,19.399,0.47,0.47,0.97,87.94,5.874,7.61,5.891,5.891,
2021/05/27,08:20:36,-0.4587,27.062,30.621,49.035,46907.377,1019.402,19.404,0.48,0.48,0.91,87.97,5.875,7.60,5.892,5.893,
2021/05/27,08:20:36,-0.4783,27.056,30.627,49.039,46916.128,1019.408,19.410,0.49,0.49,0.88,88.03,5.879,7.60,5.896,5.896,
2021/05/27,08:20:36,-0.4587,27.054,30.630,49.041,46920.689,1019.411,19.413,0.51,0.51,0.90,88.12,5.884,7.62,5.901,5.902,
2021/05/27,08:20:36,-0.4783,27.054,30.632,49.044,46923.701,1019.413,19.415,0.48,0.48,0.87,88.13,5.884,7.59,5.901,5.902,
2021/05/27,08:20:36,-0.4587,27.055,30.633,49.046,46924.446,1019.413,19.415,0.46,0.46,0.81,87.98,5.873,7.61,5.890,5.891,
2021/05/27,08:20:36,-0.4587,27.061,30.631,49.050,46922.076,1019.410,19.412,0.46,0.46,0.84,87.95,5.871,7.62,5.888,5.889,
