//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2021/05/27 07:57:57
EndTime=2021/05/27 07:58:10
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/27,07:57:57,-0.3409,26.655,34.085,53.532,51650.957,1022.137,22.138,0.28,0.28,0.85,95.45,6.302,7.44,6.320,6.321,
2021/05/27,07:57:57,-0.3605,26.656,34.091,53.540,51658.699,1022.141,22.142,0.28,0.28,0.90,95.30,6.292,7.45,6.310,6.311,
2021/05/27,07:57:57,-0.3605,26.656,34.091,53.540,51658.597,1022.141,22.142,0.26,0.26,0.70,95.10,6.279,7.47,6.297,6.298,
2021/05/27,07:57:57,-0.3605,26.656,34.083,53.530,51648.167,1022.135,22.136,0.28,0.28,0.77,94.94,6.268,7.45,6.286,6.287,
2021/05/27,07:57:57,-0.3605,26.655,34.087,53.535,51654.120,1022.138,22.140,0.28,0.28,0.78,94.89,6.265,7.47,6.283,6.284,
2021/05/27,07:57:57,-0.3409,26.655,34.093,53.544,51662.191,1022.143,22.144,0.28,0.28,0.84,94.79,6.258,7.47,6.275,6.277,
2021/05/27,07:57:57,-0.3605,26.654,34.094,53.543,51663.546,1022.144,22.145,0.28,0.28,0.87,94.63,6.247,7.48,6.265,6.266,
2021/05/27,07:57:57,-0.3409,26.653,34.098,53.548,51669.168,1022.147,22.149,0.28,0.28,0.97,94.62,6.246,7.48,6.264,6.265,
2021/05/27,07:57:57,-0.3605,26.652,34.100,53.549,51671.486,1022.149,22.150,0.28,0.28,1.04,94.56,6.242,7.47,6.260,6.261,
2021/05/27,07:57:57,-0.3605,26.650,34.101,53.549,51673.450,1022.150,22.152,0.28,0.28,1.02,94.49,6.238,7.50,6.255,6.256,
2021/05/27,07:57:58,-0.3605,26.649,34.098,53.544,51668.932,1022.148,22.150,0.28,0.28,1.00,94.43,6.234,7.50,6.252,6.253,
2021/05/27,07:57:58,-0.3409,26.649,34.100,53.547,51672.062,1022.150,22.151,0.28,0.28,0.91,94.24,6.221,7.50,6.239,6.240,
2021/05/27,07:57:58,-0.3802,26.650,34.098,53.544,51668.660,1022.148,22.149,0.28,0.28,0.87,94.20,6.219,7.52,6.236,6.237,
2021/05/27,07:57:58,-0.3605,26.651,34.096,53.543,51665.842,1022.146,22.147,0.28,0.28,0.88,94.16,6.217,7.52,6.234,6.235,
2021/05/27,07:57:58,-0.3605,26.652,34.097,53.544,51667.090,1022.146,22.148,0.28,0.28,0.87,94.09,6.212,7.53,6.229,6.231,
2021/05/27,07:57:58,-0.3409,26.652,34.099,53.547,51669.874,1022.148,22.150,0.27,0.27,0.85,94.07,6.210,7.54,6.228,6.229,
2021/05/27,07:57:58,-0.3605,26.651,34.098,53.546,51669.473,1022.148,22.149,0.29,0.29,1.05,93.90,6.199,7.54,6.217,6.218,
2021/05/27,07:57:58,-0.3409,26.651,34.099,53.547,51669.847,1022.148,22.150,0.32,0.32,1.73,93.98,6.205,7.53,6.222,6.223,
2021/05/27,07:57:58,-0.3605,26.652,34.099,53.548,51670.697,1022.148,22.150,0.28,0.28,1.15,93.89,6.199,7.54,6.216,6.217,
2021/05/27,07:57:58,-0.3409,26.652,34.099,53.548,51670.195,1022.148,22.150,0.28,0.28,0.95,93.87,6.197,7.54,6.215,6.216,
2021/05/27,07:57:59,-0.3409,26.653,34.101,53.552,51673.444,1022.150,22.151,0.28,0.28,0.95,93.82,6.194,7.55,6.211,6.212,
2021/05/27,07:57:59,-0.3409,26.653,34.102,53.554,51674.678,1022.150,22.152,0.28,0.28,0.97,93.74,6.189,7.55,6.206,6.207,
2021/05/27,07:57:59,-0.3409,26.652,34.104,53.554,51676.418,1022.152,22.153,0.30,0.30,1.01,93.76,6.190,7.55,6.207,6.208,
2021/05/27,07:57:59,-0.3409,26.651,34.104,53.555,51677.522,1022.152,22.154,0.30,0.30,1.04,93.76,6.190,7.57,6.207,6.208,
2021/05/27,07:57:59,-0.3605,26.649,34.107,53.556,51681.268,1022.155,22.157,0.29,0.29,1.07,93.65,6.183,7.55,6.201,6.202,
2021/05/27,07:57:59,-0.3409,26.648,34.110,53.559,51685.322,1022.158,22.159,0.28,0.28,0.98,93.66,6.184,7.57,6.201,6.202,
2021/05/27,07:57:59,-0.3605,26.647,34.111,53.560,51687.502,1022.159,22.161,0.28,0.28,0.91,93.60,6.180,7.57,6.197,6.198,
2021/05/27,07:57:59,-0.3409,26.646,34.114,53.563,51691.023,1022.161,22.163,0.26,0.26,0.81,93.60,6.180,7.56,6.198,6.199,
2021/05/27,07:57:59,-0.3409,26.647,34.116,53.566,51693.273,1022.162,22.164,0.28,0.28,0.85,93.68,6.186,7.56,6.203,6.204,
2021/05/27,07:57:59,-0.3409,26.646,34.118,53.568,51696.293,1022.164,22.166,0.30,0.30,0.84,93.60,6.180,7.55,6.198,6.199,
2021/05/27,07:58:00,-0.3409,26.647,34.116,53.566,51692.909,1022.162,22.164,0.30,0.30,0.84,93.60,6.180,7.57,6.198,6.199,
2021/05/27,07:58:00,-0.3409,26.649,34.115,53.567,51692.539,1022.161,22.163,0.27,0.27,0.84,93.61,6.181,7.56,6.199,6.200,
2021/05/27,07:58:00,-0.3605,26.650,34.114,53.566,51690.236,1022.160,22.161,0.28,0.28,0.77,93.65,6.184,7.56,6.202,6.203,
2021/05/27,07:58:00,-0.3409,26.651,34.115,53.569,51691.361,1022.160,22.162,0.26,0.26,0.75,93.71,6.188,7.55,6.206,6.207,
2021/05/27,07:58:00,-0.3605,26.651,34.116,53.571,51692.853,1022.161,22.162,0.26,0.26,0.78,93.67,6.186,7.58,6.204,6.205,
2021/05/27,07:58:00,-0.3605,26.653,34.113,53.568,51688.285,1022.158,22.160,0.27,0.27,0.78,93.58,6.180,7.60,6.197,6.199,
2021/05/27,07:58:00,-0.3409,26.653,34.113,53.569,51689.574,1022.159,22.160,0.28,0.28,0.80,93.57,6.179,7.56,6.196,6.198,
