"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/27","11:11:39",-0.4587,27.715,26.832,44.111,41624.932,1016.354,16.356,0.66,0.66,9.77,NA,NA,NA,NA,NA
"2","2021/05/27","11:11:39",NA,27.719,26.829,44.109,41619.869,1016.351,16.353,0.64,0.64,8.97,NA,NA,NA,NA,NA
"3","2021/05/27","11:11:39",NA,27.715,26.828,44.104,41618.818,1016.351,16.353,0.64,0.64,9.74,NA,NA,NA,NA,NA
"4","2021/05/27","11:11:39",NA,27.694,26.844,44.11,41642.411,1016.37,16.372,0.63,0.63,10.25,NA,NA,NA,NA,NA
"5","2021/05/27","11:11:39",NA,27.683,26.852,44.113,41654.43,1016.379,16.381,0.62,0.62,8.61,NA,NA,NA,NA,NA
"6","2021/05/27","11:11:39",NA,NA,26.855,44.113,41658.859,1016.383,16.385,0.67,0.67,9.5,NA,5.105,NA,5.12,5.12
"7","2021/05/27","11:11:39",-0.4587,27.68,26.859,44.12,41664.055,1016.385,16.387,0.68,0.68,10.47,NA,5.097,NA,5.112,5.112
"8","2021/05/27","11:11:39",-0.4587,27.686,26.849,44.112,41650.576,1016.376,16.378,0.67,0.67,9.94,75.45,5.089,NA,5.104,5.104
"9","2021/05/27","11:11:39",-0.4587,27.688,26.853,44.119,41655.065,1016.378,16.38,0.67,0.67,9.51,75.29,5.078,NA,5.093,5.093
"10","2021/05/27","11:11:40",-0.4587,27.685,26.859,44.125,41664.509,1016.384,16.386,0.64,0.64,9.14,75.2,5.07,7.53,5.085,5.085
"11","2021/05/27","11:11:40",-0.4587,27.692,26.842,44.106,41639.799,1016.369,16.371,0.64,0.64,9.66,75.1,5.064,7.53,5.079,5.079
"12","2021/05/27","11:11:40",NA,27.697,26.837,44.103,41632.69,1016.364,16.366,0.64,0.64,NA,74.99,5.057,7.54,5.072,5.072
"13","2021/05/27","11:11:40",-0.4587,27.691,26.846,44.111,41645.271,1016.372,16.374,0.61,0.61,9.87,74.95,5.054,7.53,5.069,5.069
