//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2020/10/01 07:55:47
EndTime=2020/10/01 07:55:58
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/01,07:55:47,-0.3802,23.797,0.028,0.046,47.146,997.368,-2.631,-0.02,-0.02,0.91,90.58,7.446,7.98,7.466,7.466,
2020/10/01,07:55:47,-0.4194,23.797,0.028,0.046,47.042,997.367,-2.631,0.01,0.01,0.84,90.66,7.454,7.99,7.474,7.474,
2020/10/01,07:55:47,-0.3998,23.797,0.028,0.046,46.870,997.367,-2.631,0.00,0.00,0.94,90.71,7.461,8.02,7.480,7.480,
2020/10/01,07:55:47,-0.3998,23.794,0.028,0.046,47.016,997.368,-2.630,-0.01,-0.01,0.91,90.64,7.455,8.01,7.475,7.475,
2020/10/01,07:55:47,-0.4194,23.787,0.028,0.046,46.811,997.370,-2.628,-0.01,-0.01,0.82,90.62,7.455,8.01,7.474,7.475,
2020/10/01,07:55:47,-0.3998,23.786,0.028,0.046,47.093,997.370,-2.628,-0.01,-0.01,0.85,90.61,7.455,8.06,7.474,7.475,
2020/10/01,07:55:47,-0.3998,23.792,0.028,0.046,46.981,997.369,-2.630,0.01,0.01,0.88,90.64,7.459,8.02,7.478,7.479,
2020/10/01,07:55:47,-0.3998,23.792,0.028,0.046,47.259,997.369,-2.629,0.01,0.01,1.58,90.68,7.463,8.04,7.482,7.482,
2020/10/01,07:55:47,-0.4194,23.786,0.028,0.046,47.194,997.370,-2.628,0.01,0.01,2.99,90.59,7.455,8.07,7.474,7.475,
2020/10/01,07:55:47,-0.4194,23.790,0.029,0.046,47.610,997.369,-2.629,0.02,0.02,7.48,90.53,7.450,8.08,7.469,7.470,
2020/10/01,07:55:48,-0.4194,23.799,0.028,0.046,47.065,997.367,-2.631,-0.46,-0.46,332.05,90.72,7.460,8.07,7.479,7.479,
2020/10/01,07:55:48,-0.4194,24.417,0.032,0.054,54.662,997.216,-2.782,0.05,0.05,218.28,91.27,7.439,8.08,7.458,7.459,
2020/10/01,07:55:48,-0.3802,25.362,30.704,47.561,47184.989,1019.988,19.990,0.55,0.55,44.02,91.61,6.230,8.08,6.248,6.248,
2020/10/01,07:55:48,-0.3605,25.997,31.363,49.077,48022.995,1020.291,20.293,0.62,0.62,10.80,91.72,6.185,8.09,6.203,6.204,
2020/10/01,07:55:48,-0.3016,26.357,34.666,54.030,52464.044,1022.668,22.669,0.62,0.62,3.69,91.68,6.049,8.09,6.066,6.067,
2020/10/01,07:55:48,-0.3016,26.553,34.157,53.527,51758.284,1022.223,22.224,0.60,0.60,1.92,91.63,6.050,8.09,6.067,6.068,
2020/10/01,07:55:48,-0.3016,26.680,34.082,53.552,51643.739,1022.126,22.128,0.56,0.56,1.56,91.69,6.050,8.09,6.067,6.068,
2020/10/01,07:55:48,-0.3016,26.776,33.992,53.526,51513.417,1022.029,22.030,0.53,0.53,1.39,91.55,6.041,8.10,6.058,6.059,
2020/10/01,07:55:48,-0.3016,26.841,33.942,53.524,51439.812,1021.970,21.972,0.55,0.55,1.35,91.56,6.043,8.11,6.060,6.061,
2020/10/01,07:55:48,-0.3016,26.857,33.935,53.529,51428.090,1021.960,21.961,0.54,0.54,1.29,91.71,6.053,8.14,6.070,6.071,
2020/10/01,07:55:49,-0.3016,26.853,33.930,53.519,51421.902,1021.957,21.959,0.56,0.56,1.28,91.67,6.051,8.12,6.068,6.069,
2020/10/01,07:55:49,-0.3213,26.855,33.911,53.494,51396.558,1021.943,21.944,0.60,0.60,1.29,91.75,6.057,8.12,6.074,6.075,
2020/10/01,07:55:49,-0.3016,26.857,33.919,53.507,51406.605,1021.948,21.949,0.62,0.62,1.28,91.79,6.058,8.14,6.076,6.077,
2020/10/01,07:55:49,-0.3213,26.848,33.919,53.497,51406.910,1021.950,21.952,0.65,0.65,1.25,91.71,6.052,8.14,6.069,6.070,
2020/10/01,07:55:49,-0.3213,26.831,33.927,53.492,51420.581,1021.962,21.964,0.63,0.63,1.29,91.77,6.054,8.14,6.072,6.073,
2020/10/01,07:55:49,-0.3016,26.839,33.918,53.487,51407.808,1021.953,21.955,0.64,0.64,1.21,91.76,6.055,8.14,6.072,6.073,
2020/10/01,07:55:49,-0.3016,26.879,33.882,53.477,51354.144,1021.913,21.914,0.61,0.61,1.09,91.77,6.058,8.12,6.075,6.076,
2020/10/01,07:55:49,-0.3016,26.919,33.839,53.458,51291.992,1021.868,21.869,0.59,0.59,1.08,91.82,6.065,8.12,6.082,6.083,
