//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2020/10/01 08:10:01
EndTime=2020/10/01 08:10:12
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/01,08:10:01,-0.4390,24.732,0.028,0.046,46.653,997.134,-2.864,0.21,0.21,1.52,94.02,7.695,8.00,7.715,7.715,
2020/10/01,08:10:01,-0.4587,24.735,0.028,0.046,46.442,997.133,-2.864,0.20,0.20,1.32,93.92,7.686,8.00,7.706,7.707,
2020/10/01,08:10:01,-0.4587,24.741,0.028,0.046,46.544,997.132,-2.866,0.20,0.20,1.17,93.98,7.693,8.01,7.713,7.713,
2020/10/01,08:10:01,-0.4587,24.746,0.029,0.047,47.050,997.131,-2.867,0.21,0.21,1.99,93.97,7.692,8.03,7.712,7.713,
2020/10/01,08:10:01,-0.4587,24.756,0.028,0.046,46.582,997.128,-2.870,0.22,0.22,3.53,93.98,7.693,8.03,7.714,7.714,
2020/10/01,08:10:01,-0.4783,24.769,0.028,0.046,46.591,997.125,-2.873,0.24,0.24,6.23,93.97,7.693,8.04,7.713,7.713,
2020/10/01,08:10:01,-0.4587,24.783,0.028,0.046,46.155,997.121,-2.877,0.25,0.25,25.32,94.03,7.698,8.04,7.718,7.718,
2020/10/01,08:10:01,-0.4587,24.797,0.028,0.046,46.512,997.118,-2.880,-0.24,-0.24,386.82,95.04,7.779,8.06,7.800,7.800,
2020/10/01,08:10:01,-0.4587,24.842,0.028,0.046,46.550,997.106,-2.892,-1.28,-1.28,1046.81,95.95,7.823,8.08,7.844,7.844,
2020/10/01,08:10:01,-0.4390,25.295,0.081,0.165,164.198,997.030,-2.968,0.21,0.21,266.41,95.88,7.777,8.07,7.797,7.798,
2020/10/01,08:10:02,-0.4194,25.710,22.066,35.576,35028.823,1013.392,13.394,0.60,0.60,67.06,95.49,6.821,8.07,6.840,6.840,
2020/10/01,08:10:02,-0.4194,25.967,15.447,25.857,25319.037,1008.360,8.362,0.70,0.70,19.46,95.26,7.052,8.07,7.072,7.072,
2020/10/01,08:10:02,-0.3998,26.132,25.413,40.746,39756.326,1015.777,15.779,0.72,0.72,7.45,95.01,6.639,8.09,6.659,6.659,
2020/10/01,08:10:02,-0.3802,26.212,24.205,39.058,38043.206,1014.847,14.849,0.74,0.74,4.48,94.64,6.654,8.10,6.673,6.673,
2020/10/01,08:10:02,-0.3998,26.248,24.167,39.029,37986.668,1014.808,14.809,0.77,0.77,3.44,94.47,6.641,8.09,6.661,6.661,
2020/10/01,08:10:02,-0.3998,26.261,24.156,39.024,37970.621,1014.796,14.797,0.72,0.72,2.97,94.27,6.625,8.09,6.644,6.644,
