//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2020/10/01 08:21:37
EndTime=2020/10/01 08:21:50
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/01,08:21:37,-0.4783,24.104,0.029,0.047,47.438,997.292,-2.706,0.11,0.11,5.43,94.15,7.600,7.99,7.620,7.621,
2020/10/01,08:21:37,-0.4979,24.105,0.029,0.047,47.717,997.292,-2.706,0.07,0.07,5.21,94.20,7.604,8.00,7.624,7.625,
2020/10/01,08:21:37,-0.4783,24.099,0.028,0.046,47.159,997.293,-2.705,0.10,0.10,4.51,94.16,7.601,8.01,7.622,7.622,
2020/10/01,08:21:37,-0.4979,24.095,0.029,0.047,47.452,997.294,-2.704,0.04,0.04,3.60,94.20,7.604,8.00,7.625,7.625,
2020/10/01,08:21:37,-0.4979,24.098,0.029,0.046,47.369,997.293,-2.705,0.02,0.02,3.19,94.17,7.602,8.02,7.623,7.623,
2020/10/01,08:21:37,-0.4979,24.104,0.028,0.046,47.328,997.292,-2.706,0.03,0.03,2.90,94.16,7.602,8.03,7.622,7.622,
2020/10/01,08:21:37,-0.4979,24.095,0.029,0.046,47.372,997.294,-2.704,0.05,0.05,2.79,94.17,7.601,8.04,7.621,7.622,
2020/10/01,08:21:37,-0.4979,24.077,0.029,0.046,47.460,997.298,-2.699,0.06,0.06,3.27,94.03,7.591,8.07,7.611,7.611,
2020/10/01,08:21:37,-0.4979,24.058,0.029,0.047,47.649,997.303,-2.695,0.05,0.05,3.94,94.13,7.600,8.06,7.620,7.621,
2020/10/01,08:21:37,-0.4783,24.049,0.029,0.046,47.402,997.305,-2.692,0.06,0.06,5.95,94.48,7.629,8.07,7.650,7.650,
2020/10/01,08:21:38,-0.4979,24.044,0.029,0.046,47.431,997.307,-2.691,0.07,0.07,38.32,94.55,7.637,8.06,7.657,7.658,
2020/10/01,08:21:38,-0.4390,24.195,9.042,15.265,15540.599,1004.049,4.051,0.05,0.05,182.25,95.25,7.307,8.08,7.328,7.327,
2020/10/01,08:21:38,-0.4390,25.302,28.822,44.889,44592.675,1018.588,18.590,0.41,0.41,40.15,95.90,6.542,8.08,6.561,6.561,
2020/10/01,08:21:38,-0.4390,26.108,20.761,33.930,33122.927,1012.297,12.299,0.49,0.49,10.30,95.81,6.802,8.09,6.822,6.821,
2020/10/01,08:21:38,-0.3998,26.629,31.057,49.247,47543.224,1019.865,19.867,0.51,0.51,3.74,95.56,6.383,8.09,6.401,6.402,
2020/10/01,08:21:38,-0.3998,26.983,30.606,48.940,46894.064,1019.416,19.417,0.57,0.57,2.23,95.37,6.376,8.09,6.395,6.395,
2020/10/01,08:21:38,-0.3998,27.197,30.470,48.946,46689.310,1019.246,19.248,0.53,0.53,1.95,95.26,6.367,8.09,6.385,6.386,
