//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2020/10/01 09:41:38
EndTime=2020/10/01 09:41:49
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/01,09:41:38,-0.4194,24.181,0.025,0.038,38.592,997.270,-2.728,0.38,0.38,2.15,95.05,7.801,7.98,7.821,7.821,
2020/10/01,09:41:38,-0.4587,24.186,0.025,0.038,38.653,997.269,-2.729,0.29,0.29,2.55,95.11,7.806,7.98,7.826,7.827,
2020/10/01,09:41:38,-0.4587,24.199,0.025,0.038,38.624,997.266,-2.732,0.43,0.43,1.64,95.19,7.812,8.00,7.832,7.833,
2020/10/01,09:41:38,-0.4587,24.217,0.025,0.038,38.773,997.261,-2.737,0.38,0.38,1.72,95.18,7.812,8.02,7.832,7.833,
2020/10/01,09:41:38,-0.4587,24.233,0.025,0.038,38.614,997.257,-2.741,0.45,0.45,2.53,95.22,7.816,8.01,7.836,7.837,
2020/10/01,09:41:38,-0.4587,24.251,0.025,0.038,38.713,997.253,-2.745,0.39,0.39,2.65,95.31,7.823,8.03,7.843,7.844,
2020/10/01,09:41:38,-0.4587,24.283,0.025,0.038,38.555,997.245,-2.753,0.34,0.34,4.21,95.25,7.819,8.04,7.839,7.840,
2020/10/01,09:41:38,-0.4587,24.303,0.025,0.038,38.339,997.239,-2.758,0.31,0.31,14.70,95.24,7.818,8.06,7.838,7.839,
2020/10/01,09:41:38,-0.4587,24.339,0.025,0.039,39.691,997.231,-2.767,-0.60,-0.60,486.63,95.34,7.827,8.06,7.847,7.848,
2020/10/01,09:41:38,-0.4194,24.594,0.108,0.220,221.902,997.229,-2.769,-0.48,-0.48,519.69,95.35,7.827,8.08,7.847,7.848,
2020/10/01,09:41:39,-0.3998,24.789,9.121,15.574,15646.188,1003.950,3.952,0.28,0.28,133.12,95.29,7.434,8.08,7.454,7.454,
2020/10/01,09:41:39,-0.3998,24.875,11.966,20.028,20082.939,1006.059,6.061,0.45,0.45,41.77,95.04,7.296,8.07,7.316,7.316,
2020/10/01,09:41:39,-0.3605,24.933,35.062,53.084,53163.134,1023.407,23.409,0.48,0.48,19.06,94.81,6.383,8.07,6.401,6.402,
2020/10/01,09:41:39,-0.3409,24.986,34.392,52.236,52252.637,1022.885,22.886,0.48,0.48,12.81,94.68,6.400,8.08,6.418,6.419,
2020/10/01,09:41:39,-0.3605,25.023,34.365,52.237,52210.456,1022.853,22.854,0.48,0.48,11.15,94.33,6.377,8.09,6.395,6.396,
2020/10/01,09:41:39,-0.3409,25.045,34.343,52.231,52179.043,1022.830,22.831,0.48,0.48,10.75,94.00,6.356,8.09,6.374,6.375,
