//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2020/10/01 09:52:29
EndTime=2020/10/01 09:52:40
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/01,09:52:29,-0.3998,24.617,0.028,0.046,46.236,997.163,-2.835,0.24,0.24,0.53,92.08,7.559,7.97,7.579,7.579,
2020/10/01,09:52:29,-0.4390,24.584,0.028,0.045,45.914,997.171,-2.827,0.24,0.24,0.51,92.10,7.562,7.99,7.581,7.582,
2020/10/01,09:52:29,-0.4390,24.565,0.028,0.046,46.040,997.176,-2.822,0.11,0.11,0.65,92.11,7.562,8.00,7.582,7.582,
2020/10/01,09:52:29,-0.4390,24.563,0.028,0.046,46.356,997.177,-2.821,0.11,0.11,0.85,92.11,7.562,8.00,7.581,7.582,
2020/10/01,09:52:29,-0.4194,24.564,0.028,0.046,46.291,997.177,-2.821,0.18,0.18,1.02,92.16,7.566,8.00,7.586,7.586,
2020/10/01,09:52:29,-0.4194,24.561,0.028,0.046,46.295,997.178,-2.821,0.20,0.20,2.08,92.21,7.571,8.03,7.591,7.591,
2020/10/01,09:52:29,-0.4194,24.561,0.028,0.046,46.300,997.178,-2.820,0.18,0.18,3.14,92.16,7.568,8.02,7.587,7.588,
2020/10/01,09:52:29,-0.4390,24.558,0.028,0.046,46.212,997.178,-2.820,0.17,0.17,17.79,92.16,7.568,8.02,7.588,7.588,
2020/10/01,09:52:29,-0.4390,24.542,0.028,0.046,46.069,997.182,-2.816,0.11,0.11,64.58,92.11,7.564,8.06,7.583,7.584,
2020/10/01,09:52:29,-0.4194,24.538,0.028,0.046,46.026,997.183,-2.815,0.05,0.05,118.78,92.13,7.565,8.05,7.585,7.585,
2020/10/01,09:52:30,-0.3409,24.623,31.143,47.471,47867.509,1020.540,20.541,-0.07,-0.07,248.66,92.08,6.342,8.06,6.359,6.360,
2020/10/01,09:52:30,-0.3802,24.777,20.038,32.004,32161.713,1012.138,12.140,0.39,0.39,62.80,91.94,6.750,8.06,6.769,6.769,
2020/10/01,09:52:30,-0.3802,24.879,26.402,41.145,41254.391,1016.892,16.894,0.50,0.50,21.25,91.80,6.501,8.08,6.519,6.520,
2020/10/01,09:52:30,-0.3213,24.942,34.674,52.572,52638.344,1023.111,23.112,0.49,0.49,11.25,91.67,6.193,8.08,6.210,6.211,
2020/10/01,09:52:30,-0.3409,24.978,34.191,51.957,51981.281,1022.735,22.737,0.47,0.47,8.86,91.44,6.196,8.09,6.213,6.214,
2020/10/01,09:52:30,-0.3213,24.999,34.176,51.957,51958.399,1022.718,22.719,0.47,0.47,9.07,91.31,6.187,8.08,6.204,6.205,
