"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/01","09:52:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1,NA,NA,NA,NA
"2","2020/10/01","09:52:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.11,NA,NA,NA,NA
"3","2020/10/01","09:52:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.11,NA,NA,NA,NA
"4","2020/10/01","09:52:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.16,NA,NA,NA,NA
"5","2020/10/01","09:52:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.21,NA,NA,NA,NA
"6","2020/10/01","09:52:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.16,NA,NA,NA,NA
"7","2020/10/01","09:52:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.16,NA,NA,NA,NA
"8","2020/10/01","09:52:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.11,NA,NA,NA,NA
"9","2020/10/01","09:52:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.13,NA,NA,NA,NA
"10","2020/10/01","09:52:30",-0.3409,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.08,NA,NA,NA,NA
"11","2020/10/01","09:52:30",NA,NA,NA,NA,NA,NA,NA,0.39,0.39,NA,91.94,NA,NA,NA,NA
"12","2020/10/01","09:52:30",NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,91.8,NA,NA,NA,NA
"13","2020/10/01","09:52:30",-0.3213,NA,NA,NA,NA,NA,NA,0.49,0.49,NA,91.67,6.193,NA,6.21,6.211
"14","2020/10/01","09:52:30",-0.3409,NA,NA,NA,NA,NA,NA,0.47,0.47,8.86,91.44,6.196,NA,6.213,6.214
"15","2020/10/01","09:52:30",-0.3213,24.999,34.176,NA,51958.399,NA,22.719,0.47,0.47,9.07,91.31,6.187,NA,6.204,6.205
"16","2020/10/01","09:52:30",-0.3409,25.009,34.169,51.958,51948.089,1022.709,22.711,0.48,0.48,8.97,91.21,6.181,8.11,6.198,6.199
"17","2020/10/01","09:52:30",-0.3213,25.008,34.172,51.96,51951.377,1022.712,22.713,0.48,0.48,9.1,91.11,6.174,8.1,6.191,6.192
"18","2020/10/01","09:52:30",-0.3409,25.006,34.175,51.964,51956.69,1022.715,22.716,0.48,0.48,8.81,91,6.167,8.14,6.184,6.185
"19","2020/10/01","09:52:30",-0.3213,25.011,34.173,51.966,51952.816,1022.712,22.713,0.47,0.47,7.71,90.81,6.154,8.1,6.171,6.172
"20","2020/10/01","09:52:31",-0.3409,25.017,34.17,51.967,51948.009,1022.707,22.709,0.46,0.46,7.41,90.77,6.152,8.12,6.168,6.169
"21","2020/10/01","09:52:31",-0.3409,25.022,34.165,51.967,51941.399,1022.702,22.704,0.45,0.45,7.3,90.73,6.149,NA,6.166,6.167
"22","2020/10/01","09:52:31",-0.3409,25.023,34.165,51.966,51940.605,1022.702,22.703,0.44,0.44,7.03,90.46,6.13,8.12,6.147,6.148
"23","2020/10/01","09:52:31",-0.3213,25.025,34.166,51.97,51941.313,1022.702,22.703,0.45,0.45,6.67,90.39,6.126,8.11,6.143,6.144
"24","2020/10/01","09:52:31",-0.3409,25.027,34.166,51.973,51941.706,1022.701,22.703,0.46,0.46,7.01,90.29,6.119,8.12,6.136,6.137
"25","2020/10/01","09:52:31",-0.3409,25.028,34.164,51.97,51938.342,1022.699,22.701,0.46,0.46,7.08,90.21,6.114,8.12,6.131,6.132
"26","2020/10/01","09:52:31",-0.3213,25.03,34.167,51.976,51941.956,1022.701,22.703,0.44,0.44,7.03,90.07,6.103,8.14,6.12,6.121
"27","2020/10/01","09:52:31",-0.3409,25.031,34.162,51.972,51935.934,1022.697,22.699,0.45,0.45,6.77,89.96,6.097,8.14,6.113,6.114
"28","2020/10/01","09:52:31",-0.3409,25.033,34.161,51.973,51934.493,1022.696,22.697,0.46,0.46,6.91,89.88,6.091,8.12,6.107,6.108
"29","2020/10/01","09:52:31",-0.3409,25.034,34.165,51.978,51939.267,1022.699,22.7,0.46,0.46,7.14,89.72,6.08,8.12,6.097,6.098
"30","2020/10/01","09:52:32",-0.3409,25.034,34.165,51.978,51939.249,1022.699,22.7,0.47,0.47,7.37,89.62,6.073,8.15,6.09,6.091
"31","2020/10/01","09:52:32",-0.3213,25.034,34.167,51.98,51941.487,1022.7,22.701,0.44,0.44,7.64,89.53,6.067,8.14,6.083,6.084
"32","2020/10/01","09:52:32",-0.3409,25.035,34.168,51.983,51943.055,1022.7,22.702,0.46,0.46,8.74,89.48,6.064,8.12,6.081,6.082
"33","2020/10/01","09:52:32",-0.3409,25.033,34.169,51.982,51944.299,1022.702,22.703,0.45,0.45,7.87,89.44,6.061,8.14,6.077,6.078
"34","2020/10/01","09:52:32",-0.3213,25.032,34.168,51.981,51944.257,1022.702,22.703,0.44,0.44,7.45,89.26,6.049,8.14,6.066,6.067
"35","2020/10/01","09:52:32",-0.3213,25.03,34.173,51.985,51950.03,1022.705,22.707,0.44,0.44,7.48,89.21,6.046,8.14,6.062,6.063
"36","2020/10/01","09:52:32",-0.3213,25.03,34.173,51.984,51950.448,1022.706,22.707,0.42,0.42,7.33,89.14,6.04,8.15,6.057,6.058
"37","2020/10/01","09:52:32",-0.3409,25.028,34.175,51.986,51953.625,1022.708,22.709,0.42,0.42,7.3,89.14,6.04,8.14,6.057,6.058
"38","2020/10/01","09:52:32",-0.3409,25.027,34.174,51.983,51951.728,1022.707,22.709,0.42,0.42,7.8,89,6.031,8.14,6.048,6.049
"39","2020/10/01","09:52:32",-0.3213,25.028,34.171,51.981,51948.598,1022.705,22.707,0.43,0.43,7.4,88.86,6.022,8.13,6.038,6.039
"40","2020/10/01","09:52:33",-0.3409,25.032,34.167,51.979,51942.112,1022.7,22.702,0.42,0.42,7.3,88.8,6.018,8.14,6.034,6.035
