//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2020/10/01 10:41:46
EndTime=2020/10/01 10:42:00
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/01,10:41:46,-0.4587,26.336,0.028,0.045,44.079,996.715,-3.283,-5.05,-5.05,-9.19,92.34,7.306,7.97,7.326,7.327,
2020/10/01,10:41:46,-0.4587,26.340,0.028,0.046,44.306,996.713,-3.285,-5.05,-5.05,-9.19,65.98,5.221,7.99,5.235,5.236,
2020/10/01,10:41:46,-0.4587,26.342,0.028,0.045,44.113,996.713,-3.285,-5.05,-5.05,-8.58,71.01,5.619,7.99,5.635,5.635,
2020/10/01,10:41:46,-0.4587,26.344,0.028,0.045,43.981,996.712,-3.286,-4.86,-4.86,-3.52,84.24,6.667,8.00,6.685,6.686,
2020/10/01,10:41:46,-0.4587,26.355,0.028,0.046,44.219,996.709,-3.289,-1.86,-1.86,-0.84,89.44,7.079,8.00,7.098,7.099,
2020/10/01,10:41:46,-0.4587,26.341,0.028,0.046,44.299,996.713,-3.285,-0.36,-0.36,0.00,91.37,7.232,8.03,7.252,7.252,
2020/10/01,10:41:46,-0.4587,26.325,0.028,0.046,44.325,996.717,-3.280,-0.02,-0.02,0.20,91.96,7.279,8.02,7.299,7.299,
2020/10/01,10:41:46,-0.4783,26.326,0.028,0.046,44.365,996.717,-3.281,0.07,0.07,0.26,92.18,7.297,8.02,7.318,7.318,
2020/10/01,10:41:46,-0.4587,26.324,0.028,0.046,44.265,996.718,-3.280,0.09,0.09,0.26,92.21,7.300,8.04,7.320,7.320,
2020/10/01,10:41:46,-0.4587,26.331,0.028,0.045,44.143,996.716,-3.282,-5.05,-5.05,-9.08,92.21,7.301,8.06,7.321,7.321,
2020/10/01,10:41:47,-0.4587,26.345,0.028,0.046,44.341,996.712,-3.286,-3.41,-3.41,-3.93,92.18,7.298,8.06,7.319,7.319,
2020/10/01,10:41:47,-0.4587,26.365,0.028,0.045,44.002,996.707,-3.291,-1.72,-1.72,-1.45,92.22,7.302,8.07,7.323,7.323,
2020/10/01,10:41:47,-0.4783,26.385,0.028,0.046,44.310,996.701,-3.297,-0.34,-0.34,-0.14,92.30,7.308,8.06,7.329,7.329,
2020/10/01,10:41:47,-0.4783,26.389,0.028,0.046,44.182,996.700,-3.298,-0.02,-0.02,0.16,92.25,7.305,8.08,7.325,7.326,
2020/10/01,10:41:47,-0.4587,26.387,0.028,0.045,44.087,996.701,-3.297,0.06,0.06,0.23,92.13,7.295,8.09,7.315,7.316,
2020/10/01,10:41:47,-0.4587,26.382,0.028,0.046,44.439,996.702,-3.296,0.08,0.08,0.26,92.18,7.300,8.09,7.320,7.320,
2020/10/01,10:41:47,-0.4783,26.386,0.028,0.046,44.294,996.701,-3.297,0.09,0.09,0.26,92.21,7.302,8.07,7.322,7.322,
