//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2020/10/01 10:54:11
EndTime=2020/10/01 10:54:23
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/01,10:54:11,-0.4587,27.272,24.635,40.504,38576.103,1014.847,14.849,0.24,0.24,47.76,97.38,6.739,7.97,6.759,6.759,
2020/10/01,10:54:11,-0.4783,27.485,22.294,37.167,35240.076,1013.029,13.031,0.33,0.33,13.22,97.31,6.796,8.00,6.816,6.816,
2020/10/01,10:54:11,-0.4194,27.642,30.767,49.793,47057.376,1019.328,19.330,0.38,0.38,5.50,97.06,6.443,8.01,6.462,6.463,
2020/10/01,10:54:11,-0.4390,27.760,30.700,49.807,46955.883,1019.240,19.242,0.38,0.38,3.59,96.84,6.419,8.02,6.438,6.438,
2020/10/01,10:54:11,-0.4390,27.867,30.641,49.822,46866.177,1019.161,19.163,0.38,0.38,3.03,96.59,6.393,8.00,6.411,6.412,
2020/10/01,10:54:11,-0.4390,27.942,30.598,49.831,46801.108,1019.105,19.107,0.38,0.38,2.76,96.05,6.349,8.01,6.367,6.368,
2020/10/01,10:54:11,-0.4390,27.981,30.573,49.832,46764.517,1019.074,19.076,0.39,0.39,2.67,95.68,6.319,8.04,6.337,6.337,
2020/10/01,10:54:11,-0.4390,28.020,30.541,49.821,46717.245,1019.037,19.039,0.38,0.38,2.60,95.39,6.297,8.03,6.315,6.316,
2020/10/01,10:54:11,-0.4194,28.044,30.526,49.821,46694.273,1019.018,19.020,0.38,0.38,2.55,95.18,6.282,8.04,6.300,6.301,
2020/10/01,10:54:11,-0.4390,28.066,30.517,49.829,46680.344,1019.004,19.006,0.38,0.38,2.50,94.99,6.269,8.05,6.287,6.288,
2020/10/01,10:54:12,-0.4194,28.078,30.511,49.831,46671.210,1018.996,18.998,0.37,0.37,2.46,94.76,6.255,8.05,6.273,6.274,
2020/10/01,10:54:12,-0.4194,28.082,30.506,49.828,46664.074,1018.991,18.993,0.38,0.38,2.40,94.51,6.236,8.06,6.254,6.254,
2020/10/01,10:54:12,-0.4390,28.084,30.492,49.810,46644.674,1018.980,18.982,0.38,0.38,2.36,94.39,6.224,8.06,6.242,6.243,
2020/10/01,10:54:12,-0.4390,28.085,30.492,49.810,46644.492,1018.979,18.981,0.38,0.38,2.36,94.31,6.217,8.07,6.235,6.235,
2020/10/01,10:54:12,-0.4390,28.084,30.496,49.816,46650.607,1018.983,18.985,0.40,0.40,2.45,94.31,6.215,8.08,6.233,6.234,
2020/10/01,10:54:12,-0.4390,28.074,30.504,49.818,46662.598,1018.992,18.994,0.39,0.39,2.53,94.13,6.202,8.08,6.220,6.220,
2020/10/01,10:54:12,-0.4194,28.047,30.518,49.813,46683.518,1019.011,19.013,0.38,0.38,2.46,93.83,6.180,8.08,6.198,6.199,
