//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=160       
StartTime=2020/10/01 11:08:24
EndTime=2020/10/01 11:08:39
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/01,11:08:24,-0.4979,25.619,0.025,0.037,36.674,996.902,-3.096,0.08,0.08,0.51,88.09,6.876,7.97,6.895,6.895,
2020/10/01,11:08:24,-0.5176,25.611,0.025,0.037,36.784,996.904,-3.093,0.08,0.08,0.50,88.16,6.881,7.98,6.901,6.901,
2020/10/01,11:08:24,-0.5176,25.606,0.025,0.037,36.887,996.906,-3.092,0.08,0.08,0.50,88.20,6.884,7.99,6.904,6.904,
2020/10/01,11:08:24,-0.5176,25.599,0.025,0.037,36.763,996.907,-3.090,0.08,0.08,0.48,88.09,6.877,8.01,6.896,6.896,
2020/10/01,11:08:24,-0.5176,25.604,0.025,0.037,36.671,996.906,-3.092,0.08,0.08,0.48,88.21,6.885,8.02,6.905,6.905,
2020/10/01,11:08:24,-0.5176,25.619,0.025,0.037,36.719,996.902,-3.096,0.08,0.08,0.47,88.23,6.887,8.03,6.906,6.907,
2020/10/01,11:08:24,-0.5176,25.626,0.025,0.037,36.787,996.900,-3.097,-3.43,-3.43,-1.80,88.21,6.885,8.03,6.904,6.905,
2020/10/01,11:08:24,-0.5176,25.622,0.025,0.037,36.703,996.901,-3.096,-1.86,-1.86,-0.85,88.13,6.879,8.04,6.898,6.899,
2020/10/01,11:08:24,-0.5176,25.610,0.025,0.037,36.887,996.905,-3.093,-2.35,-2.35,-1.53,88.07,6.875,8.05,6.895,6.895,
2020/10/01,11:08:24,-0.5176,25.607,0.025,0.037,36.686,996.905,-3.092,-1.80,-1.80,6.15,88.23,6.889,8.06,6.908,6.909,
2020/10/01,11:08:25,-0.4783,26.215,0.037,0.068,66.347,996.754,-3.244,-0.12,-0.12,4.10,89.05,6.949,8.06,6.969,6.969,
2020/10/01,11:08:25,-0.4587,27.098,8.462,15.214,14542.572,1002.817,2.820,0.26,0.26,1.86,89.27,6.639,8.07,6.658,6.658,
2020/10/01,11:08:25,-0.3998,27.633,35.501,56.548,53452.037,1022.890,22.891,0.34,0.34,1.55,89.35,5.711,8.07,5.727,5.728,
2020/10/01,11:08:25,-0.3998,27.924,34.628,55.617,52255.709,1022.138,22.140,0.37,0.37,1.55,89.34,5.735,8.05,5.751,5.752,
2020/10/01,11:08:25,-0.3998,28.093,34.512,55.629,52084.115,1021.995,21.997,0.40,0.40,1.55,89.20,5.727,8.08,5.743,5.744,
2020/10/01,11:08:25,-0.3998,28.186,34.444,55.629,51984.577,1021.914,21.916,0.40,0.40,1.56,89.15,5.724,8.07,5.741,5.742,
