"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/10","09:35:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/06/10","09:35:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/06/10","09:35:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/06/10","09:35:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/06/10","09:35:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/06/10","09:35:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/06/10","09:35:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/06/10","09:35:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/06/10","09:35:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.091,NA,6.108,6.108
"15","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.73,NA,NA,NA,NA
"17","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021/06/10","09:35:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,NA,NA
"21","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.48,NA,8.16,NA,NA
"24","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16,NA,NA
"25","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16,NA,NA
"27","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16,NA,NA
"28","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17,NA,NA
"29","2021/06/10","09:35:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17,NA,NA
"30","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17,NA,NA
"31","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17,NA,NA
"32","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.18,NA,NA
"33","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.18,NA,NA
"34","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA
"35","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,NA,NA
"36","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,NA,NA
"37","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.876,8.19,5.893,5.893
"38","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,NA,NA
"39","2021/06/10","09:35:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.24,NA,8.2,NA,NA
"40","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,NA,NA
"41","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,NA,NA
"42","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,NA,NA
"43","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,NA,NA
"44","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,NA,NA
"45","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA
"46","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,8.21,NA,NA
"47","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22,NA,NA
"48","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22,NA,NA
"49","2021/06/10","09:35:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22,NA,NA
"50","2021/06/10","09:35:47",-0.5176,27.499,33.096,52.995,50233.328,1021.123,21.125,0.28,0.28,NA,NA,NA,8.22,NA,NA
"51","2021/06/10","09:35:47",-0.5176,27.363,33.172,52.967,50348.8,1021.223,21.226,0.32,0.32,1.02,NA,NA,8.2,NA,NA
