//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=210       
StartTime=2021/06/10 09:45:40
EndTime=2021/06/10 09:46:00
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/06/10,09:45:40,-0.5568,27.354,0.028,0.045,42.827,996.435,-3.562,-0.04,-0.04,0.10,94.51,7.307,8.01,7.327,7.328,
2021/06/10,09:45:40,-0.5764,27.361,0.027,0.045,42.530,996.433,-3.564,-0.04,-0.04,0.11,94.61,7.315,8.00,7.336,7.336,
2021/06/10,09:45:40,-0.5764,27.364,0.028,0.045,42.938,996.432,-3.565,-0.04,-0.04,0.10,94.56,7.311,8.03,7.332,7.332,
2021/06/10,09:45:40,-0.5764,27.363,0.028,0.045,42.760,996.433,-3.565,-0.04,-0.04,0.10,94.46,7.306,8.03,7.326,7.327,
2021/06/10,09:45:40,-0.5764,27.355,0.028,0.045,42.870,996.435,-3.563,-0.04,-0.04,0.10,94.65,7.321,8.04,7.342,7.342,
2021/06/10,09:45:40,-0.5764,27.326,0.027,0.045,42.720,996.443,-3.555,-0.04,-0.04,0.10,94.59,7.316,8.06,7.337,7.337,
2021/06/10,09:45:40,-0.5764,27.309,0.027,0.045,42.738,996.448,-3.550,-0.04,-0.04,0.10,94.55,7.312,8.04,7.333,7.333,
2021/06/10,09:45:40,-0.5764,27.309,0.028,0.045,42.882,996.448,-3.550,-0.04,-0.04,0.10,94.45,7.302,8.05,7.323,7.323,
2021/06/10,09:45:40,-0.5764,27.310,0.027,0.045,42.615,996.447,-3.550,-0.04,-0.04,0.10,94.64,7.315,8.05,7.336,7.336,
2021/06/10,09:45:40,-0.5764,27.322,0.028,0.045,42.902,996.444,-3.554,-0.05,-0.05,0.10,94.53,7.306,8.07,7.327,7.327,
2021/06/10,09:45:41,-0.5764,27.326,0.028,0.045,42.851,996.443,-3.554,-0.15,-0.15,0.24,94.56,7.308,8.07,7.328,7.329,
2021/06/10,09:45:41,-0.5764,27.334,0.027,0.045,42.448,996.441,-3.557,-0.10,-0.10,0.40,94.49,7.301,8.08,7.322,7.322,
2021/06/10,09:45:41,-0.5764,27.318,0.028,0.045,42.785,996.445,-3.552,-0.05,-0.05,0.53,94.44,7.297,8.08,7.317,7.318,
2021/06/10,09:45:41,-0.5961,27.289,0.027,0.045,42.753,996.453,-3.544,-0.05,-0.05,0.65,94.25,7.281,8.10,7.302,7.302,
2021/06/10,09:45:41,-0.5961,27.245,0.027,0.045,42.755,996.465,-3.532,-0.04,-0.04,0.84,94.28,7.284,8.10,7.305,7.305,
