//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=200       
StartTime=2021/06/10 09:28:14
EndTime=2021/06/10 09:28:33
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/06/10,09:28:14,-0.4783,26.925,34.067,53.785,51599.552,1022.037,22.039,0.25,0.25,1.11,92.28,6.026,8.00,6.044,6.045,
2021/06/10,09:28:14,-0.5176,26.935,34.036,53.750,51555.721,1022.010,22.012,0.27,0.27,0.98,93.74,6.121,8.00,6.139,6.140,
2021/06/10,09:28:14,-0.5176,26.982,34.007,53.758,51511.931,1021.973,21.975,0.27,0.27,0.97,94.17,6.151,8.03,6.168,6.169,
2021/06/10,09:28:14,-0.4979,26.993,34.013,53.779,51520.060,1021.975,21.977,0.28,0.28,1.05,94.35,6.165,8.03,6.182,6.183,
2021/06/10,09:28:14,-0.4979,26.978,34.032,53.790,51545.937,1021.993,21.995,0.27,0.27,1.45,93.67,6.122,8.01,6.139,6.140,
2021/06/10,09:28:14,-0.4979,26.953,34.051,53.791,51574.482,1022.016,22.018,0.27,0.27,2.02,92.94,6.077,8.04,6.095,6.096,
2021/06/10,09:28:14,-0.5176,26.957,34.041,53.781,51560.929,1022.007,22.009,0.28,0.28,1.38,92.37,6.045,8.06,6.062,6.063,
2021/06/10,09:28:14,-0.5176,27.000,34.027,53.805,51537.118,1021.983,21.985,0.26,0.26,1.08,91.55,5.995,8.05,6.012,6.013,
2021/06/10,09:28:14,-0.4979,27.018,34.055,53.864,51574.176,1021.999,22.001,0.27,0.27,1.02,90.88,5.950,8.06,5.967,5.968,
2021/06/10,09:28:14,-0.4783,27.024,33.980,53.764,51472.356,1021.940,21.942,0.26,0.26,1.08,90.31,5.913,8.05,5.930,5.931,
2021/06/10,09:28:15,-0.4979,27.035,33.981,53.776,51471.604,1021.937,21.939,0.27,0.27,1.01,89.83,5.880,8.08,5.897,5.898,
2021/06/10,09:28:15,-0.4979,27.039,33.990,53.794,51484.540,1021.943,21.945,0.26,0.26,1.54,89.40,5.849,8.07,5.866,5.867,
2021/06/10,09:28:15,-0.4979,27.040,33.992,53.797,51486.281,1021.944,21.946,0.27,0.27,3.22,89.11,5.828,8.10,5.844,5.845,
2021/06/10,09:28:15,-0.4979,27.038,34.009,53.820,51510.110,1021.958,21.960,0.28,0.28,1.88,88.84,5.808,8.09,5.825,5.826,
2021/06/10,09:28:15,-0.4979,27.030,34.047,53.865,51561.933,1021.989,21.991,0.27,0.27,1.17,88.61,5.794,8.09,5.810,5.811,
2021/06/10,09:28:15,-0.4979,27.027,34.018,53.820,51522.865,1021.968,21.970,0.28,0.28,1.17,88.46,5.789,8.11,5.805,5.806,
