//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=230       
StartTime=2021/06/10 07:54:04
EndTime=2021/06/10 07:54:26
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/06/10,07:54:04,-37.2434,7.899,0.033,0.046,73.786,999.702,-0.117,-3.65,-3.65,-2.41,239.57,28.486,7.77,28.521,28.522,
2021/06/10,07:54:04,-0.4390,27.337,30.858,49.634,47207.140,1019.493,19.495,-0.17,-0.17,71.51,34.74,2.309,8.03,2.316,2.316,
2021/06/10,07:54:04,-0.4390,27.180,28.915,46.690,44552.724,1018.083,18.085,0.11,0.11,13.85,66.89,4.505,8.02,4.518,4.518,
2021/06/10,07:54:04,-0.3998,27.086,34.072,53.957,51589.763,1021.990,21.992,0.17,0.17,3.34,85.73,5.617,8.04,5.632,5.633,
2021/06/10,07:54:04,-0.3998,27.037,34.106,53.955,51640.884,1022.031,22.033,0.17,0.17,1.32,94.29,6.180,8.06,6.197,6.198,
2021/06/10,07:54:04,-0.3998,27.014,34.136,53.973,51682.626,1022.061,22.062,0.16,0.16,1.02,97.43,6.386,8.07,6.404,6.405,
2021/06/10,07:54:04,-0.3998,27.007,34.146,53.980,51697.290,1022.071,22.072,0.18,0.18,1.14,98.44,6.452,8.05,6.470,6.471,
2021/06/10,07:54:04,-0.3998,27.005,34.144,53.976,51695.168,1022.070,22.072,0.18,0.18,1.17,98.53,6.458,8.08,6.476,6.477,
2021/06/10,07:54:04,-0.3998,27.001,34.137,53.961,51685.540,1022.066,22.067,0.18,0.18,1.17,98.27,6.441,8.06,6.459,6.460,
2021/06/10,07:54:04,-0.4194,26.994,34.140,53.957,51690.103,1022.070,22.072,0.16,0.16,1.62,97.84,6.411,8.07,6.430,6.431,
2021/06/10,07:54:05,-0.3998,26.985,34.129,53.934,51676.798,1022.065,22.067,0.18,0.18,1.68,97.18,6.367,8.09,6.385,6.387,
2021/06/10,07:54:05,-0.3998,26.986,34.141,53.951,51692.515,1022.074,22.075,0.17,0.17,1.64,96.59,6.330,8.09,6.348,6.349,
2021/06/10,07:54:05,-0.3998,26.988,34.142,53.955,51693.498,1022.074,22.075,0.18,0.18,1.17,95.67,6.270,8.10,6.288,6.289,
2021/06/10,07:54:05,-0.4194,26.988,34.135,53.946,51684.708,1022.068,22.070,0.19,0.19,1.12,94.93,6.222,8.09,6.240,6.241,
2021/06/10,07:54:05,-0.3998,26.990,34.141,53.956,51692.238,1022.072,22.074,0.18,0.18,1.24,94.16,6.173,8.11,6.190,6.191,
2021/06/10,07:54:05,-0.3998,26.993,34.135,53.950,51683.598,1022.067,22.068,0.17,0.17,1.07,93.36,6.122,8.11,6.139,6.140,
2021/06/10,07:54:05,-0.3998,26.994,34.146,53.967,51699.234,1022.075,22.077,0.18,0.18,1.00,92.48,6.064,8.13,6.081,6.082,
2021/06/10,07:54:05,-0.3998,26.991,34.143,53.958,51694.276,1022.073,22.075,0.18,0.18,1.22,91.63,6.008,8.14,6.025,6.026,
2021/06/10,07:54:05,-0.3998,26.987,34.145,53.958,51698.569,1022.077,22.078,0.18,0.18,1.44,90.66,5.944,8.14,5.961,5.962,
2021/06/10,07:54:05,-0.4194,26.987,34.150,53.966,51705.110,1022.080,22.082,0.18,0.18,0.97,89.72,5.882,8.12,5.899,5.900,
