"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/10","11:27:20",-0.5568,28.327,26.064,43.476,40510.894,1015.585,15.587,0.48,0.48,3.8,NA,NA,NA,NA,NA
"2","2021/06/10","11:27:20",-0.5568,28.329,26.084,43.507,40538.153,1015.599,15.601,0.47,0.47,3.8,95.2,6.366,NA,6.385,6.385
"3","2021/06/10","11:27:20",-0.5568,28.363,26.051,43.486,40490.267,1015.564,15.566,0.47,0.47,3.8,NA,NA,NA,NA,NA
"4","2021/06/10","11:27:20",-0.5568,28.37,26.056,43.5,40496.813,1015.565,15.567,0.46,0.46,3.61,95.24,NA,NA,NA,NA
"5","2021/06/10","11:27:20",-0.5568,28.387,26.034,43.48,40464.498,1015.543,15.545,0.45,0.45,3.67,NA,NA,NA,NA,NA
"6","2021/06/10","11:27:20",-0.5568,28.416,26.008,43.465,40426.923,1015.515,15.517,0.46,0.46,3.57,NA,NA,NA,NA,NA
"7","2021/06/10","11:27:20",-0.5372,28.449,25.986,43.46,40394.412,1015.488,15.49,NA,NA,3.6,95.19,6.372,NA,6.39,6.391
"8","2021/06/10","11:27:20",-0.5372,28.481,25.973,43.465,40373.271,1015.467,15.47,0.48,0.48,3.57,95.19,6.371,NA,6.39,6.39
"9","2021/06/10","11:27:20",-0.5372,28.471,25.988,43.48,40395.35,1015.482,15.485,0.48,0.48,3.6,95.06,6.36,NA,6.378,6.378
"10","2021/06/10","11:27:21",-0.5372,28.46,26.001,43.491,40414.684,1015.496,15.498,NA,NA,3.52,94.83,6.341,NA,6.359,6.359
"11","2021/06/10","11:27:21",-0.5568,28.453,26.01,43.499,40427.228,1015.504,15.507,0.47,0.47,3.46,94.81,6.336,NA,6.355,6.355
"12","2021/06/10","11:27:21",-0.5568,28.452,26.024,43.518,40446.114,1015.515,15.517,0.47,0.47,3.39,94.79,6.332,NA,6.351,6.351
"13","2021/06/10","11:27:21",-0.5568,28.463,26.021,43.523,40442.373,1015.51,15.512,0.47,0.47,3.33,94.69,6.326,NA,6.344,6.344
"14","2021/06/10","11:27:21",-0.5568,28.476,26.024,43.537,40444.679,1015.507,15.51,0.48,0.48,3.27,94.6,6.32,NA,6.338,6.338
"15","2021/06/10","11:27:21",-0.5568,28.488,26.02,43.541,40438.172,1015.5,15.503,0.48,0.48,3.26,94.52,6.313,NA,6.331,6.332
"16","2021/06/10","11:27:21",-0.5764,28.499,26.009,43.534,40422.652,1015.489,15.491,0.47,0.47,3.46,94.53,6.313,NA,6.331,6.331
