//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=170       
StartTime=2021/06/24 09:31:26
EndTime=2021/06/24 09:31:42
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/06/24,09:31:26,-0.5568,24.904,0.027,0.044,44.311,997.089,-2.908,-0.05,-0.05,0.31,96.05,7.866,7.86,7.886,7.887,
2021/06/24,09:31:26,-0.5961,24.899,0.027,0.044,44.077,997.090,-2.907,-0.16,-0.16,0.91,95.97,7.859,7.87,7.879,7.880,
2021/06/24,09:31:26,-0.5764,24.886,0.027,0.044,44.031,997.094,-2.904,-0.11,-0.11,1.99,95.96,7.857,7.87,7.877,7.878,
2021/06/24,09:31:26,-0.5764,24.877,0.027,0.044,44.131,997.096,-2.901,-0.11,-0.11,21.96,95.91,7.852,7.90,7.873,7.873,
2021/06/24,09:31:26,-0.5372,25.037,28.354,44.004,43968.705,1018.314,18.317,-0.21,-0.21,215.23,96.16,6.693,7.92,6.711,6.712,
2021/06/24,09:31:26,-0.4979,25.490,32.908,50.724,50183.037,1021.611,21.613,0.27,0.27,47.20,96.30,6.512,7.92,6.531,6.532,
2021/06/24,09:31:26,-0.4979,25.765,32.703,50.714,49874.491,1021.372,21.374,0.31,0.31,13.32,96.24,6.504,7.91,6.523,6.524,
2021/06/24,09:31:26,-0.4979,25.884,32.614,50.709,49740.785,1021.268,21.270,0.34,0.34,6.48,96.18,6.497,7.91,6.515,6.516,
2021/06/24,09:31:26,-0.4979,25.940,32.583,50.720,49691.977,1021.227,21.229,0.34,0.34,5.11,96.04,6.482,7.91,6.500,6.501,
2021/06/24,09:31:26,-0.4979,25.975,32.562,50.726,49660.304,1021.201,21.203,0.34,0.34,4.38,95.95,6.472,7.93,6.490,6.491,
2021/06/24,09:31:27,-0.4979,25.995,32.537,50.710,49623.699,1021.175,21.178,0.35,0.35,3.61,95.90,6.469,7.94,6.487,6.488,
2021/06/24,09:31:27,-0.4979,25.998,32.529,50.702,49612.754,1021.169,21.171,0.34,0.34,3.79,95.86,6.465,7.95,6.483,6.484,
2021/06/24,09:31:27,-0.4979,26.001,32.523,50.697,49604.807,1021.164,21.166,0.36,0.36,4.27,95.71,6.454,7.96,6.472,6.473,
2021/06/24,09:31:27,-0.4783,26.010,32.510,50.689,49586.307,1021.151,21.153,0.34,0.34,4.36,95.55,6.441,7.97,6.459,6.460,
2021/06/24,09:31:27,-0.4979,26.024,32.520,50.716,49598.546,1021.154,21.156,0.33,0.33,4.40,95.59,6.443,7.96,6.461,6.462,
2021/06/24,09:31:27,-0.4783,26.033,32.524,50.730,49602.527,1021.154,21.156,0.31,0.31,4.48,95.41,6.431,7.97,6.449,6.450,
