//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=190       
StartTime=2021/06/24 09:40:10
EndTime=2021/06/24 09:40:28
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/06/24,09:40:10,-0.5764,25.367,0.028,0.045,44.271,996.970,-3.027,-0.15,-0.15,1.48,95.58,7.768,7.87,7.789,7.789,
2021/06/24,09:40:10,-0.5568,25.394,15.028,24.933,24718.525,1008.208,8.211,-0.28,-0.28,179.99,95.73,7.146,7.88,7.166,7.166,
2021/06/24,09:40:10,-0.4979,25.635,34.322,52.808,52080.645,1022.632,22.635,0.23,0.23,37.93,95.86,6.407,7.88,6.425,6.426,
2021/06/24,09:40:10,-0.4979,25.816,34.169,52.785,51854.278,1022.461,22.463,0.33,0.33,8.70,95.91,6.410,7.90,6.428,6.429,
2021/06/24,09:40:10,-0.4783,25.915,34.089,52.777,51735.548,1022.371,22.373,0.38,0.38,3.16,95.92,6.409,7.92,6.427,6.428,
2021/06/24,09:40:10,-0.4783,25.961,34.052,52.773,51680.470,1022.328,22.330,0.35,0.35,2.03,95.79,6.399,7.89,6.417,6.418,
2021/06/24,09:40:10,-0.4587,25.989,34.028,52.769,51645.054,1022.302,22.304,0.34,0.34,1.86,95.66,6.390,7.92,6.408,6.409,
2021/06/24,09:40:10,-0.4783,26.001,34.015,52.762,51625.601,1022.288,22.290,0.35,0.35,1.98,95.64,6.387,7.91,6.405,6.406,
2021/06/24,09:40:10,-0.3998,26.003,34.008,52.754,51615.829,1022.282,22.284,0.34,0.34,2.12,95.63,6.385,7.93,6.403,6.404,
2021/06/24,09:40:10,-0.4587,26.004,33.998,52.743,51602.731,1022.274,22.276,0.36,0.36,2.09,95.59,6.382,7.94,6.400,6.401,
2021/06/24,09:40:11,-0.4587,26.005,34.003,52.751,51609.631,1022.278,22.280,0.38,0.38,2.16,95.57,6.381,7.94,6.399,6.400,
2021/06/24,09:40:11,-0.4587,26.005,34.009,52.758,51617.184,1022.282,22.284,0.38,0.38,1.95,95.59,6.382,7.91,6.399,6.401,
2021/06/24,09:40:11,-0.4783,26.004,34.016,52.767,51626.346,1022.287,22.289,0.38,0.38,1.72,95.51,6.376,7.96,6.394,6.395,
2021/06/24,09:40:11,-0.4783,26.004,34.017,52.769,51628.162,1022.288,22.290,0.38,0.38,1.61,95.43,6.370,7.95,6.388,6.389,
2021/06/24,09:40:11,-0.4979,26.006,34.017,52.771,51628.416,1022.288,22.290,0.37,0.37,1.56,95.33,6.364,7.96,6.382,6.383,
2021/06/24,09:40:11,-0.4979,26.007,34.017,52.772,51628.177,1022.288,22.290,0.37,0.37,1.69,95.25,6.358,7.95,6.376,6.377,
2021/06/24,09:40:11,-0.4979,26.005,34.022,52.777,51635.429,1022.292,22.294,0.38,0.38,1.54,95.18,6.354,7.97,6.371,6.372,
2021/06/24,09:40:11,-0.4979,26.004,34.023,52.778,51636.524,1022.293,22.295,0.34,0.34,1.48,95.17,6.353,7.98,6.371,6.372,
2021/06/24,09:40:11,-0.4979,26.005,34.024,52.780,51637.731,1022.293,22.296,0.34,0.34,1.48,95.13,6.350,7.96,6.368,6.369,
2021/06/24,09:40:11,-0.4979,26.005,34.027,52.783,51641.155,1022.295,22.298,0.34,0.34,1.46,94.97,6.339,7.98,6.357,6.358,
2021/06/24,09:40:12,-0.4979,26.006,34.025,52.782,51638.964,1022.294,22.296,0.34,0.34,1.39,94.87,6.333,7.99,6.350,6.351,
2021/06/24,09:40:12,-0.4979,26.006,34.025,52.782,51639.196,1022.294,22.296,0.34,0.34,1.49,94.81,6.329,8.00,6.346,6.348,
2021/06/24,09:40:12,-0.4783,26.007,34.026,52.784,51640.853,1022.295,22.297,0.35,0.35,1.48,94.87,6.332,8.01,6.350,6.351,
2021/06/24,09:40:12,-0.5176,26.007,34.027,52.785,51640.937,1022.295,22.297,0.35,0.35,1.44,94.86,6.332,8.00,6.350,6.351,
2021/06/24,09:40:12,-0.4979,26.007,34.026,52.785,51640.521,1022.294,22.297,0.35,0.35,1.39,94.81,6.328,8.01,6.346,6.347,
2021/06/24,09:40:12,-0.5176,26.009,34.027,52.787,51641.198,1022.294,22.297,0.36,0.36,1.44,94.82,6.328,8.00,6.346,6.347,
2021/06/24,09:40:12,-0.5176,26.008,34.025,52.785,51638.868,1022.293,22.295,0.35,0.35,1.45,94.77,6.326,8.00,6.344,6.345,
2021/06/24,09:40:12,-0.4979,26.009,34.026,52.786,51639.714,1022.294,22.296,0.35,0.35,1.42,94.64,6.316,8.01,6.334,6.335,
2021/06/24,09:40:12,-0.5176,26.009,34.026,52.787,51640.540,1022.294,22.296,0.35,0.35,1.42,94.57,6.312,8.01,6.330,6.331,
2021/06/24,09:40:12,-0.4979,26.009,34.024,52.784,51637.169,1022.292,22.294,0.38,0.38,1.44,94.51,6.308,8.00,6.326,6.327,
2021/06/24,09:40:13,-0.4979,26.010,34.024,52.784,51637.395,1022.292,22.294,0.36,0.36,1.51,94.47,6.305,8.01,6.323,6.324,
