"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/24","12:06:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/06/24","12:06:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/06/24","12:06:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/06/24","12:06:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/06/24","12:06:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/06/24","12:06:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/06/24","12:06:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/06/24","12:06:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/06/24","12:06:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/06/24","12:06:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021/06/24","12:06:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/06/24","12:06:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021/06/24","12:06:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
"14","2021/06/24","12:06:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021/06/24","12:06:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021/06/24","12:06:06",NA,NA,NA,NA,NA,NA,NA,0.16,0.16,NA,NA,7.311,NA,7.332,7.331
"17","2021/06/24","12:06:06",-0.4587,NA,NA,52.206,NA,NA,NA,0.22,0.22,0.81,NA,NA,NA,NA,NA
"18","2021/06/24","12:06:06",-0.4587,NA,NA,52.144,NA,NA,NA,0.24,0.24,0.77,NA,NA,NA,NA,NA
"19","2021/06/24","12:06:06",-0.4587,26.477,NA,52.154,NA,NA,NA,0.23,0.23,0.8,NA,NA,NA,NA,NA
"20","2021/06/24","12:06:07",-0.4587,26.558,33.154,52.131,50403.219,1021.465,21.467,NA,NA,0.84,NA,NA,NA,NA,NA
