"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/24","11:59:43",-0.439,26.711,30.199,48.106,46361.188,1019.195,19.197,0.28,0.28,1.12,99.98,6.766,NA,6.785,6.786
"2","2021/06/24","11:59:43",-0.439,26.701,30.199,48.096,46361.677,1019.198,19.2,0.31,0.31,1.15,100.1,6.775,NA,6.794,6.795
"3","2021/06/24","11:59:43",-0.439,26.709,30.185,48.084,46341.957,1019.185,19.187,0.31,0.31,1.22,100.17,6.778,NA,6.797,6.798
"4","2021/06/24","11:59:43",-0.4194,26.722,30.2,48.118,46361.966,1019.193,19.194,0.34,0.34,1.19,100.31,6.784,NA,6.804,6.805
"5","2021/06/24","11:59:43",-0.4194,26.738,30.191,48.12,46347.677,1019.181,19.182,0.31,0.31,1.19,100.48,6.792,NA,6.812,6.812
"6","2021/06/24","11:59:43",-0.4194,26.747,30.173,48.102,46321.898,1019.164,19.166,0.28,0.28,1.21,100.56,6.796,NA,6.816,6.816
"7","2021/06/24","11:59:43",-0.4194,26.744,30.168,48.092,46314.714,1019.161,19.163,0.28,0.28,1.22,100.7,6.805,NA,6.825,6.825
"8","2021/06/24","11:59:43",-0.4194,26.722,30.181,48.09,46335.036,1019.178,19.18,0.31,0.31,1.18,100.81,6.81,NA,6.83,6.831
"9","2021/06/24","11:59:43",-0.4194,26.699,30.191,48.082,46350.357,1019.192,19.194,0.31,0.31,1.19,100.84,6.811,NA,6.831,6.832
"10","2021/06/24","11:59:44",-0.4194,26.679,30.199,48.077,46364.161,1019.205,19.207,0.29,0.29,1.21,100.85,6.812,NA,6.832,6.832
"11","2021/06/24","11:59:44",-0.4194,26.661,30.207,48.07,46375.801,1019.216,19.218,0.29,0.29,1.21,100.98,6.821,NA,6.841,6.842
"12","2021/06/24","11:59:44",-0.439,26.643,30.215,48.066,46388.9,1019.228,19.23,0.31,0.31,1.18,101.08,6.829,NA,6.849,6.849
