//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=260       
StartTime=2021/06/24 08:17:36
EndTime=2021/06/24 08:18:01
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/06/24,08:17:36,-0.4979,25.730,27.072,42.793,42117.219,1017.144,17.146,0.38,0.38,0.84,88.17,6.162,7.87,6.179,6.179,
2021/06/24,08:17:36,-0.5176,25.730,27.071,42.793,42116.482,1017.143,17.146,0.37,0.37,0.84,87.78,6.135,7.87,6.152,6.153,
2021/06/24,08:17:36,-0.5176,25.731,27.068,42.789,42111.655,1017.140,17.143,0.38,0.38,0.80,87.47,6.114,7.91,6.131,6.131,
2021/06/24,08:17:36,-0.5176,25.732,27.068,42.789,42111.288,1017.140,17.142,0.35,0.35,0.75,87.17,6.093,7.89,6.110,6.111,
2021/06/24,08:17:36,-0.5176,25.735,27.067,42.790,42109.478,1017.138,17.141,0.34,0.34,0.68,86.94,6.078,7.92,6.095,6.095,
2021/06/24,08:17:36,-0.5176,25.738,27.062,42.786,42101.886,1017.133,17.136,0.34,0.34,0.68,86.69,6.060,7.93,6.077,6.078,
2021/06/24,08:17:36,-0.5372,25.737,27.057,42.778,42095.684,1017.130,17.133,0.35,0.35,0.67,86.59,6.054,7.93,6.071,6.071,
2021/06/24,08:17:36,-0.5176,25.730,27.063,42.781,42105.206,1017.137,17.139,0.34,0.34,0.67,86.37,6.037,7.92,6.054,6.054,
2021/06/24,08:17:36,-0.5176,25.711,27.076,42.783,42124.142,1017.152,17.154,0.34,0.34,0.85,86.07,6.015,7.93,6.032,6.032,
2021/06/24,08:17:36,-0.5176,25.686,27.101,42.798,42161.841,1017.179,17.181,0.34,0.34,0.75,85.99,6.007,7.94,6.024,6.025,
2021/06/24,08:17:37,-0.5372,25.671,27.109,42.797,42174.002,1017.189,17.191,0.32,0.32,0.65,85.84,5.994,7.95,6.011,6.011,
2021/06/24,08:17:37,-0.5372,25.676,27.106,42.796,42169.638,1017.186,17.188,0.33,0.33,0.65,85.69,5.982,7.96,5.999,5.999,
2021/06/24,08:17:37,-0.5372,25.680,27.105,42.799,42168.288,1017.184,17.186,0.33,0.33,0.65,85.55,5.971,7.94,5.988,5.989,
2021/06/24,08:17:37,-0.5372,25.679,27.105,42.798,42168.138,1017.184,17.186,0.34,0.34,0.64,85.36,5.957,7.96,5.974,5.975,
2021/06/24,08:17:37,-0.5372,25.679,27.112,42.807,42177.752,1017.189,17.192,0.32,0.32,0.65,85.05,5.935,7.97,5.952,5.952,
2021/06/24,08:17:37,-0.5176,25.683,27.096,42.788,42154.494,1017.176,17.178,0.32,0.32,0.65,84.73,5.914,7.99,5.930,5.931,
2021/06/24,08:17:37,-0.5372,25.693,27.095,42.794,42152.264,1017.172,17.174,0.32,0.32,0.65,84.33,5.885,7.97,5.902,5.902,
2021/06/24,08:17:37,-0.5176,25.699,27.099,42.806,42157.172,1017.173,17.175,0.33,0.33,0.65,83.93,5.857,7.98,5.873,5.874,
2021/06/24,08:17:37,-0.5372,25.702,27.089,42.795,42143.916,1017.165,17.167,0.34,0.34,0.64,83.44,5.823,7.99,5.839,5.840,
2021/06/24,08:17:37,-0.5176,25.710,27.088,42.799,42141.440,1017.162,17.164,0.34,0.34,0.77,83.00,5.792,7.99,5.809,5.809,
