"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/24","07:54:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.08,NA,NA,NA,NA
"2","2021/06/24","07:54:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.27,NA,NA,NA,NA
"3","2021/06/24","07:54:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,NA,NA,NA,NA
"4","2021/06/24","07:54:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.19,NA,NA,NA,NA
"5","2021/06/24","07:54:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.21,NA,NA,NA,NA
"6","2021/06/24","07:54:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.15,NA,NA,NA,NA
"7","2021/06/24","07:54:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.22,NA,NA,NA,NA
"8","2021/06/24","07:54:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.2,NA,NA,NA,NA
"9","2021/06/24","07:54:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.26,NA,NA,NA,NA
"10","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.22,NA,NA,NA,NA
"11","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.25,NA,NA,NA,NA
"12","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.24,NA,NA,NA,NA
"13","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.24,NA,NA,NA,NA
"14","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.19,NA,NA,NA,NA
"15","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.23,NA,NA,NA,NA
"16","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.11,NA,NA,NA,NA
"17","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.19,NA,NA,NA,NA
"18","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.11,NA,NA,NA,NA
"19","2021/06/24","07:54:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.22,NA,NA,NA,NA
"20","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.19,NA,NA,NA,NA
"21","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,NA,NA,NA,NA
"22","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.32,NA,NA,NA,NA
"23","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.24,NA,NA,NA,NA
"24","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.24,NA,NA,NA,NA
"25","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,NA,NA,NA,NA
"26","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.11,NA,NA,NA,NA
"27","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.18,NA,NA,NA,NA
"28","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.05,NA,NA,NA,NA
"29","2021/06/24","07:54:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.08,NA,8.03,NA,NA
"30","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.09,NA,8.03,NA,NA
"31","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,NA,NA,NA,NA
"32","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.03,NA,NA,NA,NA
"33","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.01,NA,8.03,NA,NA
"34","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,NA,8.03,NA,NA
"35","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,95.17,NA,8.04,NA,NA
"36","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.14,NA,8.06,NA,NA
"37","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.27,NA,NA,NA,NA
"38","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.24,NA,8.04,NA,NA
"39","2021/06/24","07:54:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.24,NA,8.04,NA,NA
"40","2021/06/24","07:54:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.15,NA,NA,NA,NA
"41","2021/06/24","07:54:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,95.05,NA,8.04,NA,NA
"42","2021/06/24","07:54:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.06,NA,NA,NA,NA
"43","2021/06/24","07:54:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.05,NA,8.04,NA,NA
"44","2021/06/24","07:54:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,NA,8.05,NA,NA
"45","2021/06/24","07:54:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.12,NA,8.04,NA,NA
"46","2021/06/24","07:54:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.11,NA,8.06,NA,NA
"47","2021/06/24","07:54:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.14,NA,8.06,NA,NA
"48","2021/06/24","07:54:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.16,NA,8.05,NA,NA
