"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/24","10:57:05",-0.4979,26.023,24.122,38.794,37940.64,1014.841,14.844,0.47,0.47,7.11,NA,NA,NA,NA,NA
"2","2021/06/24","10:57:05",-0.5176,26.027,24.122,38.797,37939.278,1014.839,14.842,0.47,0.47,6.73,NA,NA,NA,NA,NA
"3","2021/06/24","10:57:05",-0.5176,26.029,24.119,38.795,37935.598,1014.837,14.839,0.49,0.49,6.83,NA,NA,NA,NA,NA
"4","2021/06/24","10:57:05",-0.5176,26.03,24.117,38.792,37932.575,1014.835,14.837,0.49,0.49,6.9,NA,NA,NA,NA,NA
"5","2021/06/24","10:57:05",-0.5176,26.033,24.117,38.794,37932.417,1014.834,14.837,0.49,0.49,6.8,NA,NA,NA,NA,NA
"6","2021/06/24","10:57:05",-0.5176,26.037,24.114,38.793,37927.64,1014.831,14.833,0.47,0.47,7.17,NA,NA,NA,NA,NA
"7","2021/06/24","10:57:05",-0.4979,26.037,24.118,38.799,37933.915,1014.834,14.836,0.49,0.49,7.73,NA,NA,NA,NA,NA
"8","2021/06/24","10:57:05",-0.5176,26.033,24.126,NA,37945.145,1014.841,14.843,NA,NA,7.37,NA,NA,NA,NA,NA
"9","2021/06/24","10:57:05",-0.5176,26.033,24.13,NA,37950.828,1014.844,14.846,NA,NA,6.85,NA,NA,NA,NA,NA
"10","2021/06/24","10:57:06",-0.5176,26.036,24.129,NA,37949.795,1014.843,14.845,NA,NA,6.57,NA,NA,NA,NA,NA
"11","2021/06/24","10:57:06",-0.5176,26.038,24.132,NA,37953.846,1014.844,14.847,NA,NA,6.71,NA,NA,NA,NA,NA
"12","2021/06/24","10:57:06",-0.5176,26.033,24.134,NA,37956.356,1014.847,14.849,NA,NA,6.74,NA,NA,NA,NA,NA
"13","2021/06/24","10:57:06",-0.5176,26.029,24.142,NA,37968.694,1014.855,14.857,0.49,0.49,6.6,NA,NA,NA,NA,NA
"14","2021/06/24","10:57:06",-0.5176,26.03,24.142,NA,37968.674,1014.854,14.856,0.47,0.47,6.4,NA,NA,NA,NA,6.635
"15","2021/06/24","10:57:06",-0.5176,26.025,24.141,NA,37967.564,1014.855,14.857,0.47,0.47,6.73,93.57,6.604,NA,6.623,6.623
"16","2021/06/24","10:57:06",-0.5372,26.022,NA,NA,NA,1014.858,14.861,0.48,0.48,7.38,93.39,6.591,NA,6.61,6.61
"17","2021/06/24","10:57:06",-0.5176,26.022,24.14,NA,37966.188,1014.855,14.857,0.47,0.47,6.81,93.17,6.576,NA,6.595,6.595
"18","2021/06/24","10:57:06",-0.5176,26.013,24.143,NA,37970.741,1014.86,14.862,NA,NA,6.64,92.9,6.556,7.99,6.575,6.575
"19","2021/06/24","10:57:06",-0.5372,25.999,NA,NA,NA,NA,NA,0.47,0.47,6.5,92.69,6.542,7.98,6.56,6.561
"20","2021/06/24","10:57:07",-0.5176,25.996,NA,NA,NA,NA,NA,0.47,0.47,6.5,92.49,6.528,7.98,6.546,6.547
"21","2021/06/24","10:57:07",-0.5176,26,NA,NA,NA,1014.864,14.866,0.47,0.47,6.75,92.32,6.516,7.99,6.535,6.535
"22","2021/06/24","10:57:07",-0.5372,26.005,24.14,NA,37967.661,1014.86,14.862,0.47,0.47,6.65,92,6.493,7.98,6.511,6.512
"23","2021/06/24","10:57:07",-0.5372,26.005,24.139,NA,37966.289,1014.859,14.862,0.49,0.49,7.05,91.93,6.488,8.01,6.506,6.506
"24","2021/06/24","10:57:07",-0.5176,26.007,24.137,38.803,37962.645,1014.857,14.859,0.48,0.48,7.11,91.86,6.482,8,6.501,6.501
"25","2021/06/24","10:57:07",-0.5176,26.009,24.135,38.802,37958.982,1014.854,14.857,0.47,0.47,7.63,91.71,6.472,8.01,6.49,6.491
"26","2021/06/24","10:57:07",-0.5372,26.014,24.132,38.802,37954.66,1014.851,14.853,0.47,0.47,7.54,91.6,6.464,8.01,6.483,6.483
"27","2021/06/24","10:57:07",-0.5176,26.019,24.13,38.802,37951.205,1014.848,14.85,0.47,0.47,6.71,91.47,6.455,8.01,6.474,6.474
"28","2021/06/24","10:57:07",-0.5372,26.024,24.127,38.802,37947.775,1014.845,14.847,NA,NA,7.27,91.24,6.438,8,6.457,6.457
"29","2021/06/24","10:57:07",-0.5176,26.024,24.127,38.801,37946.58,1014.844,14.846,0.48,0.48,6.6,91.04,6.425,8.01,6.443,6.443
