"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/24","11:10:42",-0.4979,25.603,NA,50.601,NA,1021.447,21.45,0.28,0.28,1.93,NA,NA,NA,NA,NA
"2","2021/06/24","11:10:42",-0.4783,25.593,32.745,50.601,49949.313,1021.456,21.458,0.31,0.31,1.79,NA,NA,NA,NA,NA
"3","2021/06/24","11:10:42",-0.4979,25.585,32.754,50.606,49962.778,1021.465,21.467,0.3,0.3,1.69,NA,NA,NA,NA,NA
"4","2021/06/24","11:10:42",-0.4979,25.59,32.752,50.607,49959.229,1021.462,21.464,0.3,0.3,1.79,NA,NA,NA,NA,NA
"5","2021/06/24","11:10:42",-0.4979,25.591,32.751,50.609,49958.714,1021.461,21.464,0.3,0.3,1.82,NA,NA,NA,NA,NA
"6","2021/06/24","11:10:42",-0.4979,25.588,32.758,50.614,49967.921,1021.467,21.469,0.3,0.3,1.72,NA,NA,NA,NA,NA
"7","2021/06/24","11:10:42",-0.5176,25.587,32.762,50.619,49973.729,1021.471,21.473,0.3,0.3,1.75,NA,NA,NA,NA,NA
"8","2021/06/24","11:10:42",-0.4979,25.588,32.756,50.611,49965.583,1021.466,21.468,0.29,0.29,1.73,NA,NA,NA,NA,NA
"9","2021/06/24","11:10:42",-0.4979,25.586,32.756,50.61,49966.004,1021.467,21.469,0.29,0.29,1.73,93.49,6.327,NA,6.345,6.346
"10","2021/06/24","11:10:43",-0.4979,25.583,32.757,50.608,49967.828,1021.469,21.471,0.29,0.29,1.62,93.46,6.325,NA,6.342,6.343
"11","2021/06/24","11:10:43",-0.4979,25.586,32.752,50.605,49960.205,1021.463,21.466,0.3,0.3,1.66,93.42,6.321,NA,6.339,6.34
"12","2021/06/24","11:10:43",-0.4979,25.586,32.756,50.609,49964.81,1021.466,21.468,0.31,0.31,1.79,93.39,6.319,NA,6.337,6.338
"13","2021/06/24","11:10:43",-0.4979,25.585,32.752,50.604,49960.443,1021.464,21.466,0.29,0.29,1.79,93.32,6.314,NA,6.331,6.332
"14","2021/06/24","11:10:43",-0.4979,25.581,32.753,50.6,49961.724,1021.466,21.468,0.28,0.28,1.89,93.26,6.31,NA,6.328,6.328
"15","2021/06/24","11:10:43",-0.4783,25.577,32.758,50.603,49968.952,1021.471,21.473,0.27,0.27,1.85,93.21,6.306,NA,6.323,6.324
"16","2021/06/24","11:10:43",-0.5176,25.578,32.759,50.607,49971.033,1021.471,21.474,0.29,0.29,1.73,93.19,6.305,NA,6.322,6.323
"17","2021/06/24","11:10:43",-0.4979,25.581,32.758,50.607,49968.45,1021.469,21.471,0.28,0.28,1.65,93.2,6.304,7.97,6.322,6.323
"18","2021/06/24","11:10:43",-0.4979,25.582,32.76,50.612,49971.621,1021.471,21.473,0.3,0.3,1.61,93.23,6.305,NA,6.323,6.324
"19","2021/06/24","11:10:43",-0.4979,25.583,32.764,50.617,49976.497,1021.473,21.476,0.3,0.3,1.72,93.07,6.294,7.99,6.311,6.312
"20","2021/06/24","11:10:44",-0.4979,25.591,32.758,50.618,49968.167,1021.467,21.469,0.3,0.3,1.73,93.03,6.291,7.98,6.309,6.31
"21","2021/06/24","11:10:44",-0.5176,25.591,32.759,50.618,49968.733,1021.467,21.469,0.28,0.28,1.73,92.99,6.288,7.99,6.306,6.306
"22","2021/06/24","11:10:44",-0.4979,25.583,32.766,50.621,49979.861,1021.475,21.477,0.27,0.27,1.73,93.14,6.299,8,6.317,6.317
"23","2021/06/24","11:10:44",-0.4979,25.579,32.77,50.622,49985.903,1021.48,21.482,0.26,0.26,1.72,93.16,6.3,7.98,6.318,6.319
"24","2021/06/24","11:10:44",-0.4979,25.576,32.775,50.625,49991.896,1021.484,21.486,0.27,0.27,1.69,93.04,6.293,7.99,6.311,6.312
"25","2021/06/24","11:10:44",-0.4979,25.574,32.775,50.625,49993.092,1021.485,21.487,0.29,0.29,1.69,93.05,6.294,7.98,6.312,6.313
"26","2021/06/24","11:10:44",-0.5176,25.574,32.776,50.625,49993.699,1021.485,21.487,0.29,0.29,1.72,93.09,6.298,7.98,6.316,6.316
