"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/07/08","09:51:36",NA,29.661,32.549,54.371,49314.316,1020.002,20.004,0.34,0.34,2.85,NA,NA,NA,NA,NA
"2","2021/07/08","09:51:36",-0.439,29.664,NA,54.369,NA,1019.999,20,0.34,0.34,2.87,NA,NA,NA,NA,NA
"3","2021/07/08","09:51:36",NA,29.664,NA,54.37,NA,1019.999,20.001,0.32,0.32,2.87,NA,NA,NA,NA,NA
"4","2021/07/08","09:51:36",-0.439,29.662,NA,54.372,49313.994,1020.002,20.003,0.34,0.34,2.9,NA,NA,NA,NA,NA
"5","2021/07/08","09:51:36",-0.439,29.657,32.553,54.373,49320.321,1020.007,20.009,0.33,0.33,3.13,NA,NA,NA,NA,NA
"6","2021/07/08","09:51:36",-0.439,29.654,32.556,54.374,49324.179,1020.01,20.012,0.33,0.33,3.03,NA,NA,NA,NA,NA
"7","2021/07/08","09:51:36",-0.439,29.653,32.553,54.369,49320.772,1020.008,20.01,0.32,0.32,2.96,NA,NA,NA,NA,NA
"8","2021/07/08","09:51:36",-0.439,29.652,32.555,54.372,49323.528,1020.01,20.012,0.31,0.31,2.76,NA,NA,NA,NA,NA
"9","2021/07/08","09:51:36",-0.439,29.655,32.554,54.373,49322.64,1020.009,20.011,0.33,0.33,2.8,NA,NA,NA,NA,NA
"10","2021/07/08","09:51:37",NA,29.656,32.553,54.372,49320.037,1020.007,20.009,0.31,0.31,2.76,NA,NA,NA,NA,NA
"11","2021/07/08","09:51:37",-0.439,29.657,32.552,54.372,49319.115,1020.006,20.008,0.32,0.32,2.69,NA,NA,NA,NA,NA
"12","2021/07/08","09:51:37",-0.439,29.657,32.554,54.375,49322.173,1020.008,20.01,0.31,0.31,2.65,NA,NA,NA,NA,NA
"13","2021/07/08","09:51:37",-0.439,29.656,32.555,54.375,49323.297,1020.009,20.011,0.31,0.31,2.67,NA,NA,NA,NA,NA
"14","2021/07/08","09:51:37",NA,29.656,32.554,54.374,49321.978,1020.008,20.01,0.31,0.31,2.7,NA,NA,NA,NA,NA
"15","2021/07/08","09:51:37",-0.439,29.655,32.555,54.375,49323.671,1020.009,20.011,0.31,0.31,2.63,NA,NA,NA,NA,5.816
"16","2021/07/08","09:51:37",-0.439,29.656,32.555,54.375,49322.796,1020.008,20.01,0.31,0.31,2.87,91.39,5.791,NA,5.807,5.808
"17","2021/07/08","09:51:37",-0.439,29.656,32.556,54.377,49324.695,1020.01,20.011,0.31,0.31,2.7,91.25,5.782,NA,5.799,5.799
"18","2021/07/08","09:51:37",-0.439,29.657,32.556,54.377,49324.423,1020.009,20.011,0.32,0.32,2.85,91.11,5.773,NA,5.79,5.79
"19","2021/07/08","09:51:37",-0.439,29.656,32.556,54.378,49325.006,1020.01,20.011,0.31,0.31,2.8,91.11,5.774,NA,5.79,5.79
"20","2021/07/08","09:51:38",-0.439,29.656,32.558,54.379,49326.792,1020.011,20.013,0.32,0.32,2.83,91.15,5.776,NA,5.792,5.793
"21","2021/07/08","09:51:38",-0.439,29.656,32.556,54.376,49324.247,1020.009,20.011,0.31,0.31,2.75,91.19,5.778,NA,5.795,5.795
"22","2021/07/08","09:51:38",-0.439,29.655,32.558,54.379,49327.393,1020.011,20.013,0.33,0.33,2.86,91.06,5.77,NA,5.786,5.787
"23","2021/07/08","09:51:38",-0.439,29.655,32.558,54.38,49327.57,1020.011,20.013,0.32,0.32,2.92,91.02,5.768,NA,5.784,5.785
"24","2021/07/08","09:51:38",NA,29.656,32.558,54.381,49327.924,1020.011,20.013,0.32,0.32,2.85,90.97,5.764,NA,5.78,5.781
"25","2021/07/08","09:51:38",-0.439,29.658,32.558,54.382,49327.183,1020.01,20.012,0.32,0.32,2.9,91.01,5.767,NA,5.783,5.784
"26","2021/07/08","09:51:38",-0.439,29.659,32.558,54.383,49327.607,1020.01,20.012,0.32,0.32,2.83,91.03,5.768,NA,5.784,5.785
"27","2021/07/08","09:51:38",NA,29.659,32.555,54.379,49323.605,1020.008,20.01,0.34,0.34,2.59,90.92,5.761,NA,5.777,5.778
"28","2021/07/08","09:51:38",-0.439,29.659,32.559,54.385,49328.845,1020.011,20.013,0.34,0.34,2.46,90.91,5.76,NA,5.776,5.777
"29","2021/07/08","09:51:38",-0.439,29.659,32.559,54.384,49328.64,1020.011,20.013,0.32,0.32,2.36,90.91,5.76,NA,5.776,5.777
"30","2021/07/08","09:51:39",NA,29.658,32.559,54.384,49328.996,1020.011,20.013,0.31,0.31,2.38,90.84,5.756,NA,5.772,5.773
"31","2021/07/08","09:51:39",-0.439,29.658,32.561,54.386,49330.66,1020.012,20.014,0.32,0.32,2.46,90.77,5.751,7.92,5.767,5.768
"32","2021/07/08","09:51:39",NA,29.658,32.56,54.385,49330.323,1020.012,20.014,0.31,0.31,2.57,90.76,5.751,NA,5.767,5.767
"33","2021/07/08","09:51:39",NA,29.657,32.561,54.386,49331.942,1020.013,20.015,0.32,0.32,2.56,90.75,5.75,7.92,5.766,5.767
"34","2021/07/08","09:51:39",-0.439,29.657,32.56,54.385,49330.396,1020.012,20.014,0.31,0.31,2.49,90.82,5.754,NA,5.77,5.771
"35","2021/07/08","09:51:39",-0.439,29.658,32.562,54.387,49332.575,1020.013,20.015,0.31,0.31,2.5,90.82,5.754,NA,5.77,5.771
"36","2021/07/08","09:51:39",-0.439,29.658,32.561,54.387,49331.156,1020.012,20.014,0.31,0.31,2.45,90.73,5.749,7.92,5.765,5.765
"37","2021/07/08","09:51:39",-0.439,29.656,32.559,54.382,49328.724,1020.012,20.014,0.33,0.33,2.75,90.67,5.745,NA,5.761,5.762
"38","2021/07/08","09:51:39",-0.439,29.657,32.559,54.382,49328.34,1020.011,20.013,0.34,0.34,2.7,90.68,5.745,7.9,5.761,5.762
"39","2021/07/08","09:51:39",-0.439,29.657,32.558,54.382,49327.924,1020.011,20.013,0.34,0.34,2.77,90.62,5.742,7.9,5.758,5.759
"40","2021/07/08","09:51:40",-0.439,29.658,32.559,54.383,49328.463,1020.011,20.013,0.31,0.31,3.22,90.61,5.741,NA,5.757,5.758
"41","2021/07/08","09:51:40",NA,29.656,32.561,54.384,49330.985,1020.013,20.015,0.31,0.31,3,90.71,5.748,7.9,5.764,5.764
"42","2021/07/08","09:51:40",-0.439,29.655,32.563,54.387,49334.052,1020.015,20.017,0.3,0.3,3,90.72,5.748,7.9,5.764,5.765
"43","2021/07/08","09:51:40",-0.439,29.655,32.561,54.384,49331.535,1020.013,20.015,0.31,0.31,2.95,90.81,5.754,7.9,5.77,5.77
"44","2021/07/08","09:51:40",-0.439,29.656,32.562,54.386,49333.222,1020.014,20.016,0.33,0.33,2.8,90.74,5.749,7.9,5.765,5.766
"45","2021/07/08","09:51:40",-0.439,29.654,32.562,54.385,49333.351,1020.015,20.017,0.31,0.31,2.75,90.6,5.741,7.9,5.757,5.758
"46","2021/07/08","09:51:40",NA,29.654,32.563,54.385,49333.689,1020.015,20.017,0.34,0.34,2.8,90.67,5.745,7.91,5.761,5.761
"47","2021/07/08","09:51:40",-0.439,29.655,32.563,54.386,49333.851,1020.015,20.017,0.32,0.32,2.89,90.51,5.735,NA,5.751,5.752
"48","2021/07/08","09:51:40",-0.439,29.655,32.564,54.388,49335.611,1020.016,20.018,0.29,0.29,2.9,90.52,5.736,7.9,5.752,5.752
"49","2021/07/08","09:51:40",-0.439,29.657,32.563,54.388,49334.137,1020.014,20.016,0.33,0.33,3.04,90.57,5.739,7.9,5.755,5.756
"50","2021/07/08","09:51:41",-0.439,29.658,32.561,54.387,49331.553,1020.013,20.014,0.34,0.34,2.95,90.59,5.74,7.9,5.756,5.757
"51","2021/07/08","09:51:41",-0.439,29.659,32.562,54.389,49332.702,1020.013,20.015,0.32,0.32,2.87,90.56,5.738,7.91,5.754,5.755
"52","2021/07/08","09:51:41",-0.439,29.658,32.564,54.391,49335.083,1020.014,20.016,0.32,0.32,2.97,90.45,5.731,7.92,5.747,5.748
