//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=160       
StartTime=2021/07/08 13:21:17
EndTime=2021/07/08 13:21:32
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/07/08,13:21:17,-0.3998,31.511,29.685,51.802,45311.729,1017.231,17.232,0.24,0.24,2.23,143.40,8.963,7.75,8.987,8.987,
2021/07/08,13:21:17,-0.4390,31.503,29.694,51.809,45324.690,1017.240,17.242,0.24,0.24,2.09,144.87,9.053,7.76,9.077,9.078,
2021/07/08,13:21:17,-0.4390,31.507,29.698,51.818,45329.258,1017.241,17.243,0.24,0.24,2.02,145.80,9.112,7.76,9.137,9.137,
2021/07/08,13:21:17,-0.4390,31.510,29.691,51.811,45320.038,1017.235,17.237,0.21,0.21,1.89,146.50,9.156,7.77,9.180,9.181,
2021/07/08,13:21:17,-0.4390,31.508,29.679,51.790,45304.031,1017.227,17.229,0.23,0.23,2.03,147.19,9.199,7.78,9.223,9.223,
2021/07/08,13:21:17,-0.4390,31.507,29.663,51.763,45281.306,1017.215,17.217,0.26,0.26,2.32,147.60,9.223,7.77,9.247,9.248,
2021/07/08,13:21:17,-0.4390,31.507,29.686,51.800,45313.269,1017.232,17.234,0.26,0.26,2.32,148.25,9.259,7.79,9.284,9.284,
2021/07/08,13:21:17,-0.4390,31.507,29.682,51.793,45307.306,1017.229,17.231,0.25,0.25,2.22,149.02,9.306,7.79,9.331,9.331,
2021/07/08,13:21:17,-0.4390,31.499,29.697,51.809,45328.347,1017.243,17.245,0.24,0.24,2.33,149.29,9.321,7.82,9.346,9.346,
2021/07/08,13:21:17,-0.4390,31.494,29.706,51.820,45341.460,1017.252,17.254,0.23,0.23,2.10,149.63,9.340,7.82,9.365,9.365,
2021/07/08,13:21:18,-0.4390,31.495,29.704,51.817,45338.808,1017.250,17.252,0.27,0.27,2.29,149.78,9.348,7.83,9.372,9.373,
2021/07/08,13:21:18,-0.4390,31.494,29.703,51.815,45337.233,1017.250,17.251,0.28,0.28,2.49,149.90,9.355,7.84,9.379,9.379,
2021/07/08,13:21:18,-0.4194,31.482,29.715,51.822,45354.238,1017.263,17.265,0.24,0.24,2.26,150.48,9.390,7.81,9.415,9.415,
2021/07/08,13:21:18,-0.4390,31.465,29.735,51.837,45382.197,1017.284,17.285,0.24,0.24,2.26,151.19,9.433,7.83,9.458,9.459,
2021/07/08,13:21:18,-0.4194,31.452,29.750,51.849,45403.671,1017.299,17.301,0.24,0.24,2.35,151.26,9.437,7.85,9.462,9.462,
2021/07/08,13:21:18,-0.4390,31.474,29.733,51.841,45378.283,1017.279,17.280,0.24,0.24,2.25,151.30,9.441,7.85,9.466,9.467,
2021/07/08,13:21:18,-0.4390,31.494,29.732,51.859,45376.179,1017.271,17.273,0.24,0.24,2.28,151.21,9.437,7.85,9.462,9.462,
2021/07/08,13:21:18,-0.4194,31.511,29.727,51.868,45368.848,1017.262,17.263,0.24,0.24,2.42,151.04,9.427,7.84,9.452,9.452,
2021/07/08,13:21:18,-0.4194,31.521,29.741,51.898,45387.053,1017.269,17.270,0.24,0.24,2.50,151.46,9.455,7.84,9.480,9.480,
2021/07/08,13:21:18,-0.4390,31.526,29.750,51.917,45398.947,1017.274,17.275,0.25,0.25,2.43,151.81,9.480,7.85,9.505,9.505,
2021/07/08,13:21:19,-0.4390,31.529,29.741,51.906,45387.069,1017.266,17.268,0.24,0.24,2.33,151.65,9.471,7.85,9.496,9.497,
2021/07/08,13:21:19,-0.4390,31.523,29.733,51.887,45375.699,1017.262,17.263,0.24,0.24,2.15,151.89,9.487,7.85,9.512,9.512,
2021/07/08,13:21:19,-0.4390,31.516,29.721,51.862,45359.756,1017.255,17.257,0.24,0.24,2.39,151.66,9.472,7.86,9.497,9.498,
