"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/07/08","13:14:44",-0.4587,31.618,32.603,56.425,49253.569,1019.371,19.373,0.27,0.27,2.62,NA,NA,NA,NA,NA
"2","2021/07/08","13:14:44",-0.4783,31.617,32.605,56.426,49255.83,1019.372,19.374,0.28,0.28,NA,NA,NA,NA,NA,NA
"3","2021/07/08","13:14:44",-0.4783,31.598,32.625,56.437,49283.853,1019.394,19.396,0.28,0.28,2.55,NA,NA,NA,NA,NA
"4","2021/07/08","13:14:44",-0.4783,31.591,32.612,56.411,49267.207,1019.387,19.389,0.29,0.29,2.4,NA,NA,NA,NA,NA
"5","2021/07/08","13:14:44",-0.4587,31.585,32.609,56.4,49263.427,1019.387,19.389,0.28,0.28,2.49,NA,NA,NA,NA,NA
"6","2021/07/08","13:14:44",-0.4783,31.598,32.619,56.429,49276.559,1019.39,19.392,0.28,0.28,2.67,NA,NA,NA,NA,NA
"7","2021/07/08","13:14:44",-0.4587,31.612,32.603,56.419,49253.702,1019.373,19.375,0.28,0.28,2.62,NA,NA,NA,NA,NA
"8","2021/07/08","13:14:44",-0.4587,31.624,32.601,56.428,49250.919,1019.367,19.369,0.27,0.27,2.66,NA,NA,NA,NA,NA
"9","2021/07/08","13:14:44",-0.4587,31.631,32.614,56.454,49267.017,1019.374,19.376,0.27,0.27,2.6,NA,NA,NA,NA,NA
"10","2021/07/08","13:14:45",-0.4587,31.631,32.625,56.472,49282.58,1019.383,19.385,0.28,0.28,2.53,NA,NA,NA,NA,NA
"11","2021/07/08","13:14:45",-0.4783,31.634,32.628,56.479,49285.84,1019.384,19.386,0.27,0.27,2.79,NA,NA,NA,NA,NA
"12","2021/07/08","13:14:45",-0.4587,31.635,32.616,56.462,49269.892,1019.374,19.376,0.26,0.26,2.72,NA,NA,NA,NA,NA
"13","2021/07/08","13:14:45",-0.4783,31.638,32.546,56.357,49175.607,1019.321,19.323,0.25,0.25,2.48,NA,7.998,NA,8.018,8.019
