//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2021/07/08 08:25:58
EndTime=2021/07/08 08:26:11
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/07/08,08:25:58,-0.3998,27.978,32.613,52.783,49537.127,1020.606,20.608,0.21,0.21,1.04,93.44,6.082,7.74,6.099,6.100,
2021/07/08,08:25:58,-0.4390,27.986,32.612,52.789,49535.476,1020.603,20.605,0.20,0.20,1.00,93.39,6.078,7.77,6.096,6.096,
2021/07/08,08:25:58,-0.4390,27.996,32.608,52.794,49529.923,1020.597,20.599,0.20,0.20,0.95,93.21,6.067,7.76,6.084,6.085,
2021/07/08,08:25:58,-0.4390,28.005,32.605,52.799,49524.843,1020.591,20.593,0.19,0.19,1.04,93.07,6.058,7.77,6.075,6.076,
2021/07/08,08:25:58,-0.4194,28.012,32.603,52.804,49521.622,1020.588,20.590,0.19,0.19,1.27,93.06,6.057,7.76,6.074,6.075,
2021/07/08,08:25:58,-0.4390,28.010,32.606,52.805,49525.299,1020.590,20.592,0.21,0.21,1.22,92.89,6.046,7.78,6.063,6.064,
2021/07/08,08:25:58,-0.4390,28.010,32.606,52.804,49525.108,1020.590,20.592,0.21,0.21,1.15,92.97,6.051,7.79,6.068,6.069,
2021/07/08,08:25:58,-0.4390,28.006,32.613,52.812,49535.744,1020.597,20.599,0.19,0.19,1.19,92.91,6.047,7.79,6.064,6.065,
2021/07/08,08:25:58,-0.4390,28.006,32.615,52.813,49537.306,1020.598,20.600,0.21,0.21,1.15,92.75,6.036,7.80,6.054,6.054,
2021/07/08,08:25:58,-0.4194,28.011,32.612,52.814,49533.417,1020.595,20.597,0.22,0.22,1.35,92.69,6.032,7.82,6.049,6.050,
2021/07/08,08:25:59,-0.4194,28.012,32.611,52.814,49531.765,1020.594,20.595,0.26,0.26,1.28,92.60,6.026,7.81,6.044,6.044,
2021/07/08,08:25:59,-0.4390,28.010,32.609,52.810,49529.876,1020.593,20.595,0.23,0.23,1.49,92.54,6.023,7.81,6.040,6.041,
2021/07/08,08:25:59,-0.4194,28.006,32.598,52.789,49514.999,1020.586,20.588,0.21,0.21,1.17,92.54,6.023,7.81,6.040,6.041,
2021/07/08,08:25:59,-0.4390,28.003,32.587,52.770,49500.459,1020.579,20.581,0.21,0.21,1.09,92.44,6.017,7.85,6.034,6.035,
2021/07/08,08:25:59,-0.4194,27.998,32.582,52.759,49494.527,1020.577,20.578,0.21,0.21,1.08,92.34,6.010,7.85,6.027,6.028,
2021/07/08,08:25:59,-0.4390,27.994,32.587,52.762,49500.985,1020.581,20.583,0.21,0.21,0.98,92.35,6.011,7.85,6.028,6.029,
2021/07/08,08:25:59,-0.4194,27.991,32.598,52.774,49515.833,1020.591,20.592,0.19,0.19,1.14,92.31,6.008,7.83,6.025,6.026,
2021/07/08,08:25:59,-0.4390,27.989,32.597,52.771,49515.179,1020.591,20.592,0.20,0.20,1.22,92.29,6.007,7.85,6.024,6.025,
2021/07/08,08:25:59,-0.4194,27.987,32.604,52.779,49524.866,1020.597,20.598,0.23,0.23,1.62,92.30,6.007,7.85,6.024,6.025,
