"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/07/08","11:13:45",-0.4783,NA,16.495,29.465,26724.743,1008.024,8.026,0.7,0.7,6.35,NA,NA,NA,NA,NA
"2","2021/07/08","11:13:45",-0.4783,29.668,16.489,29.46,26716.866,1008.018,8.02,0.7,0.7,5.9,NA,NA,NA,NA,NA
"3","2021/07/08","11:13:45",-0.4979,29.677,16.48,NA,26702.503,1008.008,8.01,0.68,0.68,6.11,NA,NA,NA,NA,NA
"4","2021/07/08","11:13:45",-0.4783,29.681,16.478,NA,26699.667,1008.005,8.007,0.7,0.7,5.93,NA,NA,NA,NA,NA
"5","2021/07/08","11:13:45",-0.4783,29.675,16.483,29.454,26707.749,1008.011,8.013,0.69,0.69,5.98,NA,NA,NA,NA,NA
"6","2021/07/08","11:13:45",-0.4783,29.666,16.487,29.456,26713.902,1008.017,8.019,NA,NA,6,NA,NA,NA,NA,NA
"7","2021/07/08","11:13:45",-0.4979,29.669,16.491,29.463,26718.612,1008.018,8.021,0.71,0.71,5.95,NA,NA,NA,NA,NA
"8","2021/07/08","11:13:45",-0.4979,29.72,16.479,29.472,26699.655,1007.994,7.996,0.72,0.72,5.93,NA,NA,NA,NA,NA
"9","2021/07/08","11:13:45",-0.4979,29.718,16.482,29.476,26704.537,1007.997,7.999,NA,NA,6.27,NA,NA,NA,NA,NA
"10","2021/07/08","11:13:46",-0.4783,29.715,16.485,29.48,26708.986,1008,8.002,0.71,0.71,6.35,NA,NA,NA,NA,NA
"11","2021/07/08","11:13:46",-0.4783,29.725,16.486,29.486,26709.685,1007.997,7.999,0.69,0.69,6.08,NA,NA,NA,NA,NA
"12","2021/07/08","11:13:46",-0.4979,29.747,16.477,29.483,26695.203,1007.983,7.985,0.69,0.69,6.13,NA,NA,NA,NA,NA
"13","2021/07/08","11:13:46",-0.4783,29.757,16.482,29.498,26703.001,1007.984,7.986,0.68,0.68,6.3,NA,NA,NA,NA,NA
"14","2021/07/08","11:13:46",-0.4979,29.748,16.488,29.502,26711.571,1007.991,7.993,0.68,0.68,6.4,NA,NA,NA,NA,NA
"15","2021/07/08","11:13:46",-0.4783,29.741,16.481,29.486,26701.54,1007.988,7.99,0.7,0.7,6.03,NA,NA,NA,NA,NA
"16","2021/07/08","11:13:46",-0.4979,29.736,16.477,29.478,26696.616,1007.987,7.989,0.67,0.67,5.88,NA,NA,NA,NA,NA
"17","2021/07/08","11:13:46",-0.4979,29.736,16.474,29.474,26692.552,1007.985,7.987,0.7,0.7,6.24,NA,NA,NA,NA,NA
"18","2021/07/08","11:13:46",-0.4783,29.746,16.472,29.475,26688.685,1007.98,7.982,0.71,0.71,6.15,NA,NA,NA,NA,NA
"19","2021/07/08","11:13:46",-0.4783,29.762,16.468,29.478,26682.709,1007.972,7.974,0.7,0.7,5.91,NA,NA,NA,NA,NA
"20","2021/07/08","11:13:47",-0.4979,29.768,16.461,29.469,26671.152,1007.965,7.967,0.7,0.7,6.15,NA,NA,NA,NA,NA
