//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=170       
StartTime=2021/07/08 11:27:33
EndTime=2021/07/08 11:27:49
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/07/08,11:27:33,-0.4587,30.393,31.880,54.097,48359.073,1019.253,19.255,1.46,1.46,7.45,97.36,6.119,7.74,6.136,6.136,
2021/07/08,11:27:33,-0.4783,30.393,31.879,54.095,48357.829,1019.253,19.255,1.45,1.45,7.35,97.42,6.121,7.75,6.137,6.138,
2021/07/08,11:27:33,-0.4783,30.394,31.887,54.109,48369.352,1019.259,19.261,1.45,1.45,7.70,97.56,6.130,7.78,6.147,6.147,
2021/07/08,11:27:33,-0.4587,30.398,31.884,54.109,48365.119,1019.255,19.257,1.42,1.42,8.08,97.55,6.131,7.78,6.148,6.148,
2021/07/08,11:27:33,-0.4587,30.399,31.879,54.102,48357.894,1019.251,19.253,1.43,1.43,7.94,97.55,6.131,7.77,6.148,6.148,
2021/07/08,11:27:33,-0.4783,30.401,31.889,54.119,48371.132,1019.258,19.260,1.39,1.39,7.57,97.68,6.138,7.78,6.155,6.156,
2021/07/08,11:27:33,-0.4783,30.415,31.879,54.117,48356.160,1019.245,19.247,1.37,1.37,7.20,97.83,6.147,7.77,6.164,6.165,
2021/07/08,11:27:33,-0.4783,30.436,31.837,54.075,48298.574,1019.207,19.209,1.42,1.42,7.11,97.95,6.156,7.80,6.173,6.173,
2021/07/08,11:27:33,-0.4783,30.468,31.789,54.033,48231.576,1019.160,19.162,1.39,1.39,7.10,98.07,6.166,7.77,6.183,6.183,
2021/07/08,11:27:33,-0.4783,30.485,31.791,54.052,48232.366,1019.155,19.158,1.37,1.37,6.88,97.99,6.161,7.82,6.178,6.178,
2021/07/08,11:27:34,-0.4587,30.489,31.796,54.066,48240.079,1019.158,19.160,1.35,1.35,6.77,98.17,6.171,7.81,6.188,6.189,
2021/07/08,11:27:34,-0.4783,30.492,31.794,54.065,48236.459,1019.155,19.157,1.36,1.36,6.77,98.06,6.163,7.83,6.180,6.181,
2021/07/08,11:27:34,-0.4783,30.492,31.802,54.077,48247.645,1019.162,19.164,1.40,1.40,7.08,98.18,6.172,7.83,6.189,6.189,
2021/07/08,11:27:34,-0.4783,30.504,31.803,54.091,48248.633,1019.159,19.161,1.44,1.44,7.60,98.33,6.182,7.83,6.199,6.199,
2021/07/08,11:27:34,-0.4783,30.503,31.808,54.097,48255.320,1019.163,19.165,1.45,1.45,7.67,98.28,6.180,7.85,6.197,6.197,
2021/07/08,11:27:34,-0.4783,30.492,31.809,54.086,48256.255,1019.167,19.169,1.48,1.48,7.47,98.47,6.194,7.85,6.211,6.211,
2021/07/08,11:27:34,-0.4783,30.487,31.821,54.101,48273.877,1019.178,19.180,1.45,1.45,7.54,98.71,6.210,7.83,6.227,6.227,
2021/07/08,11:27:34,-0.4783,30.495,31.770,54.032,48204.521,1019.137,19.139,1.46,1.46,7.91,98.76,6.213,7.83,6.230,6.231,
2021/07/08,11:27:34,-0.4783,30.495,31.759,54.014,48189.113,1019.129,19.131,1.42,1.42,7.54,98.81,6.217,7.85,6.234,6.234,
2021/07/08,11:27:34,-0.4783,30.475,31.766,54.005,48199.441,1019.140,19.142,1.42,1.42,7.30,98.90,6.221,7.85,6.238,6.239,
2021/07/08,11:27:35,-0.4587,30.479,31.753,53.989,48181.500,1019.129,19.131,1.44,1.44,7.30,98.95,6.225,7.86,6.242,6.243,
2021/07/08,11:27:35,-0.4783,30.492,31.741,53.985,48165.387,1019.116,19.118,1.48,1.48,7.47,99.02,6.228,7.87,6.245,6.245,
2021/07/08,11:27:35,-0.4783,30.503,31.740,53.994,48162.949,1019.112,19.114,1.46,1.46,8.58,99.03,6.227,7.86,6.244,6.244,
2021/07/08,11:27:35,-0.4783,30.485,31.763,54.012,48195.478,1019.135,19.137,1.46,1.46,7.47,98.99,6.222,7.87,6.239,6.239,
2021/07/08,11:27:35,-0.4783,30.456,31.794,54.029,48238.731,1019.168,19.170,1.42,1.42,7.40,98.93,6.216,7.89,6.233,6.233,
2021/07/08,11:27:35,-0.4783,30.457,31.802,54.043,48249.847,1019.174,19.176,1.41,1.41,7.13,99.01,6.219,7.87,6.236,6.237,
2021/07/08,11:27:35,-0.4979,30.441,31.812,54.041,48264.033,1019.186,19.188,1.44,1.44,7.14,99.10,6.221,7.87,6.238,6.239,
2021/07/08,11:27:35,-0.4783,30.426,31.830,54.055,48290.092,1019.205,19.207,1.39,1.39,6.87,99.26,6.230,7.89,6.247,6.247,
2021/07/08,11:27:35,-0.4783,30.435,31.832,54.066,48292.386,1019.204,19.206,1.43,1.43,7.10,99.35,6.236,7.87,6.253,6.253,
2021/07/08,11:27:35,-0.4783,30.415,31.845,54.065,48310.210,1019.220,19.222,1.48,1.48,7.20,99.35,6.236,7.89,6.253,6.254,
2021/07/08,11:27:36,-0.4783,30.430,31.830,54.058,48289.361,1019.204,19.206,1.46,1.46,6.83,99.42,6.244,7.88,6.261,6.262,
2021/07/08,11:27:36,-0.4783,30.441,31.808,54.036,48258.583,1019.183,19.185,1.45,1.45,7.80,99.53,6.259,7.89,6.276,6.277,
2021/07/08,11:27:36,-0.4783,30.452,31.799,54.032,48245.838,1019.173,19.175,1.42,1.42,6.73,99.58,6.267,7.88,6.284,6.285,
2021/07/08,11:27:36,-0.4783,30.419,31.802,54.005,48252.657,1019.187,19.189,1.43,1.43,6.74,99.66,6.275,7.88,6.292,6.293,
2021/07/08,11:27:36,-0.4783,30.387,31.808,53.982,48262.173,1019.202,19.204,1.49,1.49,6.85,99.59,6.272,7.89,6.289,6.289,
2021/07/08,11:27:36,-0.4587,30.380,31.782,53.936,48227.686,1019.185,19.187,1.45,1.45,6.73,99.56,6.270,7.89,6.287,6.287,
2021/07/08,11:27:36,-0.4587,30.344,31.753,53.857,48191.604,1019.176,19.178,1.41,1.41,8.83,99.73,6.282,7.89,6.299,6.300,
2021/07/08,11:27:36,-0.4783,30.330,31.731,53.810,48162.539,1019.164,19.166,1.38,1.38,8.01,99.77,6.284,7.92,6.301,6.302,
2021/07/08,11:27:36,-0.4783,30.336,31.731,53.815,48161.795,1019.162,19.164,1.40,1.40,7.75,99.81,6.287,7.92,6.304,6.304,
2021/07/08,11:27:36,-0.4587,30.325,31.750,53.834,48188.829,1019.180,19.182,1.40,1.40,7.84,99.65,6.275,7.89,6.293,6.293,
2021/07/08,11:27:37,-0.4587,30.324,31.765,53.856,48209.328,1019.192,19.194,1.40,1.40,7.68,99.91,6.290,7.90,6.307,6.308,
2021/07/08,11:27:37,-0.4783,30.334,31.785,53.895,48235.384,1019.203,19.205,1.38,1.38,7.63,99.97,6.292,7.89,6.309,6.310,
2021/07/08,11:27:37,-0.4783,30.343,31.779,53.895,48225.987,1019.195,19.197,1.34,1.34,7.93,100.05,6.296,7.90,6.313,6.314,
2021/07/08,11:27:37,-0.4783,30.353,31.766,53.885,48207.832,1019.182,19.184,1.35,1.35,8.03,99.93,6.288,7.90,6.305,6.306,
2021/07/08,11:27:37,-0.4783,30.360,31.769,53.896,48211.459,1019.182,19.184,1.48,1.48,7.74,100.01,6.293,7.92,6.310,6.311,
2021/07/08,11:27:37,-0.4587,30.360,31.775,53.906,48220.103,1019.187,19.189,1.49,1.49,7.25,99.95,6.288,7.90,6.305,6.306,
2021/07/08,11:27:37,-0.4587,30.391,31.741,53.885,48172.381,1019.151,19.153,1.39,1.39,9.03,99.99,6.292,7.92,6.309,6.310,
2021/07/08,11:27:37,-0.4587,30.420,31.718,53.879,48139.189,1019.124,19.126,1.45,1.45,9.29,100.10,6.298,7.90,6.315,6.316,
2021/07/08,11:27:37,-0.4587,30.410,31.737,53.899,48165.750,1019.141,19.143,1.51,1.51,7.98,100.24,6.306,7.88,6.323,6.324,
2021/07/08,11:27:37,-0.4783,30.409,31.736,53.896,48164.505,1019.141,19.143,1.48,1.48,7.45,100.22,6.305,7.92,6.322,6.322,
2021/07/08,11:27:38,-0.4587,30.434,31.718,53.892,48137.446,1019.119,19.121,1.43,1.43,7.37,100.21,6.304,7.89,6.321,6.322,
2021/07/08,11:27:38,-0.4587,30.461,31.701,53.893,48113.088,1019.097,19.099,1.44,1.44,7.53,100.20,6.304,7.89,6.321,6.322,
2021/07/08,11:27:38,-0.4783,30.457,31.704,53.895,48117.763,1019.100,19.103,1.41,1.41,7.83,100.34,6.312,7.91,6.330,6.330,
2021/07/08,11:27:38,-0.4783,30.441,31.713,53.892,48130.671,1019.113,19.115,1.41,1.41,7.57,100.33,6.311,7.92,6.328,6.329,
2021/07/08,11:27:38,-0.4783,30.424,31.717,53.881,48137.468,1019.122,19.124,1.41,1.41,8.16,100.32,6.310,7.92,6.327,6.328,
2021/07/08,11:27:38,-0.4587,30.411,31.716,53.867,48136.863,1019.125,19.127,1.39,1.39,8.06,100.36,6.313,7.90,6.330,6.331,
2021/07/08,11:27:38,-0.4783,30.413,31.721,53.877,48143.935,1019.128,19.131,1.42,1.42,7.94,100.49,6.320,7.91,6.337,6.338,
2021/07/08,11:27:38,-0.4783,30.423,31.716,53.878,48135.254,1019.121,19.123,1.41,1.41,7.67,100.42,6.315,7.91,6.332,6.332,
2021/07/08,11:27:38,-0.4783,30.432,31.711,53.880,48128.027,1019.114,19.116,1.41,1.41,7.04,100.56,6.323,7.88,6.340,6.341,
2021/07/08,11:27:38,-0.4783,30.439,31.692,53.859,48102.677,1019.098,19.100,1.39,1.39,6.61,100.38,6.311,7.91,6.329,6.329,
2021/07/08,11:27:39,-0.4783,30.435,31.688,53.848,48097.228,1019.096,19.098,1.39,1.39,6.83,100.43,6.315,7.90,6.332,6.332,
2021/07/08,11:27:39,-0.4783,30.424,31.700,53.854,48113.533,1019.108,19.110,1.47,1.47,7.71,100.35,6.308,7.91,6.325,6.326,
2021/07/08,11:27:39,-0.4783,30.416,31.709,53.861,48126.923,1019.118,19.120,1.53,1.53,10.76,100.60,6.323,7.88,6.340,6.341,
2021/07/08,11:27:39,-0.4783,30.412,31.718,53.870,48138.958,1019.126,19.128,1.48,1.48,13.43,100.71,6.329,7.88,6.346,6.346,
2021/07/08,11:27:39,-0.4783,30.406,31.728,53.880,48153.618,1019.136,19.138,1.42,1.42,10.93,100.63,6.323,7.90,6.340,6.341,
2021/07/08,11:27:39,-0.4783,30.401,31.735,53.886,48162.720,1019.142,19.144,1.43,1.43,8.44,100.49,6.314,7.90,6.331,6.332,
2021/07/08,11:27:39,-0.4783,30.398,31.740,53.890,48169.979,1019.147,19.149,1.43,1.43,7.80,100.63,6.322,7.91,6.339,6.340,
2021/07/08,11:27:39,-0.4783,30.397,31.746,53.898,48177.545,1019.152,19.154,1.44,1.44,7.70,100.65,6.322,7.91,6.339,6.340,
2021/07/08,11:27:39,-0.4783,30.395,31.754,53.909,48189.293,1019.159,19.161,1.46,1.46,7.85,100.80,6.331,7.92,6.349,6.349,
2021/07/08,11:27:39,-0.4587,30.395,31.757,53.914,48193.683,1019.161,19.163,1.44,1.44,7.64,100.87,6.337,7.89,6.354,6.355,
2021/07/08,11:27:40,-0.4783,30.393,31.760,53.916,48197.460,1019.164,19.166,1.46,1.46,7.20,100.75,6.330,7.91,6.347,6.348,
2021/07/08,11:27:40,-0.4979,30.386,31.768,53.921,48207.989,1019.172,19.174,1.42,1.42,7.04,100.75,6.331,7.91,6.348,6.349,
2021/07/08,11:27:40,-0.4783,30.374,31.780,53.927,48225.059,1019.185,19.187,1.42,1.42,7.17,100.81,6.334,7.90,6.351,6.352,
2021/07/08,11:27:40,-0.4783,30.366,31.787,53.930,48235.344,1019.193,19.195,1.40,1.40,7.07,100.89,6.338,7.91,6.356,6.356,
2021/07/08,11:27:40,-0.4783,30.357,31.797,53.936,48249.599,1019.204,19.206,1.36,1.36,6.67,100.83,6.334,7.92,6.351,6.352,
