//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2021/07/28 09:22:59
EndTime=2021/07/28 09:23:12
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/07/28,09:22:59,-0.4979,27.390,34.111,54.326,51612.092,1021.921,21.923,0.31,0.31,5.97,92.05,6.005,7.50,6.023,6.024,
2021/07/28,09:22:59,-0.5176,27.398,34.112,54.336,51613.097,1021.920,21.922,0.31,0.31,6.23,91.94,5.997,7.50,6.014,6.015,
2021/07/28,09:22:59,-0.5176,27.408,34.109,54.342,51608.505,1021.914,21.917,0.31,0.31,6.48,91.59,5.974,7.52,5.991,5.992,
2021/07/28,09:22:59,-0.4979,27.416,34.104,54.343,51600.608,1021.908,21.910,0.30,0.30,6.47,91.32,5.956,7.52,5.973,5.974,
2021/07/28,09:22:59,-0.4979,27.419,34.101,54.343,51596.697,1021.905,21.907,0.28,0.28,6.34,91.06,5.939,7.55,5.956,5.957,
2021/07/28,09:22:59,-0.4979,27.408,34.108,54.340,51606.364,1021.913,21.915,0.28,0.28,5.84,90.82,5.923,7.54,5.940,5.941,
2021/07/28,09:22:59,-0.5176,27.395,34.113,54.335,51615.083,1021.921,21.924,0.28,0.28,5.41,90.54,5.905,7.55,5.922,5.923,
2021/07/28,09:22:59,-0.5176,27.398,34.108,54.331,51607.786,1021.917,21.919,0.27,0.27,5.33,90.33,5.892,7.55,5.908,5.909,
2021/07/28,09:22:59,-0.5176,27.406,34.098,54.325,51593.946,1021.907,21.909,0.27,0.27,5.00,90.08,5.876,7.56,5.892,5.893,
2021/07/28,09:22:59,-0.5176,27.407,34.102,54.331,51599.008,1021.909,21.912,0.28,0.28,5.30,89.82,5.859,7.55,5.875,5.876,
2021/07/28,09:23:00,-0.5176,27.404,34.100,54.326,51596.799,1021.909,21.911,0.27,0.27,5.34,89.61,5.845,7.56,5.862,5.863,
2021/07/28,09:23:00,-0.5176,27.403,34.101,54.326,51597.921,1021.910,21.912,0.27,0.27,5.11,89.23,5.820,7.55,5.837,5.838,
2021/07/28,09:23:00,-0.5176,27.400,34.104,54.328,51602.557,1021.913,21.915,0.28,0.28,5.04,88.99,5.805,7.57,5.821,5.822,
2021/07/28,09:23:00,-0.5176,27.399,34.103,54.324,51600.498,1021.912,21.915,0.28,0.28,4.78,88.78,5.791,7.59,5.808,5.809,
2021/07/28,09:23:00,-0.5372,27.400,34.101,54.322,51597.647,1021.910,21.913,0.30,0.30,4.87,88.55,5.776,7.57,5.793,5.794,
2021/07/28,09:23:00,-0.5372,27.407,34.095,54.321,51589.063,1021.904,21.906,0.31,0.31,5.24,88.28,5.758,7.59,5.775,5.775,
