//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=180       
StartTime=2021/07/28 12:09:26
EndTime=2021/07/28 12:09:43
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/07/28,12:09:26,-0.5568,28.186,33.948,54.916,51318.231,1021.540,21.543,0.12,0.12,1.96,91.57,5.882,7.50,5.899,5.900,
2021/07/28,12:09:26,-0.5961,28.241,33.919,54.932,51275.254,1021.501,21.503,0.12,0.12,1.69,91.43,5.875,7.51,5.892,5.893,
2021/07/28,12:09:26,-0.6157,28.269,33.896,54.926,51241.162,1021.474,21.477,0.11,0.11,1.64,91.42,5.875,7.53,5.892,5.893,
2021/07/28,12:09:26,-0.5961,28.272,33.890,54.922,51233.323,1021.469,21.471,0.08,0.08,1.44,91.28,5.867,7.53,5.884,5.885,
2021/07/28,12:09:26,-0.5764,28.250,33.897,54.908,51244.547,1021.481,21.484,0.10,0.10,1.36,91.18,5.860,7.54,5.877,5.878,
2021/07/28,12:09:26,-0.5961,28.227,33.900,54.889,51250.646,1021.491,21.493,0.11,0.11,1.48,91.17,5.859,7.55,5.876,5.877,
2021/07/28,12:09:26,-0.5961,28.207,33.907,54.879,51262.512,1021.503,21.506,0.11,0.11,1.55,91.11,5.856,7.56,5.872,5.873,
2021/07/28,12:09:26,-0.5961,28.191,33.914,54.872,51273.106,1021.514,21.516,0.09,0.09,1.66,90.91,5.842,7.56,5.858,5.859,
2021/07/28,12:09:26,-0.5961,28.180,33.928,54.881,51292.537,1021.527,21.530,0.09,0.09,1.85,90.73,5.830,7.56,5.846,5.847,
2021/07/28,12:09:26,-0.5961,28.174,33.940,54.892,51309.135,1021.538,21.541,0.10,0.10,2.26,90.67,5.825,7.56,5.841,5.842,
2021/07/28,12:09:27,-0.5961,28.172,33.949,54.903,51321.609,1021.546,21.548,0.11,0.11,1.95,90.63,5.823,7.58,5.840,5.841,
2021/07/28,12:09:27,-0.5961,28.175,33.955,54.914,51329.054,1021.549,21.552,0.09,0.09,1.62,90.71,5.829,7.57,5.845,5.846,
2021/07/28,12:09:27,-0.5961,28.196,33.938,54.912,51304.297,1021.529,21.532,0.09,0.09,1.58,90.71,5.829,7.59,5.845,5.846,
2021/07/28,12:09:27,-0.5961,28.228,33.921,54.921,51279.031,1021.506,21.509,0.08,0.08,1.61,90.62,5.823,7.60,5.839,5.840,
2021/07/28,12:09:27,-0.5764,28.246,33.918,54.935,51273.899,1021.499,21.501,0.10,0.10,1.61,90.63,5.824,7.60,5.841,5.842,
2021/07/28,12:09:27,-0.5764,28.256,33.909,54.931,51259.678,1021.488,21.491,0.10,0.10,1.64,90.51,5.816,7.61,5.832,5.833,
