//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=180       
StartTime=2021/07/28 10:49:44
EndTime=2021/07/28 10:50:01
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/07/28,10:49:44,-0.6942,27.988,0.027,0.043,40.132,996.256,-3.741,-0.05,-0.05,0.45,85.66,6.561,7.52,6.580,6.580,
2021/07/28,10:49:44,-0.7335,28.004,0.027,0.043,40.170,996.251,-3.746,-0.06,-0.06,0.37,85.67,6.561,7.52,6.580,6.580,
2021/07/28,10:49:44,-0.7335,28.029,0.027,0.043,40.043,996.244,-3.753,-0.07,-0.07,0.34,85.67,6.561,7.53,6.579,6.579,
2021/07/28,10:49:44,-0.7335,28.068,0.027,0.043,40.063,996.233,-3.764,-0.02,-0.02,0.87,85.74,6.566,7.54,6.585,6.585,
2021/07/28,10:49:44,-0.7335,28.117,0.027,0.043,40.146,996.219,-3.778,-0.01,-0.01,0.84,85.76,6.567,7.54,6.586,6.586,
2021/07/28,10:49:44,-0.7335,28.173,0.027,0.043,39.949,996.203,-3.794,-0.03,-0.03,0.45,85.71,6.563,7.55,6.582,6.582,
2021/07/28,10:49:44,-0.7335,28.235,0.027,0.043,39.854,996.185,-3.812,-0.04,-0.04,0.34,85.78,6.568,7.56,6.587,6.587,
2021/07/28,10:49:44,-0.7335,28.287,0.027,0.043,39.789,996.170,-3.827,-0.01,-0.01,1.55,85.67,6.559,7.56,6.578,6.578,
2021/07/28,10:49:44,-0.7335,28.325,0.026,0.043,39.643,996.159,-3.838,-0.05,-0.05,0.98,85.67,6.559,7.60,6.578,6.578,
2021/07/28,10:49:44,-0.7335,28.367,0.026,0.043,39.576,996.147,-3.850,-0.01,-0.01,0.85,85.62,6.555,7.60,6.574,6.574,
2021/07/28,10:49:45,-0.7335,28.408,0.026,0.042,39.486,996.135,-3.861,-0.02,-0.02,0.67,85.57,6.552,7.57,6.570,6.571,
2021/07/28,10:49:45,-0.7335,28.448,0.026,0.043,39.583,996.124,-3.873,-0.03,-0.03,0.94,85.67,6.559,7.58,6.578,6.578,
2021/07/28,10:49:45,-0.7139,28.503,0.026,0.042,39.342,996.108,-3.889,-0.02,-0.02,1.15,85.62,6.555,7.60,6.574,6.574,
2021/07/28,10:49:45,-0.7139,28.524,0.026,0.042,39.427,996.102,-3.895,0.00,0.00,1.01,85.61,6.553,7.60,6.572,6.572,
2021/07/28,10:49:45,-0.7335,28.500,0.026,0.042,39.416,996.109,-3.888,-0.02,-0.02,1.00,85.66,6.557,7.60,6.576,6.576,
2021/07/28,10:49:45,-0.7139,28.473,0.026,0.043,39.555,996.116,-3.880,-0.03,-0.03,0.91,85.61,6.554,7.59,6.572,6.573,
2021/07/28,10:49:45,-0.7335,28.460,0.026,0.042,39.445,996.120,-3.877,-0.05,-0.05,1.82,85.57,6.550,7.61,6.569,6.569,
2021/07/28,10:49:45,-0.7335,28.457,0.026,0.042,39.302,996.121,-3.876,-0.02,-0.02,1.39,85.61,6.554,7.62,6.573,6.573,
2021/07/28,10:49:45,-0.7139,28.460,0.026,0.042,39.217,996.120,-3.877,-0.04,-0.04,1.65,85.64,6.556,7.62,6.575,6.575,
2021/07/28,10:49:45,-0.7335,28.464,0.026,0.042,39.200,996.119,-3.878,-0.03,-0.03,1.11,85.60,6.553,7.62,6.572,6.572,
2021/07/28,10:49:46,-0.7139,28.462,0.026,0.042,38.997,996.120,-3.877,-0.03,-0.03,1.58,85.60,6.553,7.61,6.572,6.572,
