"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/07/28","10:38:31",-0.6157,27.353,34.384,54.674,51983.406,1022.139,22.141,NA,NA,1.42,NA,6.066,NA,6.083,6.084
"2","2021/07/28","10:38:31",-0.6157,27.351,34.363,54.642,51955.169,1022.123,22.126,0.15,0.15,1.39,NA,6.064,NA,6.081,6.082
"3","2021/07/28","10:38:31",-0.6157,27.347,34.393,54.681,51996.056,1022.147,22.15,NA,NA,1.28,NA,NA,NA,NA,NA
"4","2021/07/28","10:38:31",-0.6157,27.374,34.396,54.712,51996.543,1022.14,22.143,NA,NA,1.24,NA,NA,NA,NA,NA
"5","2021/07/28","10:38:31",-0.6157,27.417,34.391,54.75,51986.465,1022.123,22.126,NA,NA,1.27,NA,6.064,NA,6.081,6.083
"6","2021/07/28","10:38:31",-0.6157,27.449,34.382,54.771,51970.641,1022.106,22.108,0.15,0.15,1.28,93.8,6.076,NA,6.093,6.094
"7","2021/07/28","10:38:31",-0.6157,27.48,34.337,54.739,51907.348,1022.062,22.065,NA,NA,1.24,93.79,6.078,NA,6.096,6.097
"8","2021/07/28","10:38:31",-0.5961,27.489,34.345,54.76,51917.362,1022.065,22.068,0.15,0.15,1.21,93.89,6.085,NA,6.103,6.104
"9","2021/07/28","10:38:31",-0.6157,27.529,34.341,54.796,51908.66,1022.05,22.052,NA,NA,1.18,93.96,6.091,NA,6.108,6.109
"10","2021/07/28","10:38:32",-0.6157,27.552,34.341,54.819,51905.392,1022.042,22.044,0.15,0.15,1.15,94,6.095,NA,6.112,6.113
"11","2021/07/28","10:38:32",-0.6157,27.563,34.342,54.833,51905.928,1022.039,22.042,0.15,0.15,1.18,94.12,6.103,NA,6.12,6.121
"12","2021/07/28","10:38:32",-0.6157,27.564,34.355,54.852,51922.946,1022.048,22.051,0.15,0.15,1.24,94.19,6.107,NA,6.124,6.125
"13","2021/07/28","10:38:32",-0.6157,27.573,34.352,54.857,51917.918,1022.043,22.046,NA,NA,1.27,94.18,6.106,7.6,6.124,6.125
"14","2021/07/28","10:38:32",-0.6157,27.585,34.355,54.874,51920.815,1022.041,22.044,0.15,0.15,1.25,94.21,6.107,7.6,6.124,6.125
"15","2021/07/28","10:38:32",-0.6353,27.581,34.418,54.959,52005.995,1022.09,22.093,0.15,0.15,1.22,94.09,6.097,NA,6.114,6.115
"16","2021/07/28","10:38:32",-0.6157,27.557,34.464,55,52070.527,1022.133,22.135,0.15,0.15,1.18,94.2,6.104,NA,6.121,6.122
"17","2021/07/28","10:38:32",-0.6353,27.537,34.486,55.009,52101.764,1022.156,22.158,NA,NA,1.17,94.14,6.1,7.61,6.117,6.118
"18","2021/07/28","10:38:32",-0.6157,27.521,34.499,55.011,52120.609,1022.171,22.173,0.15,0.15,1.21,94.06,6.088,7.63,6.105,6.106
"19","2021/07/28","10:38:32",-0.6157,27.528,34.473,54.982,52085.268,1022.149,22.151,0.15,0.15,1.14,93.95,6.077,NA,6.095,6.096
"20","2021/07/28","10:38:33",-0.6157,27.537,34.436,54.94,52035.333,1022.118,22.121,0.15,0.15,1.14,93.98,6.081,7.62,6.098,6.099
"21","2021/07/28","10:38:33",-0.6157,27.534,34.456,54.964,52061.98,1022.134,22.137,NA,NA,1.15,94.18,6.095,7.62,6.112,6.113
"22","2021/07/28","10:38:33",-0.6157,27.528,34.535,55.069,52167.951,1022.195,22.198,NA,NA,1.14,94.18,6.092,7.62,6.109,6.11
"23","2021/07/28","10:38:33",-0.6157,27.525,34.552,55.091,52191.726,1022.209,22.212,NA,NA,1.09,94.13,6.088,7.62,6.105,6.106
"24","2021/07/28","10:38:33",-0.6157,27.503,34.577,55.103,52227.059,1022.235,22.238,NA,NA,1.11,94.24,6.095,7.62,6.112,6.113
"25","2021/07/28","10:38:33",-0.6157,27.473,34.611,55.12,52275.62,1022.27,22.273,NA,NA,1.09,94.18,6.09,7.62,6.107,6.108
"26","2021/07/28","10:38:33",-0.6353,27.449,34.634,55.128,52308.885,1022.295,22.298,0.15,0.15,1.11,94.24,6.095,7.62,6.112,6.113
"27","2021/07/28","10:38:33",-0.6157,27.445,34.639,55.13,52316.121,1022.3,22.303,0.15,0.15,1.15,94.35,6.103,7.63,6.12,6.121
"28","2021/07/28","10:38:33",-0.6157,27.473,34.64,NA,52314.47,1022.292,22.295,0.15,0.15,1.22,94.34,6.103,7.64,6.121,6.122
"29","2021/07/28","10:38:33",-0.6157,27.492,34.632,NA,52302.117,1022.28,22.283,0.15,0.15,1.39,94.43,6.109,7.64,6.126,6.127
"30","2021/07/28","10:38:34",-0.6157,27.508,34.601,NA,52259.503,1022.252,22.255,NA,NA,1.29,94.52,6.115,7.63,6.132,6.134
"31","2021/07/28","10:38:34",-0.6157,27.529,34.52,55.05,52147.925,1022.184,22.186,NA,NA,1.22,94.47,6.112,7.62,6.129,6.13
"32","2021/07/28","10:38:34",-0.6157,27.549,34.458,54.984,52063.781,1022.131,22.134,0.15,0.15,1.22,94.37,6.107,7.64,6.124,6.125
"33","2021/07/28","10:38:34",-0.6157,27.555,34.43,54.95,52025.173,1022.108,22.11,0.15,0.15,1.14,94.31,6.103,7.64,6.12,6.121
"34","2021/07/28","10:38:34",-0.6157,27.55,34.392,54.891,51974.776,1022.081,22.084,NA,NA,1.11,94.24,6.1,7.63,6.118,6.119
"35","2021/07/28","10:38:34",-0.6157,27.548,34.346,54.823,51912.86,1022.047,22.05,NA,NA,1.08,94.37,6.109,7.62,6.126,6.127
"36","2021/07/28","10:38:34",-0.6157,27.55,34.29,54.745,51837.284,1022.004,22.007,0.15,0.15,0.98,94.41,6.113,7.64,6.13,6.131
"37","2021/07/28","10:38:34",-0.6353,27.559,34.224,54.661,51747.709,1021.951,21.954,0.15,0.15,0.98,94.37,6.112,7.64,6.129,6.13
"38","2021/07/28","10:38:34",-0.6157,27.577,34.181,54.619,51688.524,1021.913,21.916,0.15,0.15,0.91,94.32,6.108,7.66,6.126,6.127
"39","2021/07/28","10:38:34",-0.6353,27.651,34.1,54.579,51572.032,1021.828,21.831,0.15,0.15,0.91,94.29,6.107,7.65,6.124,6.125
"40","2021/07/28","10:38:35",-0.6157,NA,34.044,54.556,51492.064,1021.769,21.772,0.15,0.15,0.92,94.34,6.113,7.63,6.131,6.132
"41","2021/07/28","10:38:35",-0.6353,27.654,34.07,54.541,51531.783,1021.805,21.808,0.15,0.15,0.91,94.31,6.114,7.66,6.132,6.133
"42","2021/07/28","10:38:35",-0.6353,27.595,34.12,54.55,51604.068,1021.861,21.864,0.15,0.15,0.88,94.28,6.112,7.64,6.13,6.131
"43","2021/07/28","10:38:35",-0.6353,27.629,34.13,54.601,51614.888,1021.858,21.861,0.15,0.15,0.82,94.23,6.103,7.64,6.12,6.121
"44","2021/07/28","10:38:35",-0.6157,27.696,34.123,54.66,51599.464,1021.831,21.834,NA,NA,0.81,94.15,6.101,7.65,6.118,6.119
"45","2021/07/28","10:38:35",-0.6353,27.653,34.15,54.653,51638.914,1021.865,21.868,0.15,0.15,0.8,94.26,6.108,7.64,6.126,6.127
"46","2021/07/28","10:38:35",-0.6353,27.55,34.226,54.655,51751.249,1021.956,21.958,0.15,0.15,0.88,94.2,6.103,7.67,6.12,6.121
"47","2021/07/28","10:38:35",-0.6353,27.482,34.297,54.685,51853.482,1022.031,22.034,0.15,0.15,0.9,94.16,6.099,7.65,6.116,6.117
"48","2021/07/28","10:38:35",-0.6157,27.439,34.335,54.693,51908.078,1022.074,22.076,NA,NA,0.88,94.27,6.105,7.65,6.122,6.123
"49","2021/07/28","10:38:35",-0.6353,27.422,34.33,54.669,51903.996,1022.076,22.078,0.15,0.15,0.87,94.29,6.106,7.65,6.123,6.124
"50","2021/07/28","10:38:36",-0.6157,27.41,34.348,54.682,51929.346,1022.093,22.096,NA,NA,0.87,94.26,6.103,7.67,6.121,6.122
"51","2021/07/28","10:38:36",-0.6157,27.405,34.375,54.716,51966.339,1022.115,22.118,0.15,0.15,0.82,94.28,6.105,7.65,6.123,6.124
"52","2021/07/28","10:38:36",-0.6353,27.423,34.357,54.708,51939.81,1022.095,22.098,NA,NA,0.85,94.39,6.113,7.65,6.131,6.132
"53","2021/07/28","10:38:36",-0.6157,27.456,34.364,54.753,51945.621,1022.09,22.093,0.15,0.15,0.84,94.37,6.112,7.65,6.129,6.13
"54","2021/07/28","10:38:36",-0.6157,27.505,34.348,54.781,51919.636,1022.062,22.065,NA,NA,0.81,94.33,6.11,7.64,6.128,6.129
"55","2021/07/28","10:38:36",-0.6353,27.528,34.342,54.797,51910.042,1022.051,22.053,0.15,0.15,0.81,94.3,6.107,7.66,6.125,6.126
"56","2021/07/28","10:38:36",-0.6353,27.52,34.293,54.719,51844.892,1022.016,22.019,0.15,0.15,0.81,94.19,6.101,7.66,6.119,6.12
