//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=780       
StartTime=2021/07/28 08:00:39
EndTime=2021/07/28 08:01:56
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/07/28,08:00:39,-0.6353,27.298,0.028,0.046,44.149,996.451,-3.546,0.11,0.11,0.24,94.55,7.462,7.53,7.483,7.483,
2021/07/28,08:00:39,-0.6550,27.300,0.028,0.047,44.285,996.450,-3.547,0.10,0.10,0.23,94.51,7.459,7.55,7.480,7.480,
2021/07/28,08:00:39,-0.6746,27.300,0.028,0.046,44.155,996.450,-3.547,0.07,0.07,0.23,94.57,7.464,7.53,7.485,7.485,
2021/07/28,08:00:39,-0.6746,27.296,0.028,0.047,44.356,996.451,-3.546,0.11,0.11,0.24,94.58,7.465,7.55,7.486,7.486,
2021/07/28,08:00:39,-0.6746,27.293,0.028,0.046,44.159,996.452,-3.545,0.11,0.11,0.24,94.63,7.471,7.55,7.492,7.492,
2021/07/28,08:00:39,-0.6746,27.288,0.028,0.047,44.329,996.454,-3.543,0.11,0.11,0.24,94.69,7.477,7.56,7.498,7.498,
2021/07/28,08:00:39,-0.6550,27.287,0.028,0.047,44.432,996.454,-3.543,0.06,0.06,0.24,94.62,7.472,7.57,7.493,7.493,
2021/07/28,08:00:39,-0.6746,27.287,0.028,0.046,44.264,996.454,-3.543,0.09,0.09,0.23,94.60,7.471,7.58,7.492,7.492,
2021/07/28,08:00:39,-0.6550,27.284,0.028,0.046,44.235,996.455,-3.542,0.08,0.08,0.23,94.58,7.469,7.55,7.490,7.490,
2021/07/28,08:00:39,-0.6550,27.282,0.028,0.047,44.500,996.455,-3.542,0.09,0.09,0.24,94.68,7.477,7.57,7.498,7.498,
2021/07/28,08:00:40,-0.6746,27.279,0.028,0.046,44.207,996.456,-3.541,0.09,0.09,0.27,94.72,7.480,7.59,7.501,7.501,
2021/07/28,08:00:40,-0.6550,27.279,0.028,0.046,44.109,996.456,-3.541,0.10,0.10,0.27,94.69,7.477,7.59,7.498,7.498,
2021/07/28,08:00:40,-0.6550,27.280,0.028,0.046,44.270,996.456,-3.541,0.08,0.08,0.27,94.71,7.479,7.61,7.500,7.500,
2021/07/28,08:00:40,-0.6746,27.277,0.028,0.047,44.510,996.457,-3.540,0.11,0.11,0.30,94.76,7.482,7.61,7.503,7.503,
2021/07/28,08:00:40,-0.6746,27.277,0.028,0.046,44.245,996.456,-3.541,0.08,0.08,0.26,94.72,7.479,7.61,7.500,7.500,
2021/07/28,08:00:40,-0.6746,27.280,0.028,0.047,44.416,996.456,-3.541,0.09,0.09,0.23,94.76,7.482,7.61,7.503,7.503,
2021/07/28,08:00:40,-0.6550,27.281,0.028,0.047,44.518,996.456,-3.541,0.12,0.12,0.24,94.66,7.474,7.60,7.495,7.495,
2021/07/28,08:00:40,-0.6550,27.280,0.028,0.046,44.274,996.456,-3.541,0.10,0.10,0.23,94.63,7.472,7.62,7.493,7.493,
2021/07/28,08:00:40,-0.6550,27.281,0.028,0.046,43.954,996.455,-3.542,0.13,0.13,0.23,94.56,7.466,7.63,7.486,7.487,
2021/07/28,08:00:40,-0.6550,27.282,0.028,0.046,44.206,996.455,-3.542,0.11,0.11,0.24,94.64,7.472,7.64,7.493,7.493,
2021/07/28,08:00:41,-0.6746,27.285,0.028,0.046,44.193,996.454,-3.543,0.15,0.15,0.26,94.60,7.469,7.62,7.489,7.490,
2021/07/28,08:00:41,-0.6746,27.285,0.028,0.047,44.489,996.454,-3.543,0.11,0.11,0.26,94.62,7.470,7.64,7.491,7.492,
2021/07/28,08:00:41,-0.6746,27.285,0.028,0.047,44.384,996.454,-3.543,0.11,0.11,0.24,94.66,7.474,7.65,7.494,7.495,
2021/07/28,08:00:41,-0.6746,27.280,0.028,0.046,44.278,996.456,-3.541,0.10,0.10,0.23,94.63,7.471,7.64,7.492,7.492,
2021/07/28,08:00:41,-0.6746,27.281,0.028,0.046,44.236,996.455,-3.542,0.11,0.11,0.21,94.66,7.474,7.64,7.494,7.495,
2021/07/28,08:00:41,-0.6746,27.283,0.028,0.046,44.269,996.455,-3.542,0.05,0.05,0.23,94.61,7.470,7.64,7.491,7.491,
2021/07/28,08:00:41,-0.6746,27.282,0.028,0.046,44.138,996.455,-3.542,0.07,0.07,0.24,94.61,7.470,7.63,7.491,7.491,
2021/07/28,08:00:41,-0.6746,27.280,0.028,0.047,44.435,996.456,-3.541,0.06,0.06,0.21,94.61,7.470,7.64,7.490,7.491,
2021/07/28,08:00:41,-0.6746,27.279,0.028,0.046,44.228,996.456,-3.541,0.08,0.08,0.21,94.55,7.465,7.64,7.486,7.486,
2021/07/28,08:00:41,-0.6746,27.281,0.028,0.047,44.334,996.455,-3.542,0.10,0.10,0.24,94.56,7.466,7.63,7.487,7.487,
2021/07/28,08:00:42,-0.6746,27.284,0.028,0.047,44.374,996.455,-3.542,0.09,0.09,0.26,94.65,7.473,7.65,7.494,7.494,
2021/07/28,08:00:42,-0.6550,27.282,0.028,0.046,44.241,996.455,-3.542,0.09,0.09,0.26,94.58,7.468,7.65,7.489,7.489,
2021/07/28,08:00:42,-0.6550,27.277,0.028,0.047,44.284,996.457,-3.540,0.09,0.09,0.21,94.63,7.472,7.65,7.493,7.493,
2021/07/28,08:00:42,-0.6550,27.273,0.028,0.046,44.025,996.458,-3.539,0.10,0.10,0.23,94.59,7.469,7.66,7.490,7.490,
2021/07/28,08:00:42,-0.6550,27.271,0.028,0.046,44.062,996.458,-3.539,0.09,0.09,0.21,94.58,7.468,7.65,7.488,7.489,
2021/07/28,08:00:42,-0.6746,27.272,0.028,0.046,44.227,996.458,-3.539,0.10,0.10,0.21,94.63,7.472,7.67,7.493,7.493,
2021/07/28,08:00:42,-0.6746,27.277,0.028,0.046,44.158,996.456,-3.541,0.10,0.10,0.23,94.61,7.470,7.66,7.491,7.491,
2021/07/28,08:00:42,-0.6746,27.282,0.028,0.046,44.249,996.455,-3.542,0.11,0.11,0.24,94.62,7.472,7.66,7.492,7.493,
2021/07/28,08:00:42,-0.6746,27.287,0.028,0.046,44.136,996.454,-3.543,0.09,0.09,0.24,94.52,7.464,7.66,7.485,7.485,
2021/07/28,08:00:42,-0.6746,27.290,0.028,0.047,44.433,996.453,-3.544,0.08,0.08,0.24,94.64,7.475,7.65,7.496,7.496,
2021/07/28,08:00:43,-0.6746,27.288,0.028,0.046,43.806,996.453,-3.544,0.11,0.11,0.21,94.62,7.473,7.66,7.494,7.495,
2021/07/28,08:00:43,-0.6550,27.285,0.028,0.046,44.008,996.454,-3.543,0.09,0.09,0.21,94.64,7.475,7.66,7.496,7.496,
2021/07/28,08:00:43,-0.6746,27.282,0.028,0.047,44.342,996.455,-3.542,0.08,0.08,0.23,94.71,7.480,7.69,7.501,7.501,
2021/07/28,08:00:43,-0.6550,27.277,0.028,0.046,44.150,996.457,-3.540,0.07,0.07,0.26,94.64,7.475,7.66,7.496,7.496,
2021/07/28,08:00:43,-0.6550,27.271,0.028,0.046,44.189,996.458,-3.539,0.09,0.09,0.24,94.69,7.479,7.69,7.500,7.500,
2021/07/28,08:00:43,-0.6550,27.268,0.028,0.047,44.323,996.459,-3.538,0.08,0.08,0.23,94.70,7.480,7.66,7.501,7.501,
2021/07/28,08:00:43,-0.6746,27.263,0.028,0.046,44.126,996.460,-3.537,0.06,0.06,0.23,94.68,7.478,7.66,7.499,7.499,
2021/07/28,08:00:43,-0.6550,27.259,0.028,0.046,44.222,996.462,-3.535,0.12,0.12,0.24,94.59,7.473,7.66,7.493,7.494,
2021/07/28,08:00:43,-0.6746,27.259,0.028,0.047,44.685,996.462,-3.535,0.10,0.10,0.24,94.67,7.480,7.65,7.500,7.501,
2021/07/28,08:00:43,-0.6746,27.260,0.028,0.046,44.154,996.461,-3.536,0.09,0.09,0.23,94.67,7.481,7.70,7.502,7.502,
2021/07/28,08:00:44,-0.6746,27.262,0.028,0.046,44.280,996.461,-3.536,0.11,0.11,0.24,94.67,7.480,7.67,7.501,7.501,
2021/07/28,08:00:44,-0.6746,27.268,0.028,0.046,43.903,996.459,-3.538,0.08,0.08,0.30,94.60,7.474,7.67,7.495,7.495,
2021/07/28,08:00:44,-0.6550,27.273,0.028,0.047,44.328,996.458,-3.539,0.08,0.08,0.28,94.65,7.478,7.69,7.499,7.499,
2021/07/28,08:00:44,-0.6550,27.274,0.028,0.047,44.292,996.457,-3.540,0.09,0.09,0.23,94.60,7.474,7.66,7.495,7.495,
2021/07/28,08:00:44,-0.6746,27.279,0.028,0.047,44.287,996.456,-3.541,0.09,0.09,0.20,94.59,7.473,7.68,7.494,7.494,
2021/07/28,08:00:44,-0.6746,27.285,0.028,0.046,44.119,996.454,-3.543,0.08,0.08,0.26,94.58,7.472,7.66,7.493,7.493,
2021/07/28,08:00:44,-0.6746,27.283,0.028,0.046,44.023,996.455,-3.542,0.08,0.08,0.30,94.70,7.482,7.68,7.502,7.503,
2021/07/28,08:00:44,-0.6746,27.280,0.028,0.047,44.290,996.456,-3.541,0.08,0.08,0.23,94.63,7.476,7.66,7.497,7.497,
2021/07/28,08:00:44,-0.6550,27.278,0.028,0.047,44.293,996.456,-3.541,0.08,0.08,0.26,94.57,7.472,7.69,7.493,7.493,
2021/07/28,08:00:44,-0.6746,27.278,0.028,0.047,44.361,996.456,-3.541,0.09,0.09,0.27,94.63,7.477,7.67,7.498,7.498,
2021/07/28,08:00:45,-0.6746,27.277,0.028,0.046,44.166,996.457,-3.540,0.09,0.09,0.27,94.62,7.477,7.66,7.497,7.498,
2021/07/28,08:00:45,-0.6746,27.274,0.028,0.047,44.496,996.457,-3.540,0.10,0.10,0.23,94.72,7.485,7.67,7.506,7.506,
