//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=170       
StartTime=2021/08/06 10:30:46
EndTime=2021/08/06 10:31:02
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/06,10:30:46,-0.6942,29.596,33.317,55.446,50354.030,1020.599,20.602,0.30,0.30,3.47,83.08,5.230,7.46,5.244,5.245,
2021/08/06,10:30:46,-0.7139,29.595,33.320,55.448,50357.955,1020.601,20.605,0.31,0.31,3.47,82.86,5.219,7.46,5.234,5.235,
2021/08/06,10:30:46,-0.7139,29.585,33.351,55.484,50400.513,1020.628,20.631,0.30,0.30,3.40,82.58,5.203,7.50,5.217,5.218,
2021/08/06,10:30:46,-0.7139,29.597,33.349,55.493,50396.849,1020.623,20.626,0.30,0.30,3.32,82.32,5.189,7.49,5.203,5.204,
2021/08/06,10:30:46,-0.6942,29.612,33.336,55.489,50377.446,1020.607,20.610,0.29,0.29,3.26,82.12,5.178,7.49,5.192,5.193,
2021/08/06,10:30:46,-0.6942,29.610,33.341,55.495,50385.191,1020.612,20.615,0.30,0.30,3.23,81.98,5.169,7.51,5.183,5.184,
2021/08/06,10:30:46,-0.6942,29.601,33.362,55.516,50412.909,1020.630,20.633,0.30,0.30,3.32,81.92,5.164,7.49,5.178,5.179,
2021/08/06,10:30:46,-0.6942,29.625,33.354,55.529,50401.031,1020.617,20.620,0.31,0.31,3.39,81.71,5.150,7.52,5.164,5.165,
2021/08/06,10:30:46,-0.6942,29.661,33.337,55.541,50375.001,1020.591,20.594,0.31,0.31,3.40,81.54,5.139,7.54,5.154,5.154,
2021/08/06,10:30:46,-0.6942,29.682,33.325,55.544,50357.702,1020.576,20.579,0.30,0.30,3.42,81.40,5.129,7.53,5.144,5.144,
2021/08/06,10:30:47,-0.6942,29.672,33.333,55.547,50369.580,1020.585,20.588,0.30,0.30,3.32,81.40,5.129,7.52,5.143,5.143,
2021/08/06,10:30:47,-0.7139,29.671,33.337,55.551,50374.583,1020.588,20.591,0.31,0.31,3.24,81.35,5.125,7.55,5.139,5.140,
2021/08/06,10:30:47,-0.6942,29.653,33.349,55.550,50391.997,1020.603,20.606,0.31,0.31,3.40,81.23,5.116,7.55,5.130,5.131,
2021/08/06,10:30:47,-0.7139,29.630,33.360,55.543,50408.929,1020.620,20.623,0.30,0.30,3.54,81.14,5.108,7.57,5.122,5.123,
2021/08/06,10:30:47,-0.6942,29.621,33.371,55.550,50423.703,1020.630,20.633,0.31,0.31,3.39,80.93,5.094,7.57,5.108,5.109,
2021/08/06,10:30:47,-0.6942,29.620,33.385,55.571,50443.279,1020.642,20.645,0.31,0.31,3.27,80.77,5.084,7.56,5.098,5.098,
2021/08/06,10:30:47,-0.6942,29.617,33.385,55.567,50443.234,1020.643,20.646,0.31,0.31,3.54,80.76,5.084,7.57,5.098,5.099,
2021/08/06,10:30:47,-0.6942,29.623,33.374,55.556,50427.692,1020.632,20.635,0.33,0.33,3.36,80.89,5.096,7.57,5.110,5.111,
2021/08/06,10:30:47,-0.6942,29.629,33.357,55.538,50405.254,1020.618,20.621,0.31,0.31,3.24,80.82,5.094,7.56,5.108,5.109,
2021/08/06,10:30:47,-0.7139,29.639,33.351,55.539,50395.995,1020.610,20.613,0.30,0.30,3.17,80.83,5.096,7.58,5.110,5.111,
2021/08/06,10:30:48,-0.6942,29.646,33.361,55.561,50408.406,1020.615,20.618,0.31,0.31,3.23,80.78,5.094,7.56,5.108,5.109,
2021/08/06,10:30:48,-0.7139,29.648,33.353,55.552,50397.916,1020.608,20.611,0.28,0.28,3.27,80.68,5.087,7.58,5.101,5.102,
2021/08/06,10:30:48,-0.7139,29.651,33.341,55.537,50381.950,1020.598,20.601,0.28,0.28,3.16,80.64,5.085,7.58,5.099,5.100,
2021/08/06,10:30:48,-0.7139,29.656,33.353,55.560,50397.185,1020.605,20.608,0.28,0.28,3.10,80.63,5.083,7.58,5.097,5.098,
2021/08/06,10:30:48,-0.7139,29.650,33.367,55.574,50416.598,1020.618,20.621,0.30,0.30,3.24,80.69,5.085,7.60,5.099,5.100,
2021/08/06,10:30:48,-0.7139,29.646,33.379,55.588,50433.520,1020.629,20.632,0.30,0.30,3.50,80.60,5.078,7.59,5.092,5.092,
2021/08/06,10:30:48,-0.7139,29.655,33.385,55.605,50439.777,1020.629,20.633,0.31,0.31,3.54,80.55,5.073,7.59,5.087,5.088,
2021/08/06,10:30:48,-0.7139,29.654,33.384,55.603,50438.478,1020.629,20.632,0.30,0.30,3.54,80.47,5.067,7.61,5.081,5.082,
2021/08/06,10:30:48,-0.6942,29.642,33.404,55.620,50466.534,1020.648,20.651,0.31,0.31,3.40,80.44,5.063,7.61,5.077,5.078,
2021/08/06,10:30:48,-0.7139,29.639,33.395,55.604,50454.303,1020.642,20.645,0.31,0.31,3.39,80.31,5.056,7.60,5.070,5.071,
2021/08/06,10:30:49,-0.6942,29.621,33.406,55.601,50470.760,1020.657,20.660,0.28,0.28,3.63,80.32,5.057,7.60,5.071,5.072,
2021/08/06,10:30:49,-0.6942,29.599,33.437,55.626,50514.780,1020.688,20.691,0.29,0.29,3.69,80.22,5.049,7.61,5.063,5.064,
2021/08/06,10:30:49,-0.6942,29.589,33.444,55.625,50524.697,1020.696,20.699,0.29,0.29,3.30,80.21,5.048,7.61,5.062,5.062,
2021/08/06,10:30:49,-0.6942,29.583,33.440,55.614,50519.891,1020.695,20.698,0.29,0.29,3.40,80.07,5.038,7.61,5.052,5.053,
2021/08/06,10:30:49,-0.7139,29.580,33.446,55.619,50527.972,1020.701,20.704,0.28,0.28,3.94,80.06,5.040,7.62,5.054,5.055,
2021/08/06,10:30:49,-0.6942,29.575,33.455,55.628,50541.000,1020.709,20.712,0.27,0.27,4.24,79.97,5.036,7.61,5.050,5.051,
2021/08/06,10:30:49,-0.7139,29.574,33.459,55.632,50545.301,1020.712,20.715,0.28,0.28,4.38,80.07,5.043,7.62,5.057,5.058,
2021/08/06,10:30:49,-0.7139,29.580,33.462,55.643,50548.968,1020.712,20.715,0.29,0.29,4.63,79.97,5.036,7.61,5.050,5.051,
2021/08/06,10:30:49,-0.6942,29.580,33.471,55.656,50560.968,1020.719,20.722,0.29,0.29,4.87,79.89,5.031,7.61,5.044,5.045,
2021/08/06,10:30:49,-0.6942,29.584,33.469,55.658,50559.172,1020.717,20.720,0.28,0.28,5.43,79.89,5.030,7.61,5.044,5.044,
2021/08/06,10:30:50,-0.6942,29.597,33.464,55.663,50550.873,1020.709,20.712,0.28,0.28,6.10,79.83,5.026,7.61,5.040,5.040,
2021/08/06,10:30:50,-0.6942,29.614,33.456,55.668,50538.194,1020.696,20.699,0.29,0.29,6.34,79.76,5.021,7.61,5.035,5.036,
2021/08/06,10:30:50,-0.6942,29.628,33.447,55.671,50526.246,1020.686,20.689,0.31,0.31,5.45,79.80,5.024,7.62,5.038,5.038,
2021/08/06,10:30:50,-0.7139,29.642,33.438,55.671,50512.532,1020.674,20.677,0.31,0.31,4.28,79.73,5.019,7.61,5.033,5.034,
2021/08/06,10:30:50,-0.6942,29.653,33.436,55.679,50508.501,1020.668,20.671,0.31,0.31,3.71,79.57,5.009,7.61,5.023,5.024,
2021/08/06,10:30:50,-0.6942,29.658,33.437,55.686,50509.770,1020.668,20.670,0.31,0.31,3.77,79.51,5.005,7.62,5.019,5.020,
2021/08/06,10:30:50,-0.6942,29.660,33.439,55.690,50512.286,1020.669,20.672,0.30,0.30,4.00,79.54,5.008,7.61,5.022,5.022,
2021/08/06,10:30:50,-0.6942,29.666,33.426,55.678,50494.867,1020.657,20.660,0.31,0.31,3.87,79.48,5.005,7.61,5.019,5.019,
2021/08/06,10:30:50,-0.6942,29.685,33.403,55.663,50461.833,1020.633,20.636,0.30,0.30,3.81,79.45,5.004,7.63,5.017,5.018,
2021/08/06,10:30:50,-0.6942,29.696,33.403,55.674,50461.133,1020.629,20.632,0.29,0.29,3.70,79.32,4.996,7.62,5.010,5.011,
2021/08/06,10:30:51,-0.6942,29.698,33.416,55.696,50478.374,1020.638,20.641,0.30,0.30,3.66,79.30,4.995,7.64,5.009,5.009,
2021/08/06,10:30:51,-0.6942,29.701,33.396,55.670,50452.058,1020.623,20.626,0.31,0.31,3.76,79.34,4.999,7.61,5.013,5.014,
2021/08/06,10:30:51,-0.6746,29.702,33.408,55.689,50468.095,1020.631,20.634,0.31,0.31,4.00,79.30,4.997,7.62,5.011,5.011,
2021/08/06,10:30:51,-0.6942,29.701,33.420,55.706,50483.933,1020.640,20.643,0.31,0.31,4.11,79.23,4.992,7.61,5.006,5.006,
2021/08/06,10:30:51,-0.6942,29.698,33.410,55.688,50471.165,1020.634,20.637,0.31,0.31,3.89,79.20,4.991,7.62,5.004,5.005,
2021/08/06,10:30:51,-0.6942,29.697,33.433,55.719,50501.051,1020.651,20.654,0.31,0.31,3.70,79.20,4.989,7.64,5.003,5.004,
2021/08/06,10:30:51,-0.6942,29.700,33.432,55.721,50499.769,1020.650,20.653,0.29,0.29,3.52,79.13,4.985,7.62,4.999,5.000,
2021/08/06,10:30:51,-0.6942,29.719,33.424,55.729,50487.098,1020.637,20.640,0.30,0.30,3.40,79.04,4.979,7.63,4.993,4.994,
2021/08/06,10:30:51,-0.6942,29.732,33.417,55.732,50477.456,1020.628,20.631,0.30,0.30,3.33,78.99,4.977,7.62,4.990,4.991,
2021/08/06,10:30:51,-0.6942,29.737,33.416,55.736,50475.318,1020.625,20.628,0.29,0.29,3.32,78.96,4.974,7.62,4.988,4.989,
2021/08/06,10:30:52,-0.6942,29.739,33.406,55.723,50462.010,1020.617,20.620,0.28,0.28,3.24,78.93,4.972,7.63,4.986,4.986,
2021/08/06,10:30:52,-0.6942,29.730,33.414,55.726,50473.464,1020.626,20.629,0.28,0.28,3.32,78.93,4.971,7.63,4.985,4.986,
2021/08/06,10:30:52,-0.6942,29.719,33.431,55.739,50496.574,1020.642,20.645,0.26,0.26,3.43,78.91,4.969,7.61,4.983,4.983,
2021/08/06,10:30:52,-0.6942,29.709,33.434,55.734,50502.035,1020.648,20.651,0.28,0.28,3.52,78.87,4.965,7.63,4.979,4.980,
2021/08/06,10:30:52,-0.6942,29.709,33.435,55.735,50503.080,1020.649,20.652,0.29,0.29,3.63,78.77,4.958,7.62,4.972,4.972,
2021/08/06,10:30:52,-0.6942,29.743,33.423,55.752,50484.713,1020.629,20.632,0.29,0.29,3.60,78.76,4.957,7.62,4.971,4.971,
2021/08/06,10:30:52,-0.6942,29.768,33.404,55.750,50456.969,1020.606,20.609,0.30,0.30,3.53,78.73,4.957,7.64,4.971,4.971,
2021/08/06,10:30:52,-0.6942,29.768,33.394,55.735,50443.487,1020.598,20.601,0.28,0.28,3.57,78.81,4.963,7.61,4.977,4.977,
2021/08/06,10:30:52,-0.6746,29.766,33.412,55.759,50467.622,1020.612,20.615,0.30,0.30,3.43,78.76,4.959,7.63,4.973,4.974,
2021/08/06,10:30:52,-0.6942,29.761,33.406,55.746,50460.613,1020.610,20.613,0.28,0.28,3.39,78.82,4.963,7.63,4.977,4.978,
2021/08/06,10:30:53,-0.6942,29.755,33.423,55.764,50483.070,1020.624,20.627,0.30,0.30,3.36,78.80,4.962,7.61,4.975,4.976,
2021/08/06,10:30:53,-0.6942,29.759,33.424,55.770,50484.813,1020.624,20.627,0.30,0.30,3.33,78.80,4.961,7.61,4.974,4.975,
2021/08/06,10:30:53,-0.6942,29.762,33.424,55.773,50484.326,1020.623,20.626,0.30,0.30,3.42,78.74,4.957,7.63,4.971,4.972,
