//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=220       
StartTime=2021/08/06 10:22:38
EndTime=2021/08/06 10:22:59
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/06,10:22:38,-0.7139,29.991,30.941,52.288,47114.799,1018.687,18.690,0.38,0.38,2.96,88.60,5.622,7.46,5.638,5.638,
2021/08/06,10:22:38,-0.7531,30.019,30.933,52.302,47101.544,1018.671,18.674,0.37,0.37,2.80,88.41,5.606,7.48,5.622,5.622,
2021/08/06,10:22:38,-0.7531,30.046,30.935,52.332,47103.098,1018.663,18.667,0.35,0.35,2.87,88.10,5.583,7.50,5.598,5.598,
2021/08/06,10:22:38,-0.7531,30.068,30.930,52.345,47094.532,1018.652,18.655,0.35,0.35,3.06,87.90,5.567,7.50,5.582,5.583,
2021/08/06,10:22:38,-0.7531,30.081,30.907,52.323,47062.780,1018.631,18.634,0.38,0.38,2.63,87.87,5.565,7.50,5.580,5.581,
2021/08/06,10:22:38,-0.7335,30.084,30.899,52.314,47051.743,1018.624,18.627,0.38,0.38,2.59,87.72,5.554,7.50,5.570,5.570,
2021/08/06,10:22:38,-0.7531,30.072,30.905,52.313,47060.989,1018.632,18.636,0.36,0.36,2.70,87.56,5.539,7.50,5.554,5.555,
2021/08/06,10:22:38,-0.7531,30.083,30.908,52.327,47064.409,1018.631,18.634,0.38,0.38,2.72,87.42,5.525,7.51,5.540,5.541,
2021/08/06,10:22:38,-0.7531,30.064,30.874,52.258,47019.410,1018.612,18.615,0.38,0.38,2.80,87.40,5.532,7.53,5.547,5.548,
2021/08/06,10:22:38,-0.7335,30.014,30.885,52.227,47037.967,1018.637,18.640,0.35,0.35,2.93,87.39,5.538,7.53,5.553,5.554,
2021/08/06,10:22:39,-0.7335,29.998,30.907,52.245,47068.944,1018.659,18.662,0.36,0.36,2.82,87.20,5.529,7.54,5.544,5.545,
2021/08/06,10:22:39,-0.7335,30.022,30.892,52.244,47046.095,1018.639,18.643,0.37,0.37,2.77,87.09,5.524,7.54,5.539,5.540,
2021/08/06,10:22:39,-0.7531,30.037,30.842,52.182,46976.875,1018.597,18.600,0.38,0.38,2.73,87.11,5.528,7.54,5.543,5.543,
2021/08/06,10:22:39,-0.7531,30.052,30.833,52.185,46964.749,1018.585,18.589,0.38,0.38,2.83,87.02,5.520,7.54,5.536,5.536,
2021/08/06,10:22:39,-0.7335,30.059,30.778,52.108,46889.376,1018.542,18.545,0.35,0.35,2.93,86.85,5.501,7.57,5.517,5.517,
2021/08/06,10:22:39,-0.7139,30.033,30.759,52.053,46864.461,1018.536,18.539,0.35,0.35,2.87,86.69,5.483,7.57,5.498,5.498,
