//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=200       
StartTime=2021/08/06 13:24:45
EndTime=2021/08/06 13:25:04
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/06,13:24:45,-0.5568,29.627,33.807,56.201,51008.801,1020.956,20.959,0.08,0.08,0.77,107.70,6.762,7.45,6.781,6.782,
2021/08/06,13:24:45,-0.5961,29.633,33.795,56.189,50991.817,1020.945,20.947,0.08,0.08,0.82,108.22,6.793,7.47,6.812,6.813,
2021/08/06,13:24:45,-0.5764,29.623,33.815,56.209,51020.104,1020.964,20.966,0.08,0.08,0.74,108.87,6.834,7.49,6.852,6.853,
2021/08/06,13:24:45,-0.5764,29.613,33.758,56.114,50943.842,1020.924,20.926,0.08,0.08,0.75,109.28,6.862,7.50,6.881,6.881,
2021/08/06,13:24:45,-0.5764,29.625,33.743,56.105,50923.430,1020.909,20.911,0.08,0.08,0.82,109.61,6.883,7.49,6.902,6.903,
2021/08/06,13:24:45,-0.5764,29.622,33.778,56.153,50969.842,1020.936,20.938,0.10,0.10,0.77,110.11,6.914,7.50,6.933,6.934,
2021/08/06,13:24:45,-0.5961,29.629,33.720,56.075,50892.380,1020.890,20.893,0.09,0.09,0.70,110.63,6.949,7.49,6.968,6.969,
2021/08/06,13:24:45,-0.5961,29.666,33.686,56.062,50843.051,1020.852,20.854,0.09,0.09,0.61,110.91,6.969,7.51,6.988,6.989,
2021/08/06,13:24:45,-0.5961,29.685,33.725,56.140,50893.826,1020.874,20.877,0.09,0.09,0.61,111.23,6.988,7.52,7.007,7.008,
2021/08/06,13:24:45,-0.5961,29.682,33.770,56.204,50955.238,1020.910,20.912,0.08,0.08,0.63,111.94,7.030,7.51,7.049,7.050,
2021/08/06,13:24:46,-0.5961,29.670,33.737,56.143,50912.104,1020.889,20.892,0.08,0.08,0.63,112.44,7.065,7.53,7.084,7.085,
2021/08/06,13:24:46,-0.5764,29.660,33.756,56.159,50937.226,1020.906,20.909,0.08,0.08,0.61,112.97,7.102,7.54,7.122,7.123,
2021/08/06,13:24:46,-0.5961,29.675,33.732,56.139,50904.323,1020.884,20.886,0.09,0.09,0.61,113.57,7.140,7.54,7.160,7.161,
2021/08/06,13:24:46,-0.5764,29.670,33.737,56.143,50912.174,1020.889,20.892,0.08,0.08,0.61,114.16,7.180,7.55,7.199,7.200,
2021/08/06,13:24:46,-0.5764,29.670,33.738,56.145,50913.478,1020.890,20.892,0.08,0.08,0.61,114.59,7.208,7.55,7.228,7.229,
2021/08/06,13:24:46,-0.5764,29.654,33.750,56.145,50929.733,1020.904,20.906,0.08,0.08,0.63,115.13,7.241,7.55,7.261,7.262,
2021/08/06,13:24:46,-0.5764,29.621,33.775,56.148,50966.436,1020.934,20.936,0.08,0.08,0.63,115.65,7.271,7.55,7.291,7.292,
2021/08/06,13:24:46,-0.5764,29.616,33.767,56.130,50955.717,1020.930,20.932,0.08,0.08,0.67,116.07,7.296,7.56,7.316,7.317,
2021/08/06,13:24:46,-0.5764,29.620,33.764,56.130,50951.263,1020.926,20.928,0.08,0.08,0.65,116.45,7.317,7.56,7.337,7.339,
2021/08/06,13:24:46,-0.5764,29.648,33.744,56.129,50922.084,1020.901,20.904,0.08,0.08,0.63,117.05,7.355,7.57,7.376,7.377,
2021/08/06,13:24:47,-0.5764,29.663,33.752,56.156,50931.845,1020.902,20.905,0.09,0.09,0.61,117.69,7.398,7.57,7.418,7.419,
2021/08/06,13:24:47,-0.5961,29.674,33.749,56.164,50927.618,1020.897,20.899,0.10,0.10,0.63,118.11,7.427,7.57,7.447,7.449,
2021/08/06,13:24:47,-0.5764,29.681,33.738,56.155,50912.584,1020.886,20.889,0.08,0.08,0.58,118.35,7.445,7.58,7.466,7.467,
2021/08/06,13:24:47,-0.5961,29.671,33.733,56.138,50906.675,1020.886,20.888,0.08,0.08,0.60,118.76,7.472,7.57,7.493,7.494,
2021/08/06,13:24:47,-0.5764,29.653,33.742,56.132,50919.582,1020.898,20.901,0.08,0.08,0.63,118.86,7.478,7.57,7.498,7.499,
2021/08/06,13:24:47,-0.5764,29.645,33.760,56.150,50943.701,1020.914,20.917,0.08,0.08,0.63,118.90,7.479,7.58,7.500,7.501,
2021/08/06,13:24:47,-0.5764,29.633,33.777,56.163,50967.438,1020.931,20.934,0.08,0.08,0.65,119.27,7.502,7.58,7.523,7.524,
2021/08/06,13:24:47,-0.5764,29.628,33.786,56.172,50981.110,1020.940,20.943,0.09,0.09,0.77,119.60,7.522,7.58,7.542,7.543,
