"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/06","13:24:45",NA,29.633,33.795,56.189,50991.817,1020.945,20.947,0.08,0.08,NA,NA,NA,NA,NA,NA
"2","2021/08/06","13:24:45",-0.5764,29.623,33.815,56.209,51020.104,1020.964,20.966,0.08,0.08,0.74,NA,NA,NA,NA,NA
"3","2021/08/06","13:24:45",-0.5764,29.613,33.758,56.114,50943.842,1020.924,20.926,0.08,0.08,NA,NA,NA,NA,NA,NA
"4","2021/08/06","13:24:45",-0.5764,29.625,33.743,56.105,50923.43,1020.909,20.911,0.08,0.08,NA,NA,NA,NA,NA,NA
"5","2021/08/06","13:24:45",-0.5764,29.622,33.778,56.153,50969.842,1020.936,20.938,0.1,0.1,NA,NA,NA,NA,NA,NA
"6","2021/08/06","13:24:45",NA,29.629,33.72,56.075,50892.38,1020.89,20.893,0.09,0.09,0.7,NA,NA,NA,NA,NA
"7","2021/08/06","13:24:45",NA,29.666,33.686,NA,50843.051,1020.852,20.854,0.09,0.09,0.61,NA,NA,NA,NA,NA
"8","2021/08/06","13:24:45",NA,29.685,33.725,56.14,50893.826,1020.874,20.877,0.09,0.09,0.61,NA,NA,NA,NA,NA
"9","2021/08/06","13:24:45",NA,29.682,33.77,56.204,50955.238,1020.91,20.912,0.08,0.08,0.63,NA,NA,NA,NA,NA
"10","2021/08/06","13:24:46",NA,29.67,33.737,56.143,50912.104,1020.889,20.892,0.08,0.08,0.63,NA,NA,NA,NA,NA
"11","2021/08/06","13:24:46",-0.5764,29.66,33.756,56.159,50937.226,1020.906,20.909,0.08,0.08,0.61,NA,NA,NA,NA,NA
"12","2021/08/06","13:24:46",NA,29.675,33.732,56.139,50904.323,1020.884,20.886,0.09,0.09,0.61,NA,NA,NA,NA,NA
"13","2021/08/06","13:24:46",-0.5764,29.67,33.737,56.143,50912.174,1020.889,20.892,0.08,0.08,0.61,NA,NA,NA,NA,NA
"14","2021/08/06","13:24:46",-0.5764,29.67,33.738,56.145,50913.478,1020.89,20.892,0.08,0.08,0.61,114.59,7.208,NA,7.228,7.229
"15","2021/08/06","13:24:46",-0.5764,29.654,33.75,56.145,50929.733,1020.904,20.906,0.08,0.08,0.63,115.13,7.241,NA,7.261,7.262
"16","2021/08/06","13:24:46",-0.5764,29.621,33.775,56.148,50966.436,1020.934,20.936,0.08,0.08,0.63,115.65,7.271,NA,7.291,7.292
"17","2021/08/06","13:24:46",-0.5764,29.616,33.767,56.13,50955.717,1020.93,20.932,0.08,0.08,0.67,116.07,7.296,NA,7.316,7.317
"18","2021/08/06","13:24:46",-0.5764,29.62,33.764,56.13,50951.263,1020.926,20.928,0.08,0.08,0.65,116.45,7.317,NA,7.337,7.339
"19","2021/08/06","13:24:46",-0.5764,29.648,33.744,56.129,50922.084,1020.901,20.904,0.08,0.08,0.63,117.05,7.355,NA,7.376,7.377
"20","2021/08/06","13:24:47",-0.5764,29.663,33.752,56.156,50931.845,1020.902,20.905,0.09,0.09,0.61,117.69,7.398,NA,7.418,7.419
"21","2021/08/06","13:24:47",NA,29.674,33.749,56.164,50927.618,1020.897,20.899,0.1,0.1,0.63,118.11,7.427,NA,7.447,7.449
"22","2021/08/06","13:24:47",-0.5764,29.681,33.738,56.155,50912.584,1020.886,20.889,0.08,0.08,0.58,118.35,7.445,NA,7.466,7.467
"23","2021/08/06","13:24:47",NA,29.671,33.733,56.138,50906.675,1020.886,20.888,0.08,0.08,0.6,118.76,7.472,NA,7.493,7.494
"24","2021/08/06","13:24:47",-0.5764,29.653,33.742,56.132,50919.582,1020.898,20.901,0.08,0.08,0.63,118.86,7.478,NA,7.498,7.499
"25","2021/08/06","13:24:47",-0.5764,29.645,33.76,56.15,50943.701,1020.914,20.917,0.08,0.08,0.63,118.9,7.479,NA,7.5,7.501
"26","2021/08/06","13:24:47",-0.5764,29.633,33.777,56.163,50967.438,1020.931,20.934,0.08,0.08,0.65,119.27,7.502,NA,7.523,7.524
"27","2021/08/06","13:24:47",-0.5764,29.628,33.786,56.172,50981.11,1020.94,20.943,0.09,0.09,NA,119.6,7.522,NA,7.542,7.543
"28","2021/08/06","13:24:47",-0.5764,29.623,33.795,56.18,50993.051,1020.948,20.951,0.08,0.08,0.68,119.81,7.535,NA,7.555,7.556
"29","2021/08/06","13:24:47",-0.5764,29.619,33.822,56.214,51028.903,1020.97,20.972,0.08,0.08,0.65,119.99,7.545,NA,7.566,7.567
"30","2021/08/06","13:24:48",NA,29.622,33.819,56.214,51025.61,1020.967,20.969,0.09,0.09,0.65,120.22,7.559,NA,7.58,7.581
"31","2021/08/06","13:24:48",-0.5764,29.621,33.815,56.206,51019.612,1020.964,20.966,0.1,0.1,0.64,120.4,7.57,7.6,7.591,7.592
"32","2021/08/06","13:24:48",-0.5764,29.624,33.814,56.208,51018.56,1020.963,20.965,0.09,0.09,0.6,120.61,7.582,NA,7.603,7.604
"33","2021/08/06","13:24:48",-0.5764,29.648,33.796,56.206,50991.966,1020.94,20.943,0.07,0.07,0.55,120.91,7.602,NA,7.622,7.624
"34","2021/08/06","13:24:48",-0.5764,29.68,33.782,56.219,50970.891,1020.919,20.922,0.08,0.08,0.58,121.15,7.616,NA,7.637,7.638
"35","2021/08/06","13:24:48",-0.5764,29.695,33.776,56.226,50961.947,1020.91,20.912,0.09,0.09,0.61,121.15,7.616,NA,7.637,7.638
"36","2021/08/06","13:24:48",-0.5764,29.695,33.777,56.227,50963.057,1020.911,20.913,0.09,0.09,0.61,121.37,7.629,7.6,7.65,7.651
"37","2021/08/06","13:24:48",-0.5764,29.695,33.781,56.233,50968.414,1020.914,20.916,0.09,0.09,0.63,121.4,7.629,NA,7.65,7.651
"38","2021/08/06","13:24:48",-0.5764,29.693,33.792,56.248,50983.696,1020.923,20.925,0.08,0.08,0.67,121.49,7.631,7.61,7.652,7.653
"39","2021/08/06","13:24:48",-0.5764,29.691,33.799,56.256,50992.802,1020.928,20.931,0.08,0.08,0.67,121.52,7.63,NA,7.651,7.652
"40","2021/08/06","13:24:49",-0.5764,29.695,33.792,56.25,50983.358,1020.922,20.924,0.08,0.08,0.63,121.87,7.651,7.61,7.672,7.673
"41","2021/08/06","13:24:49",-0.5764,29.7,33.787,56.247,50975.932,1020.916,20.919,0.09,0.09,0.63,122.2,7.673,7.6,7.694,7.695
"42","2021/08/06","13:24:49",-0.5764,29.701,33.791,56.253,50981.13,1020.919,20.921,0.09,0.09,0.6,122.19,7.672,7.6,7.693,7.694
"43","2021/08/06","13:24:49",-0.5764,29.698,33.798,56.262,50991.281,1020.925,20.928,0.07,0.07,0.61,122.34,7.682,7.6,7.703,7.704
"44","2021/08/06","13:24:49",-0.5764,29.714,33.795,56.273,50985.675,1020.918,20.92,0.08,0.08,0.61,122.75,7.71,7.61,7.731,7.732
"45","2021/08/06","13:24:49",-0.5764,29.724,33.79,56.277,50978.866,1020.911,20.913,0.08,0.08,0.61,122.95,7.724,7.61,7.746,7.747
"46","2021/08/06","13:24:49",-0.5764,29.726,33.792,56.281,50981.213,1020.912,20.914,0.08,0.08,0.63,123.06,7.732,7.61,7.754,7.755
"47","2021/08/06","13:24:49",-0.5764,29.731,33.792,56.287,50981.08,1020.91,20.912,0.06,0.06,0.61,123.1,7.735,7.6,7.756,7.757
"48","2021/08/06","13:24:49",-0.5764,29.736,33.792,56.292,50979.747,1020.908,20.91,0.05,0.05,0.6,123.11,7.736,7.62,7.757,7.758
"49","2021/08/06","13:24:49",-0.5764,29.739,33.793,56.296,50980.61,1020.907,20.91,0.08,0.08,0.61,123.26,7.745,7.61,7.766,7.767
"50","2021/08/06","13:24:50",-0.5764,29.74,33.794,56.3,50982.531,1020.908,20.91,0.08,0.08,0.61,123.44,7.754,7.61,7.776,7.777
"51","2021/08/06","13:24:50",-0.5764,29.749,33.791,56.304,50977.52,1020.903,20.905,0.08,0.08,0.61,123.74,7.772,7.62,7.794,7.795
"52","2021/08/06","13:24:50",-0.5764,29.753,33.787,56.302,50971.697,1020.898,20.901,0.08,0.08,0.6,123.8,7.776,7.61,7.798,7.799
"53","2021/08/06","13:24:50",-0.5764,29.751,33.79,56.304,50976.204,1020.901,20.904,0.08,0.08,0.6,123.84,7.778,7.61,7.8,7.801
"54","2021/08/06","13:24:50",-0.5764,29.75,33.795,56.311,50982.951,1020.905,20.908,0.08,0.08,0.64,123.97,7.785,7.61,7.806,7.807
"55","2021/08/06","13:24:50",-0.5764,29.744,33.797,56.308,50986.768,1020.909,20.912,0.07,0.07,0.64,124.25,7.802,7.62,7.823,7.824
"56","2021/08/06","13:24:50",-0.5764,29.743,33.796,56.305,50985.173,1020.909,20.911,0.07,0.07,0.65,124.37,7.808,7.61,7.83,7.831
"57","2021/08/06","13:24:50",-0.5764,29.725,33.814,56.312,51009.976,1020.928,20.93,0.07,0.07,0.65,124.37,7.808,7.62,7.829,7.83
"58","2021/08/06","13:24:50",-0.5764,29.723,33.823,56.325,51022.823,1020.936,20.938,0.08,0.08,0.64,124.38,7.808,7.62,7.829,7.83
"59","2021/08/06","13:24:50",-0.5764,29.734,33.818,56.329,51015.367,1020.928,20.931,0.1,0.1,0.58,124.65,7.827,7.61,7.849,7.85
"60","2021/08/06","13:24:51",-0.5764,29.753,33.804,56.327,50994.922,1020.911,20.914,0.09,0.09,0.6,124.78,7.839,NA,7.861,7.862
"61","2021/08/06","13:24:51",-0.5764,29.761,33.788,56.312,50973.339,1020.897,20.899,0.09,0.09,0.61,125.23,7.869,7.61,7.891,7.892
"62","2021/08/06","13:24:51",-0.5764,29.743,33.792,56.299,50979.697,1020.906,20.908,0.08,0.08,0.65,125.28,7.871,7.61,7.892,7.894
"63","2021/08/06","13:24:51",-0.5764,29.746,33.79,56.3,50977.352,1020.903,20.906,0.06,0.06,0.63,125.17,7.863,7.61,7.885,7.886
"64","2021/08/06","13:24:51",-0.5764,29.753,33.788,56.303,50972.967,1020.899,20.901,0.07,0.07,0.63,125.63,7.892,7.61,7.914,7.915
"65","2021/08/06","13:24:51",-0.5764,29.756,33.774,56.285,50954.336,1020.888,20.89,0.07,0.07,0.64,125.79,7.904,7.61,7.926,7.927
"66","2021/08/06","13:24:51",-0.5764,29.756,33.762,56.269,50938.756,1020.879,20.881,0.06,0.06,0.57,125.86,7.909,7.62,7.931,7.932
"67","2021/08/06","13:24:51",NA,29.766,33.741,56.248,50909.365,1020.86,20.862,0.08,0.08,0.57,126.1,7.926,7.61,7.948,7.949
"68","2021/08/06","13:24:51",NA,29.763,33.739,56.241,50906.436,1020.859,20.861,0.08,0.08,0.55,126.32,7.94,7.62,7.962,7.963
"69","2021/08/06","13:24:51",-0.5764,29.76,33.747,56.25,50918.074,1020.866,20.869,0.08,0.08,0.58,126.43,7.945,7.61,7.966,7.968
"70","2021/08/06","13:24:52",-0.5764,29.753,33.75,56.248,50923.177,1020.871,20.874,0.07,0.07,0.61,126.38,7.94,7.62,7.962,7.963
"71","2021/08/06","13:24:52",-0.5764,29.754,33.739,56.232,50907.739,1020.862,20.865,0.08,0.08,0.6,126.47,7.944,7.62,7.966,7.967
"72","2021/08/06","13:24:52",-0.5764,29.762,33.731,56.229,50896.448,1020.853,20.856,0.08,0.08,0.55,126.39,7.938,7.61,7.959,7.961
"73","2021/08/06","13:24:52",-0.5764,29.763,33.734,56.234,50900.929,1020.856,20.858,0.07,0.07,0.54,126.54,7.947,7.61,7.969,7.97
"74","2021/08/06","13:24:52",NA,29.744,33.744,56.228,50914.775,1020.869,20.872,0.08,0.08,0.6,126.76,7.961,7.61,7.983,7.984
"75","2021/08/06","13:24:52",NA,29.721,33.753,56.218,50928.802,1020.884,20.886,0.07,0.07,0.57,126.8,7.964,7.62,7.986,7.987
"76","2021/08/06","13:24:52",-0.5764,29.69,33.76,56.197,50940.33,1020.899,20.902,0.07,0.07,0.6,126.71,7.958,7.63,7.98,7.981
"77","2021/08/06","13:24:52",-0.5764,29.669,33.766,56.183,50950.079,1020.911,20.913,0.08,0.08,0.6,126.8,7.965,7.62,7.987,7.988
"78","2021/08/06","13:24:52",NA,29.656,33.782,56.194,50973.181,1020.928,20.93,0.07,0.07,0.61,127.07,7.981,NA,8.003,8.004
"79","2021/08/06","13:24:52",-0.5764,29.65,33.797,56.209,50993.163,1020.941,20.943,0.08,0.08,0.6,127.1,7.982,7.62,8.004,8.005
"80","2021/08/06","13:24:53",NA,29.647,33.798,56.208,50994.582,1020.942,20.945,0.08,0.08,0.61,127.11,7.983,7.63,8.005,8.007
"81","2021/08/06","13:24:53",NA,29.642,33.79,56.192,50984.682,1020.938,20.941,0.08,0.08,0.58,127.29,7.996,7.62,8.018,8.019
"82","2021/08/06","13:24:53",-0.5764,29.638,33.793,56.193,50989.4,1020.942,20.944,0.07,0.07,0.55,127.43,8.005,7.62,8.027,8.028
"83","2021/08/06","13:24:53",-0.5764,29.638,33.802,56.206,51001.787,1020.949,20.951,0.07,0.07,0.57,127.58,8.014,7.61,8.036,8.037
"84","2021/08/06","13:24:53",-0.5764,29.647,33.801,56.213,50998.855,1020.945,20.947,0.08,0.08,0.58,127.65,8.019,7.62,8.041,8.042
"85","2021/08/06","13:24:53",NA,29.65,33.797,56.211,50994.121,1020.941,20.944,0.06,0.06,0.6,127.93,8.037,7.62,8.059,8.06
"86","2021/08/06","13:24:53",-0.5764,29.651,33.797,56.211,50993.36,1020.94,20.943,0.08,0.08,0.57,127.91,8.036,7.61,8.058,8.059
"87","2021/08/06","13:24:53",-0.5764,29.66,33.795,56.217,50989.69,1020.936,20.938,0.08,0.08,0.55,127.78,8.028,7.62,8.05,8.051
"88","2021/08/06","13:24:53",-0.5764,29.676,33.789,56.225,50981.137,1020.926,20.929,0.05,0.05,0.58,127.76,8.028,7.6,8.05,8.051
"89","2021/08/06","13:24:53",-0.5764,29.685,33.788,56.233,50978.5,1020.922,20.924,0.07,0.07,0.61,128.04,8.046,NA,8.068,8.069
"90","2021/08/06","13:24:54",-0.5764,29.691,33.787,56.238,50976.634,1020.919,20.922,0.07,0.07,0.64,128.15,8.052,7.61,8.074,8.075
"91","2021/08/06","13:24:54",-0.5764,29.694,33.787,56.241,50976.341,1020.918,20.921,0.07,0.07,0.65,128.07,8.045,7.62,8.068,8.069
"92","2021/08/06","13:24:54",-0.5764,29.698,33.791,56.25,50981.129,1020.92,20.922,0.08,0.08,0.65,127.68,8.02,7.62,8.042,8.043
"93","2021/08/06","13:24:54",-0.5764,29.7,33.791,56.254,50982.049,1020.919,20.922,0.08,0.08,0.68,127.87,8.031,7.61,8.053,8.054
"94","2021/08/06","13:24:54",-0.5764,29.707,33.791,56.26,50980.665,1020.917,20.919,0.08,0.08,0.67,128.29,8.057,7.61,8.079,8.08
"95","2021/08/06","13:24:54",NA,29.7,33.79,56.252,50980.734,1020.919,20.921,0.08,0.08,0.6,128.5,8.07,7.62,8.092,8.094
"96","2021/08/06","13:24:54",-0.5764,29.665,33.799,56.23,50995.673,1020.937,20.94,0.1,0.1,0.57,128.33,8.058,7.62,8.08,8.081
"97","2021/08/06","13:24:54",-0.5764,29.639,33.807,56.213,51007.749,1020.952,20.954,0.08,0.08,0.58,128.19,8.049,7.61,8.071,8.072
