//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2021/08/06 07:36:15
EndTime=2021/08/06 07:36:26
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/06,07:36:15,-0.7139,26.059,7.661,13.598,13288.540,1002.511,2.514,0.73,0.73,1.41,93.51,7.229,7.46,7.249,7.249,
2021/08/06,07:36:15,-0.7531,26.043,7.663,13.597,13292.252,1002.517,2.520,0.72,0.72,1.39,93.19,7.204,7.47,7.224,7.224,
2021/08/06,07:36:15,-0.7335,26.037,7.665,13.598,13294.485,1002.520,2.523,0.70,0.70,1.38,92.93,7.183,7.48,7.203,7.203,
2021/08/06,07:36:15,-0.7335,26.035,7.669,13.604,13301.432,1002.524,2.527,0.71,0.71,1.42,92.76,7.167,7.49,7.188,7.188,
2021/08/06,07:36:15,-0.7531,26.034,7.671,13.607,13303.803,1002.525,2.528,0.71,0.71,1.39,92.59,7.153,7.50,7.173,7.173,
2021/08/06,07:36:15,-0.7335,26.036,7.672,13.609,13306.296,1002.526,2.529,0.71,0.71,1.36,92.29,7.129,7.52,7.149,7.149,
2021/08/06,07:36:15,-0.7335,26.032,7.673,13.610,13307.527,1002.527,2.530,0.73,0.73,1.32,91.94,7.100,7.51,7.120,7.120,
2021/08/06,07:36:15,-0.7335,26.029,7.674,13.611,13309.325,1002.529,2.532,0.73,0.73,1.31,91.67,7.078,7.54,7.098,7.098,
2021/08/06,07:36:15,-0.7335,26.041,7.671,13.610,13304.905,1002.523,2.527,0.72,0.72,1.41,91.51,7.065,7.53,7.085,7.085,
2021/08/06,07:36:15,-0.7335,26.064,7.666,13.608,13296.623,1002.514,2.517,0.73,0.73,1.38,91.21,7.042,7.53,7.062,7.061,
2021/08/06,07:36:16,-0.7531,26.068,7.666,13.607,13295.121,1002.512,2.515,0.73,0.73,1.36,90.96,7.024,7.54,7.043,7.043,
2021/08/06,07:36:16,-0.7335,26.062,7.659,13.594,13283.889,1002.508,2.511,0.72,0.72,1.35,90.77,7.013,7.55,7.033,7.033,
2021/08/06,07:36:16,-0.7531,26.050,7.660,13.594,13287.238,1002.513,2.516,0.73,0.73,1.36,90.42,6.989,7.54,7.008,7.008,
2021/08/06,07:36:16,-0.7531,26.047,7.659,13.591,13284.691,1002.512,2.516,0.73,0.73,1.34,90.24,6.975,7.56,6.995,6.995,
2021/08/06,07:36:16,-0.7531,26.044,7.666,13.601,13295.791,1002.518,2.522,0.72,0.72,1.34,89.97,6.954,7.55,6.974,6.974,
2021/08/06,07:36:16,-0.7531,26.065,7.667,13.610,13298.113,1002.514,2.517,0.73,0.73,1.34,89.71,6.934,7.55,6.953,6.953,
2021/08/06,07:36:16,-0.7531,26.130,7.660,13.615,13284.796,1002.490,2.494,0.72,0.72,1.35,89.48,6.919,7.55,6.938,6.938,
2021/08/06,07:36:16,-0.7531,26.159,7.654,13.613,13274.470,1002.478,2.481,0.72,0.72,1.35,89.25,6.902,7.60,6.921,6.921,
2021/08/06,07:36:16,-0.7531,26.149,7.659,13.618,13282.174,1002.484,2.487,0.72,0.72,1.36,88.93,6.875,7.57,6.894,6.894,
2021/08/06,07:36:16,-0.7531,26.140,7.661,13.620,13286.904,1002.489,2.492,0.73,0.73,1.38,88.74,6.860,7.57,6.879,6.879,
2021/08/06,07:36:17,-0.7531,26.131,7.659,13.614,13283.864,1002.490,2.493,0.73,0.73,1.34,88.48,6.841,7.57,6.860,6.860,
2021/08/06,07:36:17,-0.7531,26.111,7.665,13.618,13292.835,1002.499,2.502,0.71,0.71,1.34,88.31,6.828,7.58,6.847,6.847,
2021/08/06,07:36:17,-0.7531,26.072,7.674,13.622,13307.762,1002.516,2.520,0.72,0.72,1.31,88.15,6.813,7.58,6.832,6.832,
2021/08/06,07:36:17,-0.7335,26.074,7.675,13.625,13310.481,1002.517,2.521,0.73,0.73,1.35,88.00,6.798,7.61,6.817,6.817,
2021/08/06,07:36:17,-0.7531,26.089,7.662,13.607,13288.724,1002.503,2.506,0.73,0.73,1.39,88.00,6.801,7.60,6.820,6.820,
2021/08/06,07:36:17,-0.7335,26.094,7.653,13.594,13274.848,1002.495,2.499,0.74,0.74,1.38,87.85,6.793,7.59,6.812,6.812,
2021/08/06,07:36:17,-0.7531,26.078,7.654,13.591,13276.209,1002.500,2.504,0.72,0.72,1.36,87.76,6.789,7.61,6.808,6.808,
2021/08/06,07:36:17,-0.7531,26.074,7.653,13.588,13274.153,1002.500,2.504,0.71,0.71,1.38,87.63,6.777,7.61,6.796,6.796,
2021/08/06,07:36:17,-0.7531,26.056,7.654,13.585,13276.474,1002.506,2.510,0.71,0.71,1.39,87.47,6.762,7.60,6.781,6.781,
2021/08/06,07:36:17,-0.7335,26.042,7.659,13.589,13284.678,1002.514,2.517,0.72,0.72,1.35,87.22,6.742,7.60,6.761,6.761,
2021/08/06,07:36:18,-0.7531,26.039,7.661,13.592,13287.997,1002.516,2.519,0.72,0.72,1.34,87.10,6.732,7.60,6.751,6.751,
2021/08/06,07:36:18,-0.7335,26.040,7.661,13.592,13287.859,1002.516,2.519,0.71,0.71,1.32,86.91,6.716,7.61,6.735,6.735,
2021/08/06,07:36:18,-0.7335,26.037,7.663,13.595,13291.384,1002.518,2.521,0.70,0.70,1.36,86.77,6.705,7.59,6.724,6.724,
2021/08/06,07:36:18,-0.7531,26.029,7.670,13.604,13302.987,1002.526,2.529,0.71,0.71,1.35,86.58,6.690,7.61,6.709,6.709,
2021/08/06,07:36:18,-0.7335,26.027,7.674,13.610,13309.043,1002.529,2.532,0.73,0.73,1.36,86.48,6.682,7.61,6.701,6.701,
2021/08/06,07:36:18,-0.7335,26.042,7.674,13.614,13308.881,1002.525,2.528,0.72,0.72,1.36,86.24,6.665,7.61,6.684,6.683,
2021/08/06,07:36:18,-0.7531,26.066,7.673,13.619,13307.251,1002.518,2.521,0.72,0.72,1.36,86.05,6.650,7.62,6.669,6.669,
2021/08/06,07:36:18,-0.7335,26.075,7.678,13.630,13315.017,1002.519,2.522,0.72,0.72,1.32,86.08,6.654,7.60,6.673,6.673,
2021/08/06,07:36:18,-0.7335,26.077,7.679,13.632,13316.837,1002.519,2.523,0.70,0.70,1.28,85.88,6.639,7.63,6.658,6.658,
2021/08/06,07:36:18,-0.7335,26.076,7.678,13.630,13314.927,1002.519,2.522,0.71,0.71,1.28,85.88,6.638,7.61,6.656,6.656,
2021/08/06,07:36:19,-0.7531,26.077,7.676,13.627,13312.141,1002.517,2.521,0.72,0.72,1.29,85.84,6.634,7.61,6.653,6.652,
2021/08/06,07:36:19,-0.7531,26.074,7.676,13.626,13311.818,1002.518,2.521,0.72,0.72,1.29,85.66,6.620,7.62,6.638,6.638,
2021/08/06,07:36:19,-0.7531,26.069,7.677,13.626,13312.728,1002.520,2.523,0.72,0.72,1.27,85.64,6.617,7.62,6.636,6.636,
2021/08/06,07:36:19,-0.7531,26.063,7.678,13.626,13315.177,1002.522,2.526,0.71,0.71,1.28,85.59,6.613,7.62,6.632,6.631,
2021/08/06,07:36:19,-0.7531,26.058,7.681,13.631,13320.851,1002.526,2.530,0.70,0.70,1.31,85.48,6.604,7.61,6.623,6.623,
2021/08/06,07:36:19,-0.7531,26.056,7.686,13.637,13327.727,1002.530,2.533,0.70,0.70,1.31,85.47,6.603,7.62,6.621,6.621,
2021/08/06,07:36:19,-0.7531,26.052,7.690,13.644,13335.253,1002.535,2.538,0.72,0.72,1.31,85.35,6.593,7.62,6.611,6.611,
2021/08/06,07:36:19,-0.7531,26.054,7.692,13.646,13337.174,1002.535,2.538,0.73,0.73,1.29,85.27,6.587,7.63,6.605,6.605,
2021/08/06,07:36:19,-0.7531,26.063,7.689,13.644,13332.695,1002.530,2.534,0.73,0.73,1.28,85.23,6.583,7.62,6.601,6.601,
2021/08/06,07:36:19,-0.7531,26.068,7.687,13.643,13330.040,1002.528,2.531,0.73,0.73,1.29,85.18,6.579,7.62,6.597,6.597,
2021/08/06,07:36:20,-0.7531,26.068,7.687,13.643,13329.463,1002.528,2.531,0.73,0.73,1.31,85.15,6.575,7.63,6.594,6.593,
2021/08/06,07:36:20,-0.7531,26.065,7.685,13.639,13326.606,1002.527,2.530,0.73,0.73,1.32,84.93,6.559,7.61,6.577,6.577,
2021/08/06,07:36:20,-0.7531,26.059,7.684,13.636,13325.520,1002.528,2.532,0.76,0.76,1.35,84.81,6.550,7.61,6.568,6.568,
2021/08/06,07:36:20,-0.7335,26.055,7.687,13.639,13329.334,1002.531,2.534,0.74,0.74,1.35,84.84,6.552,7.62,6.571,6.571,
2021/08/06,07:36:20,-0.7531,26.054,7.689,13.642,13333.159,1002.533,2.537,0.73,0.73,1.35,84.77,6.547,7.63,6.565,6.565,
2021/08/06,07:36:20,-0.7531,26.059,7.690,13.644,13333.831,1002.532,2.536,0.73,0.73,1.29,84.83,6.552,7.62,6.571,6.571,
2021/08/06,07:36:20,-0.7531,26.061,7.682,13.632,13321.669,1002.526,2.529,0.72,0.72,1.29,84.70,6.545,7.63,6.564,6.563,
2021/08/06,07:36:20,-0.7531,26.066,7.680,13.631,13318.468,1002.523,2.526,0.72,0.72,1.31,84.65,6.541,7.63,6.559,6.559,
2021/08/06,07:36:20,-0.7531,26.075,7.679,13.631,13315.849,1002.519,2.523,0.73,0.73,1.29,84.66,6.540,7.62,6.559,6.558,
2021/08/06,07:36:20,-0.7531,26.075,7.677,13.629,13313.995,1002.519,2.522,0.73,0.73,1.27,84.58,6.534,7.61,6.552,6.552,
2021/08/06,07:36:21,-0.7531,26.069,7.678,13.628,13314.461,1002.520,2.524,0.73,0.73,1.28,84.60,6.536,7.62,6.555,6.555,
2021/08/06,07:36:21,-0.7531,26.058,7.675,13.621,13311.067,1002.522,2.525,0.73,0.73,1.27,84.54,6.533,7.62,6.552,6.552,
2021/08/06,07:36:21,-0.7531,26.044,7.671,13.610,13304.861,1002.523,2.526,0.71,0.71,1.27,84.50,6.531,7.64,6.550,6.550,
2021/08/06,07:36:21,-0.7531,26.033,7.669,13.603,13301.065,1002.524,2.527,0.72,0.72,1.25,84.59,6.539,7.61,6.557,6.557,
2021/08/06,07:36:21,-0.7727,26.029,7.663,13.592,13291.096,1002.520,2.524,0.71,0.71,1.25,84.49,6.532,7.63,6.550,6.550,
2021/08/06,07:36:21,-0.7531,26.034,7.658,13.586,13283.743,1002.515,2.519,0.72,0.72,1.27,84.41,6.526,7.63,6.544,6.544,
2021/08/06,07:36:21,-0.7531,26.046,7.654,13.583,13277.778,1002.509,2.513,0.75,0.75,1.29,84.33,6.520,7.61,6.538,6.538,
2021/08/06,07:36:21,-0.7531,26.059,7.649,13.577,13267.964,1002.501,2.505,0.73,0.73,1.28,84.27,6.515,7.63,6.533,6.533,
2021/08/06,07:36:21,-0.7531,26.063,7.645,13.573,13262.877,1002.498,2.501,0.73,0.73,1.28,84.28,6.514,7.62,6.533,6.533,
2021/08/06,07:36:21,-0.7531,26.057,7.647,13.573,13265.096,1002.501,2.504,0.73,0.73,1.28,84.20,6.508,7.63,6.526,6.526,
2021/08/06,07:36:22,-0.7727,26.047,7.649,13.575,13269.197,1002.505,2.509,0.72,0.72,1.31,84.14,6.503,7.63,6.521,6.521,
2021/08/06,07:36:22,-0.7531,26.041,7.651,13.576,13271.969,1002.508,2.511,0.71,0.71,1.29,84.25,6.511,7.62,6.529,6.529,
2021/08/06,07:36:22,-0.7727,26.036,7.652,13.577,13274.553,1002.510,2.514,0.71,0.71,1.31,84.21,6.507,7.62,6.526,6.526,
2021/08/06,07:36:22,-0.7531,26.035,7.652,13.576,13273.837,1002.510,2.514,0.71,0.71,1.34,84.14,6.503,7.63,6.521,6.521,
2021/08/06,07:36:22,-0.7531,26.036,7.650,13.573,13270.439,1002.509,2.512,0.72,0.72,1.38,84.11,6.500,7.64,6.518,6.518,
