//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=220       
StartTime=2021/08/06 07:52:14
EndTime=2021/08/06 07:52:35
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/06,07:52:14,-0.7335,27.715,0.641,1.359,1282.192,996.795,-3.202,-0.05,-0.05,0.74,79.00,6.174,7.45,6.192,6.192,
2021/08/06,07:52:14,-0.7531,27.697,0.536,1.143,1078.916,996.721,-3.276,-0.04,-0.04,0.36,80.09,6.263,7.48,6.281,6.281,
2021/08/06,07:52:14,-0.7531,27.686,0.497,1.063,1003.634,996.695,-3.302,-0.04,-0.04,0.24,80.70,6.312,7.47,6.330,6.330,
2021/08/06,07:52:14,-0.7531,27.673,0.322,0.698,659.295,996.567,-3.430,-0.05,-0.05,0.20,80.88,6.332,7.48,6.350,6.350,
2021/08/06,07:52:14,-0.7727,27.650,0.200,0.437,412.540,996.482,-3.515,-0.04,-0.04,0.17,81.48,6.383,7.51,6.401,6.401,
2021/08/06,07:52:14,-0.7531,27.618,0.138,0.302,285.104,996.444,-3.553,-0.04,-0.04,0.16,81.04,6.350,7.50,6.368,6.368,
2021/08/06,07:52:14,-0.7531,27.581,0.122,0.266,251.261,996.442,-3.554,-0.04,-0.04,0.14,80.92,6.342,7.50,6.360,6.360,
2021/08/06,07:52:14,-0.7727,27.539,0.110,0.238,225.720,996.445,-3.551,-0.05,-0.05,0.14,81.41,6.381,7.51,6.399,6.399,
2021/08/06,07:52:14,-0.7727,27.499,0.099,0.213,201.912,996.448,-3.549,-0.05,-0.05,0.13,81.54,6.392,7.54,6.410,6.410,
2021/08/06,07:52:14,-0.7727,27.472,0.088,0.188,178.240,996.447,-3.549,-0.05,-0.05,0.13,81.06,6.356,7.53,6.374,6.374,
2021/08/06,07:52:15,-0.7531,27.448,0.080,0.168,159.807,996.447,-3.549,-0.04,-0.04,0.11,81.62,6.401,7.53,6.419,6.419,
2021/08/06,07:52:15,-0.7727,27.428,0.065,0.134,127.173,996.441,-3.555,-0.04,-0.04,0.11,81.85,6.420,7.54,6.438,6.438,
2021/08/06,07:52:15,-0.7531,27.409,0.053,0.107,101.735,996.438,-3.558,-0.05,-0.05,0.11,81.40,6.385,7.55,6.403,6.403,
2021/08/06,07:52:15,-0.7727,27.397,0.046,0.090,85.492,996.436,-3.560,-0.04,-0.04,0.11,81.57,6.399,7.55,6.417,6.417,
2021/08/06,07:52:15,-0.7727,27.396,0.041,0.078,73.815,996.433,-3.564,-0.05,-0.05,0.11,81.34,6.381,7.55,6.399,6.399,
