//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=240       
StartTime=2021/08/06 08:52:11
EndTime=2021/08/06 08:52:34
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/06,08:52:11,-0.7531,28.880,0.028,0.048,43.770,996.000,-3.997,-0.05,-0.05,1.45,95.25,7.375,7.46,7.396,7.396,
2021/08/06,08:52:11,-0.7727,28.888,0.028,0.047,43.699,995.997,-4.000,-0.08,-0.08,1.38,95.08,7.362,7.47,7.383,7.383,
2021/08/06,08:52:11,-0.7727,28.898,0.028,0.048,43.856,995.994,-4.002,-0.08,-0.08,1.38,95.17,7.368,7.48,7.389,7.390,
2021/08/06,08:52:11,-0.7727,28.909,0.028,0.047,43.612,995.991,-4.006,-0.08,-0.08,1.29,95.21,7.372,7.50,7.393,7.393,
2021/08/06,08:52:11,-0.7727,28.918,0.028,0.047,43.434,995.988,-4.008,-0.08,-0.08,1.25,95.21,7.373,7.50,7.394,7.394,
2021/08/06,08:52:11,-0.7727,28.921,0.028,0.047,43.465,995.987,-4.009,-0.10,-0.10,1.24,95.19,7.371,7.51,7.392,7.392,
2021/08/06,08:52:11,-0.7531,28.914,0.028,0.047,43.211,995.989,-4.007,-0.09,-0.09,1.19,95.19,7.371,7.51,7.392,7.392,
2021/08/06,08:52:11,-0.7727,28.916,0.028,0.047,43.104,995.989,-4.008,-0.10,-0.10,1.08,95.13,7.365,7.51,7.386,7.387,
2021/08/06,08:52:11,-0.7727,28.913,0.028,0.047,42.959,995.990,-4.007,-0.10,-0.10,0.95,95.08,7.361,7.53,7.382,7.382,
2021/08/06,08:52:11,-0.7727,28.907,0.028,0.047,42.854,995.991,-4.005,-0.08,-0.08,0.84,95.13,7.364,7.54,7.385,7.385,
2021/08/06,08:52:12,-0.7727,28.898,0.028,0.047,42.849,995.994,-4.003,-0.07,-0.07,0.81,95.20,7.368,7.54,7.389,7.390,
2021/08/06,08:52:12,-0.7531,28.890,0.028,0.046,42.446,995.996,-4.000,-0.08,-0.08,0.98,95.20,7.368,7.54,7.389,7.389,
2021/08/06,08:52:12,-0.7727,28.881,0.028,0.046,42.421,995.999,-3.998,-0.07,-0.07,1.48,95.29,7.377,7.54,7.398,7.399,
2021/08/06,08:52:12,-0.7727,28.877,0.028,0.046,42.269,996.000,-3.996,-0.06,-0.06,2.52,95.12,7.364,7.54,7.385,7.385,
2021/08/06,08:52:12,-0.7727,28.877,0.028,0.046,42.595,996.000,-3.997,-0.07,-0.07,5.84,95.14,7.366,7.56,7.387,7.387,
2021/08/06,08:52:12,-0.7727,28.865,0.039,0.075,69.561,996.012,-3.984,-0.36,-0.36,249.19,94.99,7.357,7.57,7.377,7.378,
2021/08/06,08:52:12,-0.7335,28.511,19.510,33.589,31179.970,1010.631,10.634,0.13,0.13,82.93,95.12,6.634,7.56,6.654,6.653,
2021/08/06,08:52:12,-0.6942,28.211,27.665,45.766,42746.243,1016.820,16.823,0.31,0.31,20.24,96.05,6.418,7.57,6.437,6.437,
2021/08/06,08:52:12,-0.6942,28.045,27.618,45.553,42692.696,1016.837,16.840,0.31,0.31,8.28,96.88,6.485,7.57,6.504,6.504,
2021/08/06,08:52:12,-0.6942,27.953,27.665,45.542,42764.154,1016.902,16.905,0.31,0.31,6.70,97.29,6.516,7.56,6.535,6.535,
2021/08/06,08:52:13,-0.6942,27.901,27.700,45.549,42816.288,1016.944,16.947,0.32,0.32,7.61,97.54,6.533,7.56,6.552,6.553,
2021/08/06,08:52:13,-0.6942,27.869,27.720,45.553,42847.605,1016.970,16.973,0.34,0.34,9.63,97.63,6.540,7.58,6.559,6.559,
2021/08/06,08:52:13,-0.6746,27.851,27.746,45.575,42884.954,1016.995,16.998,0.35,0.35,11.85,97.55,6.534,7.57,6.553,6.554,
2021/08/06,08:52:13,-0.6746,27.840,27.774,45.606,42923.723,1017.019,17.022,0.33,0.33,13.29,97.50,6.530,7.58,6.549,6.549,
2021/08/06,08:52:13,-0.6746,27.836,27.777,45.607,42928.221,1017.023,17.026,0.35,0.35,14.16,97.28,6.515,7.59,6.534,6.534,
2021/08/06,08:52:13,-0.6746,27.833,27.808,45.650,42971.936,1017.047,17.050,0.34,0.34,15.73,97.04,6.497,7.60,6.516,6.517,
2021/08/06,08:52:13,-0.6746,27.828,27.803,45.639,42965.522,1017.045,17.048,0.35,0.35,17.95,96.98,6.493,7.60,6.512,6.512,
2021/08/06,08:52:13,-0.6942,27.826,27.844,45.697,43022.144,1017.076,17.079,0.37,0.37,19.33,96.83,6.481,7.60,6.500,6.501,
2021/08/06,08:52:13,-0.6746,27.828,27.855,45.715,43037.004,1017.084,17.087,0.35,0.35,19.61,96.62,6.467,7.57,6.486,6.486,
2021/08/06,08:52:13,-0.6746,27.822,27.852,45.705,43033.196,1017.083,17.086,0.36,0.36,20.58,96.34,6.447,7.59,6.466,6.467,
2021/08/06,08:52:14,-0.6746,27.817,27.847,45.693,43026.329,1017.081,17.084,0.38,0.38,21.98,96.23,6.440,7.61,6.459,6.459,
2021/08/06,08:52:14,-0.6746,27.813,27.870,45.723,43058.569,1017.100,17.103,0.37,0.37,22.30,96.16,6.436,7.59,6.454,6.455,
2021/08/06,08:52:14,-0.6746,27.860,27.835,45.713,43006.865,1017.059,17.062,0.37,0.37,21.62,95.91,6.421,7.60,6.439,6.440,
2021/08/06,08:52:14,-0.6746,27.914,27.791,45.695,42941.669,1017.008,17.011,0.36,0.36,19.81,95.87,6.420,7.60,6.439,6.440,
2021/08/06,08:52:14,-0.6550,27.921,27.783,45.689,42930.282,1017.000,17.003,0.35,0.35,20.06,95.75,6.414,7.60,6.432,6.433,
2021/08/06,08:52:14,-0.6746,27.920,27.770,45.669,42912.652,1016.991,16.994,0.35,0.35,18.77,95.58,6.403,7.60,6.421,6.422,
2021/08/06,08:52:14,-0.6746,27.913,27.786,45.686,42934.518,1017.005,17.008,0.32,0.32,17.95,95.42,6.392,7.61,6.410,6.411,
2021/08/06,08:52:14,-0.6746,27.910,27.767,45.657,42909.332,1016.992,16.995,0.34,0.34,16.41,95.30,6.383,7.60,6.402,6.402,
2021/08/06,08:52:14,-0.6550,27.911,27.781,45.678,42928.890,1017.003,17.005,0.33,0.33,17.23,95.17,6.373,7.60,6.391,6.392,
2021/08/06,08:52:14,-0.6746,27.921,27.723,45.600,42846.655,1016.955,16.958,0.34,0.34,15.60,94.88,6.354,7.61,6.372,6.373,
2021/08/06,08:52:15,-0.6942,27.932,27.753,45.654,42887.613,1016.974,16.977,0.33,0.33,16.90,94.69,6.339,7.61,6.357,6.358,
2021/08/06,08:52:15,-0.6746,27.941,27.735,45.635,42861.793,1016.958,16.961,0.34,0.34,16.26,94.35,6.317,7.62,6.335,6.335,
2021/08/06,08:52:15,-0.6746,27.950,27.743,45.656,42873.504,1016.962,16.965,0.35,0.35,17.31,93.98,6.293,7.59,6.311,6.312,
2021/08/06,08:52:15,-0.6746,27.945,27.747,45.657,42879.432,1016.966,16.969,0.33,0.33,17.93,93.63,6.272,7.61,6.290,6.290,
2021/08/06,08:52:15,-0.6746,27.924,27.734,45.619,42862.181,1016.963,16.966,0.32,0.32,18.35,93.05,6.235,7.61,6.253,6.254,
2021/08/06,08:52:15,-0.6746,27.897,27.739,45.604,42871.910,1016.975,16.978,0.34,0.34,18.48,92.58,6.203,7.61,6.221,6.221,
2021/08/06,08:52:15,-0.6746,27.890,27.775,45.651,42921.992,1017.005,17.007,0.35,0.35,18.15,92.16,6.172,7.62,6.190,6.190,
2021/08/06,08:52:15,-0.6942,27.889,27.784,45.662,42933.641,1017.011,17.014,0.34,0.34,17.93,91.82,6.148,7.61,6.165,6.166,
2021/08/06,08:52:15,-0.6746,27.893,27.798,45.687,42952.819,1017.020,17.023,0.34,0.34,17.69,91.50,6.125,7.62,6.143,6.144,
2021/08/06,08:52:15,-0.6942,27.899,27.802,45.698,42957.750,1017.021,17.024,0.33,0.33,17.79,91.27,6.110,7.63,6.128,6.128,
2021/08/06,08:52:16,-0.6746,27.905,27.799,45.700,42953.997,1017.017,17.020,0.34,0.34,18.37,91.05,6.095,7.61,6.113,6.114,
2021/08/06,08:52:16,-0.6746,27.916,27.792,45.698,42943.276,1017.009,17.012,0.34,0.34,18.96,90.82,6.081,7.62,6.099,6.099,
2021/08/06,08:52:16,-0.6746,27.929,27.793,45.711,42943.828,1017.006,17.008,0.36,0.36,19.09,90.49,6.059,7.61,6.077,6.077,
2021/08/06,08:52:16,-0.6746,27.936,27.793,45.717,42943.027,1017.003,17.006,0.35,0.35,19.19,90.36,6.051,7.62,6.069,6.069,
2021/08/06,08:52:16,-0.6746,27.938,27.788,45.711,42936.464,1016.999,17.002,0.34,0.34,19.97,90.14,6.036,7.62,6.054,6.054,
2021/08/06,08:52:16,-0.6746,27.935,27.794,45.718,42944.722,1017.004,17.007,0.35,0.35,20.95,90.14,6.036,7.62,6.054,6.054,
2021/08/06,08:52:16,-0.6746,27.933,27.804,45.731,42959.007,1017.012,17.015,0.35,0.35,21.72,90.05,6.029,7.62,6.047,6.047,
