//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=190       
StartTime=2021/08/06 07:18:20
EndTime=2021/08/06 07:18:38
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/06,07:18:20,-0.5764,27.637,31.834,51.325,48510.815,1020.130,20.132,0.30,0.30,1.85,96.66,6.369,7.45,6.387,6.388,
2021/08/06,07:18:20,-0.5961,27.628,31.859,51.352,48545.552,1020.152,20.154,0.31,0.31,1.75,96.63,6.368,7.46,6.386,6.387,
2021/08/06,07:18:20,-0.5961,27.602,31.879,51.356,48575.706,1020.175,20.178,0.31,0.31,1.69,96.55,6.361,7.47,6.379,6.380,
2021/08/06,07:18:20,-0.6157,27.598,31.884,51.359,48582.692,1020.180,20.183,0.34,0.34,1.69,96.31,6.344,7.48,6.362,6.363,
2021/08/06,07:18:20,-0.5961,27.623,31.871,51.366,48563.133,1020.163,20.165,0.31,0.31,1.88,96.27,6.340,7.49,6.358,6.359,
2021/08/06,07:18:20,-0.5961,27.640,31.838,51.335,48516.520,1020.132,20.135,0.31,0.31,1.93,96.31,6.342,7.50,6.361,6.361,
2021/08/06,07:18:20,-0.5961,27.657,31.824,51.331,48496.326,1020.116,20.119,0.31,0.31,1.99,96.29,6.343,7.50,6.361,6.362,
2021/08/06,07:18:20,-0.5961,27.672,31.809,51.325,48474.691,1020.100,20.103,0.33,0.33,2.15,96.32,6.345,7.50,6.363,6.364,
2021/08/06,07:18:20,-0.5961,27.685,31.797,51.320,48457.269,1020.087,20.090,0.31,0.31,2.19,96.21,6.337,7.50,6.355,6.356,
2021/08/06,07:18:20,-0.5961,27.692,31.808,51.341,48470.584,1020.093,20.095,0.31,0.31,1.99,96.13,6.332,7.49,6.350,6.351,
2021/08/06,07:18:21,-0.5961,27.663,31.826,51.340,48498.189,1020.116,20.118,0.28,0.28,2.05,95.96,6.322,7.53,6.340,6.341,
2021/08/06,07:18:21,-0.5961,27.647,31.826,51.324,48500.132,1020.121,20.124,0.34,0.34,1.72,95.96,6.322,7.52,6.340,6.341,
2021/08/06,07:18:21,-0.5961,27.601,31.854,51.319,48541.764,1020.157,20.159,0.33,0.33,1.72,95.81,6.312,7.54,6.330,6.331,
2021/08/06,07:18:21,-0.5961,27.586,31.858,51.310,48547.886,1020.164,20.167,0.36,0.36,1.76,95.57,6.295,7.54,6.313,6.314,
2021/08/06,07:18:21,-0.6157,27.580,31.881,51.337,48580.431,1020.184,20.186,0.31,0.31,1.64,95.41,6.284,7.55,6.302,6.303,
2021/08/06,07:18:21,-0.5961,27.587,31.881,51.343,48578.924,1020.181,20.184,0.32,0.32,1.75,95.18,6.269,7.55,6.287,6.288,
