"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/06","12:03:46",-0.7335,29.687,22.395,38.9,35263.524,1012.407,12.41,0.72,0.72,15.53,NA,6.539,NA,6.558,6.558
"2","2021/08/06","12:03:46",-0.7139,29.719,22.363,38.873,35216.839,1012.373,12.376,0.7,0.7,14.62,NA,6.543,NA,6.562,6.562
"3","2021/08/06","12:03:46",-0.7335,29.763,22.342,38.872,35184.871,1012.343,12.346,0.73,0.73,15.6,98.02,6.554,NA,6.573,6.573
"4","2021/08/06","12:03:46",-0.7139,29.778,22.294,38.808,35116.347,1012.303,12.306,0.73,0.73,15.87,98.02,6.555,NA,6.575,6.574
"5","2021/08/06","12:03:46",-0.7335,29.828,22.282,38.824,35095.642,1012.277,12.28,0.71,0.71,16.39,98.08,6.561,NA,6.58,6.58
"6","2021/08/06","12:03:46",-0.7139,29.86,22.277,38.839,35087.027,1012.263,12.266,0.72,0.72,15.57,98.23,6.566,NA,6.585,6.585
"7","2021/08/06","12:03:46",-0.7335,29.892,22.229,38.786,35017.556,1012.216,12.22,0.72,0.72,15.13,98.26,6.563,NA,6.582,6.582
"8","2021/08/06","12:03:46",-0.7139,29.944,22.191,38.764,34961.516,1012.172,12.175,0.69,0.69,14.64,98.4,6.58,NA,6.599,6.599
"9","2021/08/06","12:03:46",-0.7335,29.92,22.214,38.783,34995.21,1012.196,12.2,0.68,0.68,15.57,98.65,6.598,NA,6.617,6.617
"10","2021/08/06","12:03:47",-0.7335,29.807,22.264,38.78,35071.431,1012.27,12.274,0.7,0.7,15.95,98.58,6.591,NA,6.61,6.61
"11","2021/08/06","12:03:47",-0.7335,29.77,22.29,38.795,35110.725,1012.302,12.305,0.7,0.7,16.11,98.69,6.597,NA,6.616,6.616
"12","2021/08/06","12:03:47",-0.7139,29.751,22.315,38.821,35146.982,1012.327,12.33,0.75,0.75,15.04,98.95,6.614,NA,6.633,6.633
"13","2021/08/06","12:03:47",-0.7139,29.708,22.327,38.809,35166.252,1012.35,12.353,0.73,0.73,15.16,98.93,6.613,NA,6.632,6.632
"14","2021/08/06","12:03:47",-0.7139,29.686,22.348,38.826,35197.269,1012.373,12.376,0.7,0.7,14.49,98.89,6.61,NA,6.629,6.629
"15","2021/08/06","12:03:47",-0.7335,29.728,22.342,38.845,35185.766,1012.354,12.357,0.74,0.74,15.47,99.14,6.628,NA,6.647,6.647
"16","2021/08/06","12:03:47",-0.7335,29.768,22.34,38.872,35181.654,1012.34,12.343,0.7,0.7,14.75,99.38,6.648,NA,6.667,6.667
"17","2021/08/06","12:03:47",-0.7335,29.771,22.369,38.92,35222.449,1012.36,12.363,0.67,0.67,15.44,99.56,6.66,NA,6.679,6.679
"18","2021/08/06","12:03:47",-0.7335,29.778,22.385,38.949,35244.631,1012.37,12.373,0.68,0.68,15.9,99.45,6.647,NA,6.666,6.666
"19","2021/08/06","12:03:47",-0.7531,29.766,22.379,38.932,35237.506,1012.37,12.373,0.71,0.71,14.98,99.5,6.645,NA,6.665,6.664
"20","2021/08/06","12:03:48",-0.7531,29.761,22.335,38.859,35174.859,1012.338,12.341,0.71,0.71,15.44,99.52,6.646,NA,6.666,6.666
"21","2021/08/06","12:03:48",-0.7531,29.766,22.321,38.84,35154.295,1012.326,12.329,0.68,0.68,15.47,99.58,6.649,NA,6.668,6.668
"22","2021/08/06","12:03:48",-0.7335,29.776,22.325,38.854,35159.464,1012.326,12.329,0.71,0.71,15.56,99.59,6.65,NA,6.669,6.669
"23","2021/08/06","12:03:48",-0.7531,29.798,22.329,38.876,35163.954,1012.321,12.325,0.7,0.7,15.13,99.44,6.633,7.61,6.653,6.652
"24","2021/08/06","12:03:48",-0.7531,29.806,22.327,38.88,35161.82,1012.318,12.321,0.71,0.71,14.75,99.4,6.625,7.61,6.644,6.644
"25","2021/08/06","12:03:48",-0.7531,29.81,22.324,38.878,35157.049,1012.314,12.317,0.72,0.72,14.8,99.52,6.629,NA,6.649,6.649
"26","2021/08/06","12:03:48",-0.7531,29.817,22.313,38.865,35141.177,1012.304,12.307,0.76,0.76,14.49,99.41,6.618,NA,6.638,6.637
"27","2021/08/06","12:03:48",-0.7531,29.762,22.341,38.87,35183.248,1012.342,12.345,0.74,0.74,14.28,99.47,6.62,7.6,6.639,6.639
"28","2021/08/06","12:03:48",-0.7531,29.677,22.367,38.849,35224.693,1012.39,12.393,0.78,0.78,14.8,99.6,6.631,7.6,6.65,6.65
"29","2021/08/06","12:03:48",-0.7531,29.778,22.304,38.822,35129.601,1012.309,12.313,0.77,0.77,14.24,99.51,6.632,7.61,6.652,6.651
"30","2021/08/06","12:03:49",-0.7531,29.815,22.295,38.836,35115.771,1012.291,12.294,0.72,0.72,14.21,99.39,6.63,7.61,6.65,6.65
