"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/19","09:52:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/08/19","09:52:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/08/19","09:52:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/08/19","09:52:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/08/19","09:52:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/08/19","09:52:03",-0.5568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/08/19","09:52:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/08/19","09:52:03",-0.5372,NA,NA,NA,NA,NA,NA,0.28,0.28,NA,NA,NA,NA,NA,NA
"9","2021/08/19","09:52:03",-0.5176,NA,NA,NA,NA,NA,NA,0.29,0.29,NA,NA,NA,NA,NA,NA
"10","2021/08/19","09:52:04",-0.5372,NA,NA,NA,NA,NA,NA,0.34,0.34,NA,NA,NA,NA,NA,NA
"11","2021/08/19","09:52:04",-0.5176,28.503,NA,54.682,NA,1021.146,21.148,0.31,0.31,NA,NA,NA,NA,NA,NA
"12","2021/08/19","09:52:04",-0.5372,28.514,33.552,54.682,50758.003,1021.136,21.138,0.29,0.29,2.35,NA,NA,NA,NA,NA
"13","2021/08/19","09:52:04",-0.5176,28.523,33.548,NA,50751.452,1021.13,21.132,0.31,0.31,2.3,NA,NA,NA,NA,NA
"14","2021/08/19","09:52:04",-0.5176,28.529,33.549,NA,50751.993,1021.129,21.131,0.34,0.34,2.36,NA,NA,NA,NA,NA
"15","2021/08/19","09:52:04",-0.5176,28.532,33.545,NA,50747.119,1021.125,21.127,0.38,0.38,NA,NA,NA,NA,NA,NA
"16","2021/08/19","09:52:04",-0.5372,28.534,33.541,NA,50741.33,1021.121,21.123,0.41,0.41,2.35,NA,NA,NA,NA,NA
"17","2021/08/19","09:52:04",-0.4979,28.534,33.545,NA,50746.129,1021.124,21.126,0.43,0.43,2.15,NA,NA,NA,NA,NA
"18","2021/08/19","09:52:04",-0.5176,28.535,33.541,NA,50741.338,1021.121,21.123,0.42,0.42,1.99,NA,NA,NA,NA,NA
"19","2021/08/19","09:52:04",-0.5176,28.535,33.54,NA,50739.341,1021.12,21.122,0.44,0.44,1.99,NA,NA,7.54,NA,NA
"20","2021/08/19","09:52:05",-0.5176,28.528,33.545,NA,50747.29,1021.126,21.128,0.41,0.41,2.1,NA,NA,NA,NA,NA
"21","2021/08/19","09:52:05",-0.5176,28.523,33.546,54.683,50748.681,1021.128,21.13,0.39,0.39,2.06,NA,NA,NA,NA,NA
"22","2021/08/19","09:52:05",-0.5372,28.519,33.556,NA,50762.761,1021.137,21.139,0.31,0.31,1.86,NA,NA,7.52,NA,NA
"23","2021/08/19","09:52:05",-0.5176,28.517,33.556,NA,50763.025,1021.138,21.14,0.29,0.29,1.79,89.55,NA,7.52,NA,NA
"24","2021/08/19","09:52:05",-0.5176,28.516,33.552,NA,50758.197,1021.136,21.138,0.3,0.3,1.75,89.49,5.745,7.53,5.762,5.763
"25","2021/08/19","09:52:05",-0.5176,28.512,33.551,54.678,50756.833,1021.136,21.138,0.29,0.29,1.81,89.28,5.732,7.52,5.749,5.749
"26","2021/08/19","09:52:05",-0.5176,28.511,33.551,54.677,50756.211,1021.136,21.138,0.3,0.3,1.89,89.22,5.728,7.53,5.745,5.745
"27","2021/08/19","09:52:05",-0.5372,28.514,33.547,54.674,50750.64,1021.132,21.134,0.34,0.34,1.93,89.09,5.72,7.53,5.736,5.737
"28","2021/08/19","09:52:05",-0.5176,28.513,33.549,54.676,50753.38,1021.134,21.136,0.33,0.33,1.91,88.86,5.705,7.54,5.721,5.722
"29","2021/08/19","09:52:05",-0.5176,28.513,33.55,54.677,50755.09,1021.135,21.137,0.3,0.3,1.93,88.7,5.695,7.54,5.711,5.712
"30","2021/08/19","09:52:06",-0.5372,28.515,33.545,54.673,50748.812,1021.13,21.133,0.31,0.31,1.92,88.54,5.684,7.53,5.7,5.701
"31","2021/08/19","09:52:06",-0.5176,28.515,33.546,54.674,50749.989,1021.131,21.133,0.31,0.31,1.93,88.33,5.671,7.54,5.687,5.688
"32","2021/08/19","09:52:06",-0.5372,28.514,33.548,54.677,50752.561,1021.133,21.135,0.31,0.31,1.79,88.18,5.661,7.54,5.677,5.678
"33","2021/08/19","09:52:06",-0.5176,28.514,33.551,54.68,50756.146,1021.135,21.137,0.37,0.37,1.83,88.09,5.655,7.55,5.671,5.672
"34","2021/08/19","09:52:06",-0.5176,28.514,33.549,54.678,50754.059,1021.134,21.136,0.37,0.37,1.78,87.98,5.648,7.55,5.664,5.665
"35","2021/08/19","09:52:06",-0.5372,28.513,33.549,54.676,50753.314,1021.134,21.136,0.33,0.33,1.86,87.85,5.64,7.55,5.656,5.657
"36","2021/08/19","09:52:06",-0.5176,28.516,33.544,54.673,50747.443,1021.13,21.132,0.31,0.31,1.93,87.67,5.629,7.54,5.645,5.646
