//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=230       
StartTime=2021/08/19 12:42:38
EndTime=2021/08/19 12:43:00
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/19,12:42:38,-0.3998,27.787,32.859,52.946,49886.627,1020.852,20.854,0.23,0.23,1.09,90.37,5.904,7.41,5.920,5.921,
2021/08/19,12:42:38,-0.3802,27.775,32.845,52.914,49869.427,1020.846,20.848,0.24,0.24,1.14,90.15,5.888,7.40,5.905,5.906,
2021/08/19,12:42:38,-0.3802,27.756,32.853,52.906,49881.471,1020.858,20.860,0.23,0.23,1.27,89.86,5.868,7.40,5.885,5.886,
2021/08/19,12:42:38,-0.4194,27.732,32.878,52.919,49917.760,1020.884,20.886,0.27,0.27,1.31,89.66,5.855,7.43,5.872,5.873,
2021/08/19,12:42:38,-0.3802,27.709,32.875,52.891,49915.827,1020.890,20.892,0.24,0.24,1.18,89.54,5.850,7.43,5.867,5.868,
2021/08/19,12:42:38,-0.3998,27.693,32.900,52.910,49950.601,1020.913,20.915,0.24,0.24,1.24,89.41,5.841,7.44,5.858,5.859,
2021/08/19,12:42:38,-0.3998,27.693,32.889,52.894,49936.030,1020.906,20.907,0.25,0.25,1.29,89.29,5.832,7.44,5.849,5.850,
2021/08/19,12:42:38,-0.4194,27.680,32.892,52.887,49941.767,1020.912,20.914,0.25,0.25,1.11,89.15,5.824,7.46,5.840,5.841,
2021/08/19,12:42:38,-0.4194,27.657,32.921,52.904,49982.856,1020.941,20.943,0.24,0.24,1.04,89.14,5.822,7.44,5.839,5.839,
2021/08/19,12:42:38,-0.4194,27.681,32.916,52.921,49973.266,1020.929,20.931,0.24,0.24,1.01,89.07,5.817,7.46,5.833,5.834,
2021/08/19,12:42:39,-0.4390,27.694,32.895,52.904,49944.056,1020.909,20.911,0.24,0.24,0.95,88.88,5.805,7.47,5.822,5.822,
2021/08/19,12:42:39,-0.4194,27.696,32.878,52.882,49920.730,1020.896,20.898,0.23,0.23,0.94,88.78,5.799,7.46,5.816,5.817,
2021/08/19,12:42:39,-0.4194,27.710,32.898,52.925,49946.871,1020.907,20.909,0.24,0.24,1.22,88.94,5.809,7.50,5.826,5.827,
2021/08/19,12:42:39,-0.4194,27.741,32.890,52.945,49933.481,1020.891,20.893,0.24,0.24,1.36,88.83,5.803,7.48,5.819,5.820,
2021/08/19,12:42:39,-0.4194,27.743,32.886,52.941,49927.705,1020.887,20.889,0.23,0.23,1.19,88.73,5.795,7.46,5.811,5.812,
2021/08/19,12:42:39,-0.4194,27.728,32.893,52.936,49938.826,1020.898,20.899,0.27,0.27,1.31,88.69,5.793,7.48,5.809,5.810,
2021/08/19,12:42:39,-0.4194,27.727,32.900,52.944,49947.972,1020.903,20.905,0.25,0.25,1.24,88.67,5.791,7.50,5.807,5.808,
2021/08/19,12:42:39,-0.3998,27.730,32.893,52.937,49938.223,1020.897,20.898,0.27,0.27,1.24,88.64,5.789,7.49,5.805,5.806,
2021/08/19,12:42:39,-0.3998,27.743,32.896,52.954,49940.676,1020.894,20.896,0.24,0.24,1.51,88.48,5.778,7.50,5.794,5.795,
2021/08/19,12:42:39,-0.3998,27.759,32.876,52.941,49912.040,1020.874,20.876,0.25,0.25,1.62,88.20,5.758,7.50,5.775,5.775,
