//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2021/08/19 12:23:08
EndTime=2021/08/19 12:23:20
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/19,12:23:08,-0.3998,27.387,28.743,46.626,44299.321,1017.890,17.892,0.25,0.25,1.65,93.59,6.287,7.39,6.306,6.306,
2021/08/19,12:23:08,-0.4194,27.395,28.734,46.620,44285.910,1017.880,17.882,0.27,0.27,1.64,93.43,6.278,7.40,6.296,6.296,
2021/08/19,12:23:08,-0.4194,27.397,28.727,46.611,44276.567,1017.875,17.877,0.24,0.24,1.56,93.23,6.264,7.40,6.282,6.283,
2021/08/19,12:23:08,-0.4194,27.397,28.723,46.605,44270.373,1017.872,17.873,0.24,0.24,1.55,93.12,6.256,7.42,6.274,6.274,
2021/08/19,12:23:08,-0.4194,27.400,28.727,46.614,44275.862,1017.874,17.876,0.23,0.23,1.54,93.05,6.251,7.43,6.269,6.270,
2021/08/19,12:23:08,-0.4390,27.405,28.727,46.617,44275.069,1017.872,17.874,0.22,0.22,1.55,92.99,6.249,7.43,6.267,6.268,
2021/08/19,12:23:08,-0.4390,27.408,28.727,46.621,44276.029,1017.872,17.874,0.24,0.24,1.58,92.97,6.252,7.46,6.270,6.271,
2021/08/19,12:23:08,-0.4390,27.412,28.727,46.625,44275.204,1017.870,17.872,0.28,0.28,1.62,93.00,6.256,7.44,6.274,6.274,
2021/08/19,12:23:08,-0.4390,27.395,28.742,46.631,44297.041,1017.887,17.888,0.26,0.26,1.56,92.92,6.249,7.46,6.267,6.268,
2021/08/19,12:23:08,-0.4194,27.381,28.746,46.624,44303.567,1017.894,17.896,0.25,0.25,1.49,92.94,6.251,7.46,6.269,6.269,
2021/08/19,12:23:09,-0.4390,27.392,28.734,46.617,44286.255,1017.881,17.883,0.26,0.26,1.58,92.84,6.244,7.46,6.262,6.263,
2021/08/19,12:23:09,-0.4390,27.406,28.725,46.616,44272.986,1017.871,17.872,0.24,0.24,1.52,92.74,6.237,7.46,6.255,6.255,
2021/08/19,12:23:09,-0.4390,27.416,28.716,46.613,44259.632,1017.860,17.862,0.23,0.23,1.48,92.64,6.228,7.47,6.247,6.247,
2021/08/19,12:23:09,-0.4390,27.408,28.724,46.616,44270.908,1017.869,17.871,0.24,0.24,1.45,92.57,6.222,7.48,6.241,6.241,
2021/08/19,12:23:09,-0.4390,27.404,28.725,46.615,44272.862,1017.871,17.873,0.29,0.29,1.45,92.58,6.222,7.49,6.240,6.240,
2021/08/19,12:23:09,-0.4390,27.412,28.712,46.603,44255.035,1017.859,17.861,0.26,0.26,1.42,92.47,6.215,7.49,6.233,6.234,
2021/08/19,12:23:09,-0.4390,27.416,28.705,46.595,44243.796,1017.852,17.854,0.23,0.23,1.45,92.44,6.214,7.50,6.233,6.233,
2021/08/19,12:23:09,-0.4390,27.413,28.705,46.594,44245.104,1017.853,17.855,0.23,0.23,1.52,92.37,6.210,7.50,6.228,6.228,
2021/08/19,12:23:09,-0.4390,27.418,28.705,46.598,44244.048,1017.852,17.853,0.24,0.24,1.49,92.33,6.208,7.50,6.226,6.227,
2021/08/19,12:23:09,-0.4587,27.417,28.706,46.598,44245.608,1017.853,17.855,0.23,0.23,1.56,92.40,6.213,7.50,6.231,6.232,
2021/08/19,12:23:10,-0.4390,27.422,28.703,46.599,44241.113,1017.849,17.851,0.21,0.21,1.66,92.43,6.217,7.50,6.235,6.235,
