//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2021/08/19 07:47:53
EndTime=2021/08/19 07:48:07
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/19,07:47:53,-0.4783,27.886,33.830,54.438,51187.489,1021.550,21.552,0.25,0.25,0.68,95.69,6.203,7.42,6.221,6.222,
2021/08/19,07:47:53,-0.4979,27.890,33.825,54.434,51179.989,1021.545,21.547,0.20,0.20,0.67,95.46,6.188,7.41,6.205,6.206,
2021/08/19,07:47:53,-0.4979,27.887,33.823,54.429,51178.065,1021.544,21.546,0.22,0.22,0.67,95.36,6.181,7.42,6.198,6.199,
2021/08/19,07:47:53,-0.5176,27.888,33.822,54.428,51175.959,1021.543,21.545,0.24,0.24,0.70,95.12,6.165,7.42,6.183,6.184,
2021/08/19,07:47:53,-0.5176,27.888,33.825,54.432,51180.200,1021.545,21.548,0.25,0.25,0.72,94.96,6.153,7.44,6.171,6.172,
2021/08/19,07:47:53,-0.4979,27.887,33.826,54.433,51182.284,1021.547,21.549,0.26,0.26,0.72,94.64,6.133,7.43,6.150,6.151,
2021/08/19,07:47:53,-0.4979,27.891,33.814,54.420,51165.569,1021.536,21.538,0.25,0.25,0.80,94.14,6.101,7.44,6.118,6.119,
2021/08/19,07:47:53,-0.4979,27.893,33.819,54.428,51171.452,1021.539,21.541,0.30,0.30,0.87,93.50,6.059,7.46,6.077,6.078,
2021/08/19,07:47:53,-0.4979,27.891,33.825,54.436,51181.046,1021.545,21.547,0.28,0.28,0.92,93.07,6.032,7.47,6.049,6.050,
2021/08/19,07:47:53,-0.4979,27.883,33.833,54.439,51192.240,1021.553,21.556,0.28,0.28,0.81,92.74,6.010,7.46,6.027,6.028,
2021/08/19,07:47:54,-0.4979,27.864,33.845,54.436,51209.270,1021.568,21.570,0.31,0.31,0.97,92.28,5.980,7.48,5.997,5.998,
2021/08/19,07:47:54,-0.5176,27.855,33.848,54.431,51214.254,1021.573,21.576,0.31,0.31,1.22,91.77,5.946,7.50,5.963,5.964,
2021/08/19,07:47:54,-0.5176,27.861,33.845,54.434,51210.303,1021.569,21.572,0.23,0.23,1.02,91.35,5.919,7.47,5.936,5.937,
2021/08/19,07:47:54,-0.4979,27.867,33.839,54.432,51201.778,1021.563,21.565,0.21,0.21,0.82,90.84,5.887,7.50,5.904,5.905,
2021/08/19,07:47:54,-0.5176,27.869,33.835,54.427,51195.313,1021.559,21.561,0.22,0.22,0.81,90.47,5.862,7.50,5.879,5.880,
2021/08/19,07:47:54,-0.5176,27.873,33.833,54.429,51193.051,1021.556,21.559,0.24,0.24,0.74,90.19,5.845,7.50,5.861,5.862,
2021/08/19,07:47:54,-0.5176,27.872,33.835,54.431,51196.164,1021.559,21.561,0.22,0.22,0.67,89.82,5.820,7.51,5.837,5.838,
2021/08/19,07:47:54,-0.5176,27.868,33.837,54.429,51198.678,1021.561,21.563,0.22,0.22,0.72,89.50,5.800,7.49,5.817,5.818,
2021/08/19,07:47:54,-0.5176,27.866,33.837,54.427,51198.646,1021.561,21.564,0.23,0.23,0.67,89.24,5.784,7.50,5.800,5.801,
2021/08/19,07:47:54,-0.5176,27.869,33.834,54.425,51193.826,1021.558,21.560,0.21,0.21,0.68,89.09,5.774,7.49,5.791,5.792,
2021/08/19,07:47:55,-0.4979,27.868,33.836,54.428,51197.627,1021.561,21.563,0.26,0.26,0.75,89.00,5.769,7.51,5.785,5.786,
2021/08/19,07:47:55,-0.4979,27.869,33.831,54.421,51189.772,1021.556,21.558,0.24,0.24,0.75,88.80,5.756,7.52,5.772,5.773,
2021/08/19,07:47:55,-0.4979,27.871,33.829,54.420,51186.986,1021.554,21.556,0.23,0.23,0.78,88.66,5.747,7.55,5.763,5.764,
2021/08/19,07:47:55,-0.5176,27.868,33.830,54.420,51189.244,1021.556,21.558,0.21,0.21,0.72,88.59,5.742,7.53,5.759,5.760,
2021/08/19,07:47:55,-0.5176,27.869,33.829,54.419,51188.312,1021.555,21.557,0.20,0.20,0.72,88.59,5.742,7.53,5.758,5.759,
2021/08/19,07:47:55,-0.4979,27.869,33.829,54.418,51187.247,1021.554,21.557,0.25,0.25,1.04,88.49,5.736,7.53,5.752,5.753,
2021/08/19,07:47:55,-0.5176,27.870,33.828,54.418,51186.756,1021.554,21.556,0.24,0.24,0.88,88.49,5.736,7.53,5.752,5.753,
2021/08/19,07:47:55,-0.4979,27.863,33.834,54.420,51195.347,1021.561,21.563,0.25,0.25,0.71,88.34,5.726,7.52,5.742,5.743,
2021/08/19,07:47:55,-0.5176,27.853,33.840,54.418,51204.294,1021.568,21.571,0.22,0.22,0.67,88.27,5.721,7.54,5.737,5.738,
