"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/19","07:47:53",-0.4979,NA,33.825,54.434,51179.989,1021.545,21.547,0.2,0.2,0.67,NA,NA,NA,NA,NA
"2","2021/08/19","07:47:53",-0.4979,NA,33.823,54.429,51178.065,1021.544,21.546,0.22,0.22,0.67,NA,NA,NA,NA,NA
"3","2021/08/19","07:47:53",-0.5176,NA,33.822,54.428,51175.959,1021.543,21.545,0.24,0.24,0.7,NA,NA,NA,NA,NA
"4","2021/08/19","07:47:53",-0.5176,NA,33.825,54.432,51180.2,1021.545,21.548,0.25,0.25,0.72,NA,NA,NA,NA,NA
"5","2021/08/19","07:47:53",-0.4979,NA,33.826,54.433,51182.284,1021.547,21.549,0.26,0.26,0.72,NA,NA,NA,NA,NA
"6","2021/08/19","07:47:53",-0.4979,NA,33.814,54.42,51165.569,1021.536,21.538,0.25,0.25,0.8,NA,NA,NA,NA,NA
"7","2021/08/19","07:47:53",-0.4979,NA,33.819,54.428,51171.452,1021.539,21.541,0.3,0.3,0.87,NA,NA,NA,NA,NA
"8","2021/08/19","07:47:53",-0.4979,NA,33.825,54.436,51181.046,1021.545,21.547,0.28,0.28,0.92,NA,NA,NA,NA,NA
"9","2021/08/19","07:47:53",-0.4979,NA,33.833,54.439,51192.24,1021.553,21.556,0.28,0.28,0.81,NA,NA,NA,NA,NA
"10","2021/08/19","07:47:54",-0.4979,27.864,33.845,54.436,51209.27,1021.568,21.57,0.31,0.31,NA,NA,NA,NA,NA,NA
"11","2021/08/19","07:47:54",-0.5176,27.855,33.848,54.431,51214.254,1021.573,21.576,0.31,0.31,NA,NA,NA,NA,NA,NA
"12","2021/08/19","07:47:54",-0.5176,27.861,33.845,54.434,51210.303,1021.569,21.572,0.23,0.23,NA,NA,NA,NA,NA,NA
"13","2021/08/19","07:47:54",-0.4979,27.867,33.839,54.432,51201.778,1021.563,21.565,0.21,0.21,0.82,NA,NA,NA,NA,NA
"14","2021/08/19","07:47:54",-0.5176,27.869,33.835,54.427,51195.313,1021.559,21.561,0.22,0.22,0.81,NA,NA,NA,NA,NA
"15","2021/08/19","07:47:54",-0.5176,27.873,33.833,54.429,51193.051,1021.556,21.559,0.24,0.24,0.74,NA,NA,NA,NA,NA
"16","2021/08/19","07:47:54",-0.5176,27.872,33.835,54.431,51196.164,1021.559,21.561,0.22,0.22,0.67,NA,NA,NA,NA,NA
"17","2021/08/19","07:47:54",-0.5176,27.868,33.837,54.429,51198.678,1021.561,21.563,0.22,0.22,0.72,NA,NA,NA,NA,NA
"18","2021/08/19","07:47:54",-0.5176,27.866,33.837,54.427,51198.646,1021.561,21.564,0.23,0.23,0.67,NA,5.784,NA,5.8,5.801
"19","2021/08/19","07:47:54",-0.5176,27.869,33.834,54.425,51193.826,1021.558,21.56,0.21,0.21,0.68,89.09,5.774,NA,5.791,5.792
"20","2021/08/19","07:47:55",-0.4979,27.868,33.836,54.428,51197.627,1021.561,21.563,0.26,0.26,0.75,89,5.769,NA,5.785,5.786
"21","2021/08/19","07:47:55",-0.4979,27.869,33.831,54.421,51189.772,1021.556,21.558,0.24,0.24,0.75,88.8,5.756,7.52,5.772,5.773
"22","2021/08/19","07:47:55",-0.4979,27.871,33.829,54.42,51186.986,1021.554,21.556,0.23,0.23,0.78,88.66,5.747,7.55,5.763,5.764
"23","2021/08/19","07:47:55",-0.5176,27.868,33.83,54.42,51189.244,1021.556,21.558,0.21,0.21,0.72,88.59,5.742,7.53,5.759,5.76
"24","2021/08/19","07:47:55",-0.5176,27.869,33.829,54.419,51188.312,1021.555,21.557,0.2,0.2,0.72,88.59,5.742,7.53,5.758,5.759
"25","2021/08/19","07:47:55",-0.4979,27.869,33.829,54.418,51187.247,1021.554,21.557,0.25,0.25,NA,88.49,5.736,7.53,5.752,5.753
"26","2021/08/19","07:47:55",-0.5176,27.87,33.828,54.418,51186.756,1021.554,21.556,0.24,0.24,0.88,88.49,5.736,7.53,5.752,5.753
"27","2021/08/19","07:47:55",-0.4979,27.863,33.834,54.42,51195.347,1021.561,21.563,0.25,0.25,0.71,88.34,5.726,7.52,5.742,5.743
"28","2021/08/19","07:47:55",-0.5176,27.853,33.84,54.418,51204.294,1021.568,21.571,0.22,0.22,0.67,88.27,5.721,7.54,5.737,5.738
"29","2021/08/19","07:47:55",-0.5176,27.845,33.846,54.418,51212.208,1021.575,21.577,0.2,0.2,0.65,88.16,5.715,7.54,5.731,5.732
"30","2021/08/19","07:47:56",-0.5176,27.835,33.851,54.416,51220.961,NA,NA,0.19,0.19,0.61,88.07,5.708,7.52,5.724,5.725
"31","2021/08/19","07:47:56",-0.5176,NA,33.854,54.407,NA,NA,NA,0.21,0.21,0.61,87.93,5.699,7.54,5.715,5.716
"32","2021/08/19","07:47:56",-0.5176,NA,33.849,54.4,51218.304,NA,NA,0.22,0.22,0.65,87.93,5.699,7.55,5.715,5.716
"33","2021/08/19","07:47:56",-0.5176,27.83,33.841,54.396,51207.6,1021.576,21.578,0.24,0.24,0.63,87.88,5.697,7.55,5.713,5.714
"34","2021/08/19","07:47:56",-0.5176,27.841,33.836,54.4,51199.362,1021.569,21.571,0.25,0.25,0.67,87.79,5.691,7.56,5.707,5.708
"35","2021/08/19","07:47:56",-0.5176,27.851,33.826,54.395,51184.785,1021.558,21.56,0.27,0.27,0.7,87.71,5.687,7.54,5.703,5.704
"36","2021/08/19","07:47:56",-0.5176,27.859,33.816,54.39,51171.79,1021.549,21.551,0.25,0.25,0.64,87.65,5.683,7.55,5.699,5.7
"37","2021/08/19","07:47:56",-0.5176,27.863,33.813,54.389,51166.446,1021.544,21.547,0.22,0.22,0.63,87.57,5.679,7.55,5.695,5.696
"38","2021/08/19","07:47:56",-0.5176,27.857,33.815,54.387,51170.392,1021.548,21.55,0.24,0.24,0.63,87.57,5.679,7.55,5.695,5.696
"39","2021/08/19","07:47:56",-0.5176,27.85,33.817,54.382,51173.908,1021.552,21.554,0.28,0.28,0.65,87.55,5.678,7.55,5.694,5.695
"40","2021/08/19","07:47:57",-0.5176,27.849,33.814,54.377,51169.951,1021.55,21.552,0.24,0.24,0.61,87.54,5.678,7.55,5.694,5.695
"41","2021/08/19","07:47:57",-0.4979,27.852,33.809,54.373,51162.524,1021.545,21.547,0.21,0.21,0.63,87.49,5.675,7.55,5.691,5.692
"42","2021/08/19","07:47:57",-0.4979,27.853,33.806,54.369,51158.267,1021.543,21.545,0.26,0.26,0.65,87.42,5.671,7.56,5.687,5.688
"43","2021/08/19","07:47:57",-0.4979,27.853,33.806,54.369,51158.148,1021.543,21.545,0.25,0.25,0.61,87.39,5.668,7.55,5.685,5.685
