//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=250       
StartTime=2021/08/19 11:09:46
EndTime=2021/08/19 11:10:10
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/19,11:09:46,-0.5176,27.823,17.341,29.786,28044.112,1009.226,9.229,0.97,0.97,3.97,81.75,5.811,7.41,5.828,5.828,
2021/08/19,11:09:46,-0.5372,27.822,17.340,29.784,28043.251,1009.226,9.228,0.97,0.97,4.34,81.47,5.791,7.41,5.808,5.808,
2021/08/19,11:09:46,-0.5372,27.823,17.339,29.783,28041.440,1009.225,9.227,0.96,0.96,4.71,81.04,5.760,7.42,5.777,5.777,
2021/08/19,11:09:46,-0.5372,27.822,17.338,29.781,28040.166,1009.224,9.227,0.96,0.96,4.27,80.78,5.742,7.42,5.759,5.758,
2021/08/19,11:09:46,-0.5372,27.822,17.338,29.781,28040.410,1009.224,9.227,0.99,0.99,3.86,80.65,5.733,7.43,5.750,5.749,
2021/08/19,11:09:46,-0.5372,27.822,17.339,29.783,28041.490,1009.225,9.227,0.97,0.97,4.03,80.40,5.714,7.45,5.731,5.731,
2021/08/19,11:09:46,-0.5372,27.822,17.339,29.783,28041.522,1009.225,9.227,0.93,0.93,3.99,80.26,5.705,7.45,5.722,5.722,
2021/08/19,11:09:46,-0.5372,27.823,17.338,29.781,28039.930,1009.224,9.226,0.94,0.94,4.11,80.13,5.695,7.46,5.712,5.712,
2021/08/19,11:09:46,-0.5372,27.823,17.338,29.781,28039.833,1009.224,9.226,0.98,0.98,4.06,80.03,5.688,7.47,5.705,5.705,
2021/08/19,11:09:46,-0.5176,27.823,17.338,29.781,28039.740,1009.224,9.226,0.97,0.97,4.34,79.89,5.679,7.50,5.696,5.696,
2021/08/19,11:09:47,-0.5372,27.822,17.339,29.782,28041.424,1009.225,9.227,1.00,1.00,3.97,79.72,5.666,7.47,5.683,5.683,
2021/08/19,11:09:47,-0.5372,27.822,17.339,29.782,28040.781,1009.225,9.227,0.95,0.95,4.00,79.70,5.665,7.47,5.682,5.681,
2021/08/19,11:09:47,-0.5372,27.821,17.339,29.781,28040.558,1009.225,9.227,0.96,0.96,3.87,79.58,5.656,7.49,5.673,5.673,
2021/08/19,11:09:47,-0.5372,27.821,17.340,29.783,28042.233,1009.226,9.228,0.98,0.98,3.73,79.58,5.656,7.49,5.673,5.672,
2021/08/19,11:09:47,-0.5372,27.822,17.339,29.783,28041.778,1009.225,9.227,1.00,1.00,3.67,79.52,5.652,7.49,5.669,5.669,
2021/08/19,11:09:47,-0.5372,27.822,17.339,29.783,28041.900,1009.225,9.228,0.99,0.99,3.74,79.49,5.650,7.51,5.667,5.666,
2021/08/19,11:09:47,-0.5372,27.822,17.338,29.781,28040.150,1009.224,9.227,0.99,0.99,3.76,79.48,5.649,7.50,5.666,5.666,
2021/08/19,11:09:47,-0.5372,27.822,17.339,29.782,28040.992,1009.225,9.227,0.99,0.99,3.97,79.43,5.645,7.51,5.662,5.662,
2021/08/19,11:09:47,-0.5568,27.822,17.340,29.783,28042.136,1009.225,9.228,0.97,0.97,4.01,79.31,5.637,7.50,5.654,5.654,
2021/08/19,11:09:47,-0.5372,27.822,17.340,29.783,28042.167,1009.225,9.228,0.95,0.95,3.86,79.38,5.642,7.51,5.659,5.659,
2021/08/19,11:09:48,-0.5568,27.822,17.339,29.782,28040.747,1009.224,9.227,0.96,0.96,3.69,79.28,5.636,7.50,5.652,5.652,
2021/08/19,11:09:48,-0.5568,27.822,17.339,29.782,28041.300,1009.225,9.227,0.93,0.93,3.54,79.23,5.632,7.49,5.649,5.648,
2021/08/19,11:09:48,-0.5372,27.821,17.340,29.783,28042.718,1009.226,9.228,0.93,0.93,3.50,79.23,5.632,7.49,5.648,5.648,
2021/08/19,11:09:48,-0.5372,27.822,17.340,29.783,28042.571,1009.226,9.228,0.93,0.93,3.61,79.15,5.626,7.53,5.643,5.643,
2021/08/19,11:09:48,-0.5372,27.821,17.340,29.783,28042.807,1009.226,9.228,0.96,0.96,3.61,79.19,5.629,7.51,5.646,5.645,
2021/08/19,11:09:48,-0.5372,27.822,17.340,29.783,28042.455,1009.226,9.228,1.02,1.02,3.60,79.16,5.627,7.53,5.644,5.643,
2021/08/19,11:09:48,-0.5568,27.822,17.340,29.784,28042.472,1009.225,9.228,1.01,1.01,3.60,79.11,5.623,7.53,5.640,5.639,
2021/08/19,11:09:48,-0.5372,27.822,17.340,29.783,28042.400,1009.225,9.228,1.01,1.01,3.47,79.09,5.622,7.54,5.639,5.638,
2021/08/19,11:09:48,-0.5372,27.821,17.340,29.783,28042.743,1009.226,9.228,1.02,1.02,3.50,79.17,5.628,7.54,5.644,5.644,
2021/08/19,11:09:48,-0.5372,27.821,17.341,29.785,28044.177,1009.227,9.229,0.98,0.98,3.64,79.11,5.623,7.53,5.640,5.640,
2021/08/19,11:09:49,-0.5568,27.822,17.341,29.785,28043.577,1009.226,9.228,0.94,0.94,3.56,79.12,5.624,7.54,5.641,5.640,
2021/08/19,11:09:49,-0.5372,27.822,17.340,29.783,28042.609,1009.226,9.228,0.96,0.96,3.43,79.06,5.620,7.54,5.636,5.636,
2021/08/19,11:09:49,-0.5568,27.821,17.340,29.784,28043.240,1009.226,9.229,0.95,0.95,3.39,79.13,5.624,7.54,5.641,5.641,
2021/08/19,11:09:49,-0.5372,27.822,17.341,29.784,28043.645,1009.226,9.229,0.96,0.96,3.42,79.06,5.619,7.54,5.636,5.636,
2021/08/19,11:09:49,-0.5568,27.822,17.341,29.785,28043.861,1009.226,9.229,0.96,0.96,3.61,79.03,5.617,7.55,5.634,5.634,
2021/08/19,11:09:49,-0.5372,27.822,17.339,29.783,28041.811,1009.225,9.227,0.98,0.98,4.14,79.07,5.620,7.56,5.637,5.637,
2021/08/19,11:09:49,-0.5372,27.823,17.340,29.784,28042.259,1009.225,9.228,0.99,0.99,3.90,79.08,5.621,7.54,5.638,5.638,
2021/08/19,11:09:49,-0.5568,27.822,17.340,29.784,28043.375,1009.226,9.228,0.98,0.98,3.93,79.02,5.617,7.55,5.634,5.633,
2021/08/19,11:09:49,-0.5372,27.822,17.341,29.786,28044.724,1009.227,9.229,1.00,1.00,3.60,79.05,5.619,7.54,5.636,5.635,
2021/08/19,11:09:49,-0.5372,27.822,17.341,29.785,28044.124,1009.226,9.229,1.01,1.01,3.56,79.04,5.618,7.54,5.635,5.634,
2021/08/19,11:09:50,-0.5568,27.822,17.340,29.784,28042.511,1009.225,9.228,0.97,0.97,3.74,79.10,5.623,7.55,5.640,5.639,
2021/08/19,11:09:50,-0.5372,27.822,17.340,29.785,28043.249,1009.226,9.228,0.95,0.95,3.86,78.98,5.614,7.55,5.631,5.630,
2021/08/19,11:09:50,-0.5372,27.822,17.340,29.784,28043.377,1009.226,9.228,0.92,0.92,3.74,78.88,5.607,7.55,5.624,5.624,
2021/08/19,11:09:50,-0.5372,27.822,17.340,29.783,28042.203,1009.225,9.228,0.97,0.97,3.56,78.88,5.607,7.55,5.624,5.623,
2021/08/19,11:09:50,-0.5372,27.822,17.340,29.784,28042.843,1009.226,9.228,0.98,0.98,3.46,78.95,5.612,7.55,5.629,5.629,
2021/08/19,11:09:50,-0.5372,27.822,17.340,29.784,28042.913,1009.226,9.228,0.99,0.99,3.52,78.93,5.611,7.55,5.627,5.627,
2021/08/19,11:09:50,-0.5372,27.822,17.341,29.785,28043.826,1009.226,9.228,1.00,1.00,3.63,78.91,5.609,7.57,5.625,5.625,
2021/08/19,11:09:50,-0.5372,27.822,17.340,29.785,28043.398,1009.226,9.228,0.96,0.96,3.71,78.83,5.603,7.55,5.620,5.620,
2021/08/19,11:09:50,-0.5568,27.822,17.342,29.787,28045.465,1009.227,9.229,0.95,0.95,4.07,78.88,5.607,7.55,5.623,5.623,
2021/08/19,11:09:50,-0.5568,27.822,17.341,29.786,28044.792,1009.227,9.229,0.94,0.94,4.04,78.83,5.603,7.56,5.620,5.620,
2021/08/19,11:09:51,-0.5568,27.822,17.342,29.786,28045.003,1009.227,9.229,0.97,0.97,3.63,78.83,5.603,7.56,5.619,5.619,
2021/08/19,11:09:51,-0.5568,27.822,17.341,29.786,28044.347,1009.226,9.229,0.98,0.98,3.50,78.79,5.600,7.55,5.617,5.617,
2021/08/19,11:09:51,-0.5372,27.822,17.341,29.785,28044.157,1009.226,9.229,0.96,0.96,3.46,78.75,5.598,7.57,5.614,5.614,
2021/08/19,11:09:51,-0.5372,27.821,17.341,29.785,28044.198,1009.227,9.229,0.98,0.98,3.53,78.79,5.600,7.56,5.617,5.617,
2021/08/19,11:09:51,-0.5568,27.822,17.342,29.787,28046.199,1009.227,9.230,1.01,1.01,3.59,78.82,5.602,7.55,5.619,5.618,
2021/08/19,11:09:51,-0.5372,27.822,17.341,29.786,28044.884,1009.227,9.229,1.00,1.00,3.59,78.80,5.601,7.57,5.617,5.617,
2021/08/19,11:09:51,-0.5372,27.822,17.342,29.786,28044.994,1009.227,9.229,1.01,1.01,3.60,78.78,5.599,7.56,5.616,5.616,
2021/08/19,11:09:51,-0.5568,27.823,17.342,29.787,28045.311,1009.227,9.229,1.02,1.02,3.57,78.87,5.606,7.57,5.623,5.622,
2021/08/19,11:09:51,-0.5372,27.822,17.343,29.789,28047.156,1009.228,9.230,1.05,1.05,3.53,78.93,5.610,7.57,5.626,5.626,
2021/08/19,11:09:51,-0.5568,27.822,17.343,29.788,28046.661,1009.227,9.230,1.02,1.02,3.59,78.80,5.600,7.55,5.617,5.617,
2021/08/19,11:09:52,-0.5568,27.823,17.343,29.788,28046.475,1009.227,9.230,0.99,0.99,3.56,78.80,5.601,7.58,5.617,5.617,
2021/08/19,11:09:52,-0.5372,27.823,17.342,29.788,28046.324,1009.227,9.230,0.95,0.95,3.56,78.78,5.599,7.56,5.615,5.615,
2021/08/19,11:09:52,-0.5568,27.822,17.343,29.788,28046.864,1009.228,9.230,0.94,0.94,3.56,78.80,5.601,7.56,5.617,5.617,
2021/08/19,11:09:52,-0.5568,27.823,17.344,29.790,28047.914,1009.228,9.230,0.93,0.93,3.49,78.80,5.601,7.55,5.617,5.617,
2021/08/19,11:09:52,-0.5568,27.823,17.344,29.790,28048.009,1009.228,9.230,0.96,0.96,3.53,78.79,5.600,7.55,5.616,5.616,
2021/08/19,11:09:52,-0.5568,27.824,17.343,29.790,28047.024,1009.227,9.230,1.00,1.00,3.57,78.83,5.603,7.56,5.619,5.619,
2021/08/19,11:09:52,-0.5568,27.824,17.343,29.790,28047.195,1009.227,9.230,1.00,1.00,3.59,78.82,5.602,7.56,5.619,5.618,
2021/08/19,11:09:52,-0.5568,27.824,17.342,29.789,28046.233,1009.227,9.229,0.96,0.96,3.57,78.81,5.601,7.55,5.618,5.618,
2021/08/19,11:09:52,-0.5372,27.824,17.344,29.791,28048.949,1009.228,9.231,0.96,0.96,3.84,78.73,5.595,7.57,5.612,5.611,
2021/08/19,11:09:52,-0.5568,27.824,17.344,29.790,28048.053,1009.228,9.230,0.92,0.92,3.39,78.65,5.590,7.57,5.607,5.607,
2021/08/19,11:09:53,-0.5372,27.825,17.346,29.794,28050.727,1009.229,9.231,0.94,0.94,3.60,78.67,5.591,7.56,5.608,5.607,
2021/08/19,11:09:53,-0.5764,27.826,17.346,29.796,28052.077,1009.229,9.232,0.96,0.96,3.50,78.69,5.592,7.56,5.609,5.609,
2021/08/19,11:09:53,-0.5372,27.827,17.346,29.796,28051.258,1009.229,9.231,0.93,0.93,3.36,78.63,5.588,7.57,5.605,5.605,
2021/08/19,11:09:53,-0.5372,27.827,17.346,29.796,28051.195,1009.229,9.231,0.92,0.92,3.53,78.57,5.584,7.57,5.601,5.601,
2021/08/19,11:09:53,-0.5372,27.827,17.345,29.795,28050.109,1009.228,9.230,0.92,0.92,3.79,78.61,5.587,7.56,5.603,5.603,
2021/08/19,11:09:53,-0.5372,27.827,17.345,29.795,28050.367,1009.228,9.230,0.95,0.95,3.70,78.57,5.584,7.57,5.601,5.600,
2021/08/19,11:09:53,-0.5372,27.827,17.346,29.795,28050.798,1009.228,9.231,0.94,0.94,3.60,78.58,5.584,7.57,5.601,5.601,
