//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=180       
StartTime=2021/08/19 11:22:11
EndTime=2021/08/19 11:22:28
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/08/19,11:22:11,-0.4783,28.382,29.107,48.052,44723.945,1017.846,17.848,3.86,3.86,2.97,88.63,5.851,7.40,5.868,5.868,
2021/08/19,11:22:11,-0.4979,28.387,29.100,48.046,44714.361,1017.839,17.841,3.75,3.75,2.57,88.54,5.844,7.41,5.861,5.861,
2021/08/19,11:22:11,-0.4979,28.390,29.103,48.052,44717.051,1017.839,17.842,3.63,3.63,2.43,88.47,5.839,7.41,5.856,5.856,
2021/08/19,11:22:11,-0.4979,28.383,29.107,48.053,44723.942,1017.845,17.847,3.62,3.62,2.45,88.30,5.827,7.43,5.844,5.844,
2021/08/19,11:22:11,-0.4979,28.360,29.127,48.061,44753.142,1017.868,17.870,3.71,3.71,2.69,88.09,5.811,7.44,5.828,5.829,
2021/08/19,11:22:11,-0.5176,28.346,29.132,48.056,44760.812,1017.876,17.878,3.80,3.80,2.63,88.03,5.807,7.43,5.823,5.824,
2021/08/19,11:22:11,-0.4979,28.345,29.131,48.053,44759.204,1017.875,17.877,3.85,3.85,2.52,88.01,5.805,7.46,5.822,5.822,
2021/08/19,11:22:11,-0.4979,28.347,29.129,48.052,44755.946,1017.873,17.875,4.14,4.14,2.66,87.84,5.794,7.46,5.811,5.811,
2021/08/19,11:22:11,-0.4979,28.349,29.128,48.053,44755.551,1017.872,17.874,4.13,4.13,2.75,87.82,5.793,7.45,5.810,5.810,
2021/08/19,11:22:11,-0.5176,28.352,29.122,48.046,44746.505,1017.866,17.869,4.00,4.00,2.67,87.68,5.784,7.46,5.801,5.801,
2021/08/19,11:22:12,-0.4979,28.359,29.115,48.042,44736.311,1017.859,17.861,3.89,3.89,2.79,87.57,5.778,7.47,5.794,5.795,
2021/08/19,11:22:12,-0.5176,28.369,29.107,48.040,44725.206,1017.850,17.852,3.93,3.93,2.73,87.54,5.776,7.48,5.792,5.793,
2021/08/19,11:22:12,-0.5176,28.379,29.102,48.041,44717.281,1017.843,17.845,3.70,3.70,2.33,87.39,5.766,7.49,5.783,5.783,
2021/08/19,11:22:12,-0.5176,28.384,29.098,48.040,44711.134,1017.838,17.840,3.87,3.87,2.29,87.40,5.767,7.47,5.783,5.784,
2021/08/19,11:22:12,-0.5176,28.388,29.096,48.040,44707.791,1017.835,17.837,4.04,4.04,2.28,87.26,5.757,7.48,5.774,5.774,
2021/08/19,11:22:12,-0.5176,28.386,29.097,48.040,44709.701,1017.837,17.839,4.07,4.07,2.29,87.22,5.755,7.50,5.772,5.772,
2021/08/19,11:22:12,-0.4979,28.388,29.095,48.039,44707.178,1017.835,17.837,4.19,4.19,2.29,87.15,5.751,7.49,5.768,5.768,
2021/08/19,11:22:12,-0.5176,28.389,29.093,48.037,44703.952,1017.833,17.835,4.38,4.38,2.30,87.04,5.744,7.51,5.760,5.761,
2021/08/19,11:22:12,-0.5176,28.390,29.091,48.034,44700.805,1017.831,17.833,4.46,4.46,2.29,86.93,5.737,7.51,5.753,5.754,
2021/08/19,11:22:12,-0.5176,28.377,29.099,48.034,44712.576,1017.841,17.843,4.30,4.30,2.40,86.82,5.729,7.50,5.746,5.746,
2021/08/19,11:22:13,-0.5176,28.359,29.109,48.034,44728.681,1017.855,17.857,4.10,4.10,2.43,86.89,5.734,7.50,5.751,5.751,
2021/08/19,11:22:13,-0.5176,28.346,29.118,48.035,44741.534,1017.865,17.867,4.03,4.03,2.39,86.80,5.729,7.51,5.745,5.746,
2021/08/19,11:22:13,-0.5176,28.344,29.120,48.035,44743.904,1017.867,17.869,3.92,3.92,2.38,86.68,5.721,7.50,5.737,5.737,
2021/08/19,11:22:13,-0.5176,28.344,29.120,48.037,44745.048,1017.868,17.870,4.03,4.03,2.56,86.58,5.713,7.52,5.729,5.730,
2021/08/19,11:22:13,-0.5176,28.347,29.119,48.037,44742.885,1017.866,17.868,4.07,4.07,2.57,86.59,5.714,7.51,5.730,5.731,
2021/08/19,11:22:13,-0.5176,28.351,29.122,48.045,44746.224,1017.866,17.869,4.24,4.24,2.72,86.50,5.708,7.53,5.724,5.725,
2021/08/19,11:22:13,-0.5176,28.360,29.117,48.046,44738.755,1017.860,17.862,4.23,4.23,2.95,86.42,5.703,7.53,5.720,5.720,
2021/08/19,11:22:13,-0.4979,28.369,29.110,48.045,44729.135,1017.852,17.854,4.11,4.11,2.75,86.31,5.696,7.53,5.712,5.713,
2021/08/19,11:22:13,-0.4979,28.376,29.109,48.048,44726.504,1017.849,17.851,4.03,4.03,2.60,86.25,5.692,7.53,5.709,5.709,
2021/08/19,11:22:13,-0.4979,28.378,29.110,48.053,44728.269,1017.849,17.851,4.10,4.10,2.57,86.14,5.685,7.54,5.701,5.702,
2021/08/19,11:22:14,-0.5176,28.382,29.103,48.045,44718.461,1017.843,17.845,4.16,4.16,2.59,86.07,5.680,7.55,5.696,5.697,
2021/08/19,11:22:14,-0.5176,28.381,29.102,48.044,44717.538,1017.842,17.845,4.24,4.24,2.55,86.16,5.686,7.54,5.703,5.703,
2021/08/19,11:22:14,-0.4979,28.380,29.101,48.041,44715.050,1017.841,17.843,4.24,4.24,2.48,86.10,5.682,7.54,5.698,5.699,
2021/08/19,11:22:14,-0.5176,28.380,29.102,48.042,44716.699,1017.842,17.844,4.20,4.20,2.42,86.12,5.683,7.53,5.700,5.700,
2021/08/19,11:22:14,-0.5176,28.382,29.098,48.037,44710.953,1017.838,17.841,4.26,4.26,2.40,85.96,5.672,7.53,5.689,5.689,
2021/08/19,11:22:14,-0.5176,28.381,29.099,48.038,44712.410,1017.839,17.842,4.24,4.24,2.38,85.87,5.666,7.54,5.683,5.683,
2021/08/19,11:22:14,-0.5176,28.378,29.099,48.036,44713.170,1017.841,17.843,4.16,4.16,2.36,85.82,5.663,7.54,5.680,5.680,
2021/08/19,11:22:14,-0.5372,28.378,29.098,48.035,44712.193,1017.840,17.842,4.00,4.00,2.35,85.77,5.660,7.54,5.676,5.677,
2021/08/19,11:22:14,-0.5176,28.377,29.099,48.035,44712.757,1017.841,17.843,3.86,3.86,2.40,85.73,5.657,7.53,5.673,5.674,
2021/08/19,11:22:14,-0.5176,28.381,29.095,48.033,44707.216,1017.837,17.839,3.87,3.87,2.26,85.70,5.655,7.52,5.672,5.672,
2021/08/19,11:22:15,-0.5176,28.386,29.090,48.030,44699.718,1017.831,17.833,4.16,4.16,2.26,85.62,5.650,7.55,5.666,5.667,
2021/08/19,11:22:15,-0.5176,28.388,29.085,48.024,44693.235,1017.827,17.829,4.16,4.16,2.25,85.66,5.653,7.55,5.670,5.670,
2021/08/19,11:22:15,-0.5176,28.386,29.085,48.023,44693.335,1017.828,17.830,4.23,4.23,2.29,85.60,5.650,7.55,5.666,5.666,
2021/08/19,11:22:15,-0.5176,28.387,29.085,48.022,44692.608,1017.827,17.829,4.30,4.30,2.30,85.65,5.652,7.55,5.669,5.669,
2021/08/19,11:22:15,-0.5176,28.383,29.084,48.019,44692.433,1017.828,17.830,4.29,4.29,2.28,85.54,5.646,7.55,5.662,5.663,
2021/08/19,11:22:15,-0.5176,28.380,29.085,48.017,44693.390,1017.829,17.832,4.09,4.09,2.23,85.55,5.647,7.56,5.663,5.663,
2021/08/19,11:22:15,-0.5176,28.379,29.083,48.013,44691.117,1017.828,17.831,3.97,3.97,2.26,85.59,5.649,7.57,5.666,5.666,
2021/08/19,11:22:15,-0.5176,28.377,29.083,48.013,44691.743,1017.829,17.831,4.02,4.02,2.43,85.57,5.648,7.57,5.664,5.664,
2021/08/19,11:22:15,-0.4979,28.376,29.085,48.014,44693.921,1017.831,17.833,4.33,4.33,2.33,85.53,5.645,7.56,5.661,5.662,
2021/08/19,11:22:15,-0.4979,28.376,29.086,48.016,44695.964,1017.832,17.834,4.41,4.41,2.45,85.51,5.643,7.55,5.659,5.660,
2021/08/19,11:22:16,-0.5176,28.376,29.087,48.016,44696.873,1017.832,17.835,4.36,4.36,2.50,85.42,5.637,7.52,5.653,5.653,
2021/08/19,11:22:16,-0.5176,28.377,29.087,48.018,44697.279,1017.832,17.835,4.36,4.36,2.46,85.35,5.631,7.57,5.648,5.648,
2021/08/19,11:22:16,-0.4979,28.377,29.088,48.019,44698.292,1017.833,17.835,4.38,4.38,2.46,85.36,5.632,7.54,5.648,5.648,
2021/08/19,11:22:16,-0.5176,28.377,29.089,48.019,44698.857,1017.833,17.836,4.37,4.37,2.52,85.26,5.625,7.57,5.641,5.642,
2021/08/19,11:22:16,-0.4979,28.376,29.089,48.019,44699.403,1017.834,17.836,4.32,4.32,2.67,85.25,5.624,7.57,5.641,5.641,
2021/08/19,11:22:16,-0.5176,28.374,29.087,48.015,44697.275,1017.833,17.836,4.11,4.11,2.70,85.21,5.621,7.57,5.638,5.638,
