//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=170       
StartTime=2021/09/02 11:36:01
EndTime=2021/09/02 11:36:17
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2021/09/02,11:36:01,-0.5568,30.884,26.838,46.799,41435.214,1015.322,15.325,0.61,0.61,1.56,94.53,6.044,7.38,
2021/09/02,11:36:01,-0.5372,30.903,26.826,46.797,41417.673,1015.307,15.309,0.61,0.61,1.52,94.33,6.033,7.38,
2021/09/02,11:36:01,-0.5568,30.925,26.798,46.771,41376.909,1015.278,15.280,0.63,0.63,1.45,94.17,6.025,7.39,
2021/09/02,11:36:01,-0.5568,30.948,26.798,46.791,41376.546,1015.271,15.273,0.64,0.64,1.54,94.01,6.014,7.40,
2021/09/02,11:36:01,-0.5372,30.983,26.762,46.765,41324.929,1015.232,15.234,0.65,0.65,1.42,93.83,6.004,7.41,
2021/09/02,11:36:01,-0.5568,30.995,26.780,46.802,41348.329,1015.241,15.243,0.64,0.64,1.39,93.71,5.995,7.42,
2021/09/02,11:36:01,-0.5568,30.998,26.760,46.773,41320.076,1015.225,15.227,0.63,0.63,1.38,93.50,5.981,7.43,
2021/09/02,11:36:01,-0.5568,30.998,26.760,46.774,41321.129,1015.225,15.228,0.64,0.64,1.35,93.15,5.957,7.43,
2021/09/02,11:36:01,-0.5568,31.003,26.761,46.778,41321.303,1015.224,15.226,0.61,0.61,1.34,92.91,5.942,7.47,
2021/09/02,11:36:01,-0.5568,31.001,26.776,46.801,41343.264,1015.236,15.239,0.61,0.61,1.31,92.89,5.941,7.45,
2021/09/02,11:36:02,-0.5568,30.995,26.772,46.789,41336.981,1015.235,15.237,0.64,0.64,1.28,92.91,5.945,7.44,
2021/09/02,11:36:02,-0.5568,30.974,26.761,46.754,41322.920,1015.234,15.236,0.63,0.63,1.32,92.72,5.935,7.45,
2021/09/02,11:36:02,-0.5568,30.983,26.767,46.773,41331.798,1015.236,15.238,0.60,0.60,1.32,92.60,5.927,7.46,
2021/09/02,11:36:02,-0.5568,30.997,26.769,46.787,41333.379,1015.232,15.235,0.62,0.62,1.32,92.46,5.918,7.47,
2021/09/02,11:36:02,-0.5568,30.992,26.777,46.795,41344.768,1015.240,15.242,0.62,0.62,1.29,92.38,5.913,7.46,
2021/09/02,11:36:02,-0.5568,30.975,26.772,46.772,41337.964,1015.242,15.244,0.63,0.63,1.29,92.45,5.917,7.47,
2021/09/02,11:36:02,-0.5568,30.963,26.780,46.775,41350.902,1015.252,15.255,0.62,0.62,1.36,92.47,5.917,7.47,
